row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_actuator_disk_load_source_inventory,l2_actuator_disk_calibration,source_description,"Aerodynamics4McL2ActuatorDiskCalibration maps rotor thrust states and open rotor-disk aperture area into momentum-theory pressure jump induced velocity wake velocity and power estimates.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,l2_actuator_disk_load_source_inventory,Reference surface for the A4MC L2 actuator disk load packet.
a4mc_l2_actuator_disk_load_source_inventory,l2_rotor_disk_aperture,source_description,"Aerodynamics4McL2RotorDiskAperture supplies open actuator-disk area and edgewise or axial inlet splits after static airframe blockage.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,l2_actuator_disk_load_source_inventory,Reference surface for the A4MC L2 actuator disk load packet.
a4mc_l2_actuator_disk_load_source_inventory,l2_drone_probe,source_description,"Aerodynamics4McL2DroneProbe supplies the static airframe solid mask and bounded L2 wind-tunnel request envelope used before powered source terms are fitted.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbe.java,,l2_actuator_disk_load_source_inventory,Reference surface for the A4MC L2 actuator disk load packet.
a4mc_l2_actuator_disk_load_source_inventory,drone_config_rotors,source_description,"DroneConfig and RotorSpec provide mass gravity rotor radius maximum thrust thrust coefficient and blade chord used by the load matrix.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_actuator_disk_load_source_inventory,Reference surface for the A4MC L2 actuator disk load packet.
a4mc_l2_actuator_disk_load_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for future force moment validation and possible porous actuator disk source-term integration.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_actuator_disk_load_source_inventory,Reference surface for the A4MC L2 actuator disk load packet.
a4mc_l2_actuator_disk_load_matrix,racingQuad_idle,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,current_l2_actuator_disk_load_matrix,Current momentum-theory actuator disk source estimate before live A4MC powered-rotor fitting.
a4mc_l2_actuator_disk_load_matrix,racingQuad_idle,spin_ratio,0.12,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,current_l2_actuator_disk_load_matrix,Current momentum-theory actuator disk source estimate before live A4MC powered-rotor fitting.
a4mc_l2_actuator_disk_load_matrix,racingQuad_idle,thrust_newtons_per_rotor,0.1944,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,current_l2_actuator_disk_load_matrix,Current momentum-theory actuator disk source estimate before live A4MC powered-rotor fitting.
a4mc_l2_actuator_disk_load_matrix,racingQuad_idle,total_thrust_newtons,0.7776,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,current_l2_actuator_disk_load_matrix,Current momentum-theory actuator disk source estimate before live A4MC powered-rotor fitting.
a4mc_l2_actuator_disk_load_matrix,racingQuad_idle,thrust_to_weight,0.07208466611,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,current_l2_actuator_disk_load_matrix,Current momentum-theory actuator disk source estimate before live A4MC powered-rotor fitting.
