row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_actuator_disk_representation_policy_source_inventory,l2_actuator_disk_representation_policy,source_description,Aerodynamics4McL2ActuatorDiskRepresentationPolicy decides how rotor disks are represented before powered source-term APIs exist.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskRepresentationPolicy.java,,l2_actuator_disk_representation_policy_inventory,Reference surface for actuator-disk representation decisions.
a4mc_l2_actuator_disk_representation_policy_source_inventory,l2_rotor_disk_aperture,source_description,Aerodynamics4McL2RotorDiskAperture supplies the open rotor-disk area and blockage estimate that this policy preserves.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2RotorDiskAperture.java,,l2_actuator_disk_representation_policy_inventory,Geometry input for actuator-disk representation decisions.
a4mc_l2_actuator_disk_representation_policy_source_inventory,l2_powered_hover_acceptance_gate,source_description,Aerodynamics4McL2PoweredHoverAcceptanceGate keeps hover source-term coupling closed until live validation passes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverAcceptanceGate.java,,l2_actuator_disk_representation_policy_inventory,Required downstream gate before powered hover source terms can affect gameplay.
a4mc_l2_actuator_disk_representation_policy_source_inventory,l2_powered_cruise_acceptance_gate,source_description,Aerodynamics4McL2PoweredCruiseAcceptanceGate keeps cruise source-term coupling closed until live validation passes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,l2_actuator_disk_representation_policy_inventory,Required downstream gate before powered cruise source terms can affect gameplay.
a4mc_l2_actuator_disk_representation_policy_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future porous or body-force actuator-disk source APIs.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_actuator_disk_representation_policy_inventory,Upstream CFD target for future powered rotor representation.
a4mc_l2_actuator_disk_representation_policy_preset,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskRepresentationPolicy.java,,current_l2_actuator_disk_representation_policy,Policy keeps rotor-disk cells open in the binary solid mask and requires a future source-term API for powered rotor loads.
a4mc_l2_actuator_disk_representation_policy_preset,racingQuad,open_fraction,0.90625,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskRepresentationPolicy.java,,current_l2_actuator_disk_representation_policy,Policy keeps rotor-disk cells open in the binary solid mask and requires a future source-term API for powered rotor loads.
a4mc_l2_actuator_disk_representation_policy_preset,racingQuad,min_rotor_open_fraction,0.90625,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskRepresentationPolicy.java,,current_l2_actuator_disk_representation_policy,Policy keeps rotor-disk cells open in the binary solid mask and requires a future source-term API for powered rotor loads.
a4mc_l2_actuator_disk_representation_policy_preset,racingQuad,max_rotor_open_fraction,0.90625,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskRepresentationPolicy.java,,current_l2_actuator_disk_representation_policy,Policy keeps rotor-disk cells open in the binary solid mask and requires a future source-term API for powered rotor loads.
a4mc_l2_actuator_disk_representation_policy_preset,racingQuad,open_disk_area_m2,0.045920365293211,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskRepresentationPolicy.java,,current_l2_actuator_disk_representation_policy,Policy keeps rotor-disk cells open in the binary solid mask and requires a future source-term API for powered rotor loads.
