row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_drone_probe_geometry_source_inventory,a4mc_l2_drone_probe,source_description,"Aerodynamics4McL2DroneProbe converts DroneConfig presets into bounded A4MC L2 force and moment wind-tunnel requests with a static airframe solid mask.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbe.java,,l2_drone_probe_geometry_source_inventory,Reference surface for the A4MC L2 drone geometry packet.
a4mc_l2_drone_probe_geometry_source_inventory,a4mc_l2_drone_probe_audit,source_description,"Aerodynamics4McL2DroneProbeAudit records the generated grid shape mask occupancy force reference inlet and mask health checks for representative presets.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,l2_drone_probe_geometry_source_inventory,Reference surface for the A4MC L2 drone geometry packet.
a4mc_l2_drone_probe_geometry_source_inventory,a4mc_l2_bridge,source_description,"Aerodynamics4McL2Bridge owns the bounded L2 request spec validation reflection builder and compact force moment result summary.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_drone_probe_geometry_source_inventory,Reference surface for the A4MC L2 drone geometry packet.
a4mc_l2_drone_probe_geometry_source_inventory,drone_config_presets,source_description,"DroneConfig supplies racingQuad APDrone cinewhoop and heavyLift geometry rotor layout and mass properties used by this packet.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_drone_probe_geometry_source_inventory,Reference surface for the A4MC L2 drone geometry packet.
a4mc_l2_drone_probe_geometry_source_inventory,aerodynamics4mc_core_l2_api,source_description,"Aerodynamics4MC Core is the upstream target for L2 request result force moment and solid mask concepts used by this offline geometry audit.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_drone_probe_geometry_source_inventory,Reference surface for the A4MC L2 drone geometry packet.
a4mc_l2_drone_probe_geometry_preset,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,mass_kg,1.1,kg,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,grid_nx,26,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,grid_ny,14,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,grid_nz,40,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,grid_cell_count,14560,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,mask_byte_length,14560,bytes,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,cell_size_m,0.02,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,solid_cell_count,128,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,solid_fraction,0.008791208791,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,max_rotor_radius_m,0.0635,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,rotor_span_m,0.381558441227,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,rotor_disk_radius_cells,3.175,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,body_half_x_m,0.06985,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,body_half_y_m,0.02794,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,body_half_z_m,0.1016,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,arm_radius_m,0.013,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,hub_radius_m,0.016,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,inlet_vx_mps,0,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,inlet_vy_mps,0,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,inlet_vz_mps,-18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,inlet_speed_mps,18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
a4mc_l2_drone_probe_geometry_preset,racingQuad,steps,72,steps,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,current_l2_drone_probe_geometry_packet,Current Java-generated geometry audit before live A4MC force moment fitting.
