row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_experiment_source_inventory,l2_powered_cruise_experiment_plan,source_description,Aerodynamics4McL2PoweredCruiseExperimentPlan pairs forward-flight static-airframe force/moment requests with cruise actuator-disk source targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,l2_powered_cruise_inventory,Reference surface for the A4MC L2 powered-cruise experiment plan.
a4mc_l2_powered_cruise_experiment_source_inventory,l2_actuator_disk_load,source_description,Aerodynamics4McL2ActuatorDiskCalibration supplies cruise spin pressure jump induced velocity edgewise advance and Reynolds targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,l2_powered_cruise_inventory,Reference surface for cruise actuator disk source strength.
a4mc_l2_powered_cruise_experiment_source_inventory,l2_actuator_disk_source_map,source_description,Aerodynamics4McL2ActuatorDiskSourceMap supplies per-rotor force and moment source vectors for cruise spin.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,l2_powered_cruise_inventory,Reference surface for per-rotor powered source target geometry.
a4mc_l2_powered_cruise_experiment_source_inventory,l2_bridge,source_description,Aerodynamics4McL2Bridge can build and run static L2 force/moment requests but does not expose powered source-term injection.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_powered_cruise_inventory,Bridge capability boundary for powered cruise source validation.
a4mc_l2_powered_cruise_experiment_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future edgewise powered source-term force and moment validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_inventory,Upstream live CFD target for future powered cruise validation.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,source_term_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,grid_nx,26,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,grid_ny,14,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,grid_nz,40,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,grid_cell_count,14560,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,cell_size_m,0.02,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,steps,72,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,inlet_vx_mps,0,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,inlet_vy_mps,0,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,inlet_vz_mps,-18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,inlet_speed_mps,18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,spin_ratio,0.65,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,baseline_force_moment_request,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,baseline_flow_atlas_output,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,powered_source_api_required,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,powered_source_api_available,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,actuator_disk_representation_required,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,porous_or_body_force_source_api_available,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,mean_pressure_jump_pa,496.8383821496553,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,max_pressure_jump_pa,496.8383821496553,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,thrust_to_weight,2.114984127190131,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,target_force_x_n,0,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,target_force_y_n,22.815,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,target_force_z_n,0,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,target_moment_x_nm,0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,target_moment_y_nm,0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,target_moment_z_nm,0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,target_force_magnitude_n,22.815,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,target_moment_magnitude_nm,0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,center_of_thrust_offset_m,0,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,total_momentum_power_w,324.89647570572583,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,ideal_induced_velocity_mps,14.24047669102458,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,far_wake_velocity_mps,28.48095338204916,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_experiment_preset,racingQuad,tip_speed_mps,125.94182000377026,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,current_l2_powered_cruise_plan,Current offline powered-cruise validation target before live A4MC source-term injection is available.
