row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_error_budget_source_inventory,l2_powered_cruise_skew_wake_error_budget,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget groups transient cruise skew wake result seeds by preset axial plane and sweep column for lab diagnostics.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget.java,,l2_powered_cruise_skew_wake_error_budget_inventory,Primary aggregate error budget for transient cruise skew wake evidence.
a4mc_l2_powered_cruise_skew_wake_error_budget_source_inventory,l2_powered_cruise_skew_wake_result_seed,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed supplies per rotor pressure velocity arrival time and momentum validation seeds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,l2_powered_cruise_skew_wake_error_budget_inventory,Rotor level seed input.
a4mc_l2_powered_cruise_skew_wake_error_budget_source_inventory,l2_powered_cruise_skew_wake_validation_run_matrix,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeValidationRunMatrix supplies live run status and observed evidence slots.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeValidationRunMatrix.java,,l2_powered_cruise_skew_wake_error_budget_inventory,Live run execution status input.
a4mc_l2_powered_cruise_skew_wake_error_budget_source_inventory,l2_powered_cruise_skew_wake_readiness_gate,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate controls whether live validation rows may become pending.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,l2_powered_cruise_skew_wake_error_budget_inventory,Readiness gate input.
a4mc_l2_powered_cruise_skew_wake_error_budget_source_inventory,l2_powered_cruise_skew_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution supplies timing constraints for transient skew wake samples.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,l2_powered_cruise_skew_wake_error_budget_inventory,Transient timing constraint input.
a4mc_l2_powered_cruise_skew_wake_error_budget_source_inventory,l2_powered_cruise_skew_wake_transit,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTransit supplies target pressure wake speed arrival time and momentum bounds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,l2_powered_cruise_skew_wake_error_budget_inventory,Physics target input.
a4mc_l2_powered_cruise_skew_wake_error_budget_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live transient powered cruise skew wake validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_error_budget_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_cruise_skew_wake_error_budget,apDrone:plane1:sweep0,preset_name,apDrone,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget.java,,current_l2_powered_cruise_skew_wake_error_budget,Aggregate lab error budget groups rotor level cruise skew wake seeds by preset axial plane and sweep column; it is not gameplay tuning data.
a4mc_l2_powered_cruise_skew_wake_error_budget,apDrone:plane1:sweep0,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget.java,,current_l2_powered_cruise_skew_wake_error_budget,Aggregate lab error budget groups rotor level cruise skew wake seeds by preset axial plane and sweep column; it is not gameplay tuning data.
a4mc_l2_powered_cruise_skew_wake_error_budget,apDrone:plane1:sweep0,axial_plane_index,1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget.java,,current_l2_powered_cruise_skew_wake_error_budget,Aggregate lab error budget groups rotor level cruise skew wake seeds by preset axial plane and sweep column; it is not gameplay tuning data.
