row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_probe_source_inventory,l2_powered_cruise_skew_wake_probe_map,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap expands cruise skew-wake footprints into rotor-resolved local probe points.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,l2_powered_cruise_skew_wake_probe_inventory,Primary audit surface for local skew-wake probe targets.
a4mc_l2_powered_cruise_skew_wake_probe_source_inventory,l2_powered_cruise_wake_footprint,source_description,Aerodynamics4McL2PoweredCruiseWakeFootprint supplies wake skew angle sweep distance contracted far-wake area and cell-space footprint context.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,l2_powered_cruise_skew_wake_probe_inventory,Cruise skew-wake footprint input.
a4mc_l2_powered_cruise_skew_wake_probe_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap supplies per-rotor centers thrust axes open areas pressure jumps and thrust targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_cruise_skew_wake_probe_inventory,Rotor source-term input.
a4mc_l2_powered_cruise_skew_wake_probe_source_inventory,l2_powered_source_request_plan,source_description,Aerodynamics4McL2PoweredSourceRequestPlan supplies inlet direction and static L2 cell size for probe coordinates.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,l2_powered_cruise_skew_wake_probe_inventory,Request envelope input for inlet axis and cell metrics.
a4mc_l2_powered_cruise_skew_wake_probe_source_inventory,l2_actuator_disk_source_map,source_description,Aerodynamics4McL2ActuatorDiskSourceMap supplies the RotorDiskSourceTerm geometry used by powered cruise rows.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,l2_powered_cruise_skew_wake_probe_inventory,Source geometry basis for rotor-resolved probes.
a4mc_l2_powered_cruise_skew_wake_probe_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for future local powered cruise skew-wake probes.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_probe_inventory,Upstream CFD target for future live probe validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,axial_plane_index,1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,sweep_column_index,-1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,axial_plane_fraction,0.25,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,rotor_center_x_m,0.12727922061357899,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,rotor_center_y_m,0,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,rotor_center_z_m,0.12727922061357899,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,thrust_axis_x,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,thrust_axis_y,1,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,thrust_axis_z,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,axial_wake_axis_x,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,axial_wake_axis_y,-1,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,axial_wake_axis_z,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,freestream_axis_x,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,freestream_axis_y,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,freestream_axis_z,-1,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,lateral_sweep_axis_x,-1,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,lateral_sweep_axis_y,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,lateral_sweep_axis_z,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,probe_x_m,0.17002396627020971,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,probe_y_m,-0.045337649270846214,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,probe_z_m,0.098625766639331577,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,axial_distance_m,0.045337649270846214,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,freestream_sweep_distance_m,0.028653453974247414,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,lateral_offset_m,-0.042744745656630716,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,centerline_distance_m,0.053633225393039496,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,distance_from_rotor_m,0.068583060206662022,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,per_rotor_far_wake_area_m2,0.0057400456616515001,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,per_rotor_far_wake_equivalent_radius_m,0.042744745656630716,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,expected_axial_wake_velocity_mps,28.480953382049162,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,expected_freestream_velocity_mps,18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,expected_resultant_wake_velocity_mps,33.69220541238667,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,wake_skew_angle_deg,32.292940352416124,deg,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,expected_axial_wake_pressure_pa,993.67676429928315,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,expected_resultant_dynamic_pressure_pa,695.28838214965538,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,per_rotor_mass_flow_kg_s,0.20026541680290413,kg/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,per_rotor_axial_momentum_flux_n,5.7037500000001575,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,axial_momentum_flux_closure_error_n,1.5720758028692217E-13,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,request_cell_size_m,0.02,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,axial_distance_cells,2.2668824635423106,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,freestream_sweep_distance_cells,1.4326726987123706,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,lateral_offset_cells,-2.1372372828315358,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,skew_wake_probe_api_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,runtime_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,validation_before_runtime_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,status,target-only-cruise-skew-wake-probe-unavailable,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor0,runtime_info,audit-only-unvalidated-cruise-skew-wake-probe,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor1,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor1,rotor_index,1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor1,axial_plane_index,1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_probe,racingQuad:plane1:sweep-1:rotor1,sweep_column_index,-1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,current_l2_powered_cruise_skew_wake_probe,Audit-only rotor-resolved forward-flight skew-wake probe target before live A4MC local skew-wake validation.
