row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_source_inventory,l2_powered_cruise_skew_wake_readiness_blocker_report,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport decomposes live cruise skew-wake validation blockers into audit-only next actions.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,l2_powered_cruise_skew_wake_readiness_blocker_inventory,Primary diagnostic report for live cruise skew-wake validation readiness.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_source_inventory,l2_powered_cruise_skew_wake_readiness_gate,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate supplies powered-source skew-probe transient-probe target-coverage temporal-resolution and runtime-coupling readiness fields.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,l2_powered_cruise_skew_wake_readiness_blocker_inventory,Upstream live-validation readiness gate.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_source_inventory,l2_powered_cruise_skew_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution supplies fast-arrival sampling constraints and target-level transient probe flags.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,l2_powered_cruise_skew_wake_readiness_blocker_inventory,Temporal substepping evidence source.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_source_inventory,l2_powered_cruise_skew_wake_transit,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTransit supplies rotor-resolved cruise skew-wake pressure velocity arrival and momentum targets behind the readiness gate.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,l2_powered_cruise_skew_wake_readiness_blocker_inventory,Wake transit target source.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_source_inventory,l2_powered_cruise_skew_wake_validation_run_matrix,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeValidationRunMatrix consumes this readiness gate before any live transient skew-wake run can be treated as pending.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeValidationRunMatrix.java,,l2_powered_cruise_skew_wake_readiness_blocker_inventory,Downstream run-status consumer.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live powered-source local skew-wake and transient probe evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_readiness_blocker_inventory,Upstream CFD target for live cruise skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,live_validation_run_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,blocker_count,5,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,powered_source_api_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,skew_wake_probe_api_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,transient_probe_api_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,target_coverage_blocker,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,target_probe_api_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,temporal_resolution_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,invalid_target_blocker,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,unexpected_target_blocker,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,runtime_coupling_leak_blocker,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,expected_target_count,192,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,observed_target_count,192,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_cruise_skew_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,source_term_target_count,16,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessBlockerReport.java,,current_l2_powered_cruise_skew_wake_readiness_blocker_report,Current live validation remains blocked because powered-source skew-wake and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
