row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_readiness_source_inventory,l2_powered_cruise_skew_wake_readiness_gate,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate blocks live cruise skew wake validation until powered source skew probe transient probe target coverage and substepping evidence are present.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,l2_powered_cruise_skew_wake_readiness_inventory,Primary readiness gate for live A4MC cruise skew wake validation.
a4mc_l2_powered_cruise_skew_wake_readiness_source_inventory,l2_powered_cruise_skew_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution supplies per target timing and substep requirements.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,l2_powered_cruise_skew_wake_readiness_inventory,Temporal target input.
a4mc_l2_powered_cruise_skew_wake_readiness_source_inventory,l2_powered_cruise_skew_wake_transit,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTransit supplies transient cruise skew wake arrival bounds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,l2_powered_cruise_skew_wake_readiness_inventory,Transit timing input.
a4mc_l2_powered_cruise_skew_wake_readiness_source_inventory,l2_powered_cruise_skew_wake_probe_map,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap supplies rotor resolved axial plane and lateral sweep probe identities.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,l2_powered_cruise_skew_wake_readiness_inventory,Spatial probe identity input.
a4mc_l2_powered_cruise_skew_wake_readiness_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap supplies the powered cruise source context required before live skew wake validation.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_cruise_skew_wake_readiness_inventory,Powered source context input.
a4mc_l2_powered_cruise_skew_wake_readiness_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for live powered source transient cruise skew wake validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_readiness_inventory,Upstream CFD target for live validation.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,powered_source_api_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,skew_wake_probe_api_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,transient_probe_api_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,applied_max_sample_period_s,0.050000000000000003,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,expected_target_count,192,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,observed_target_count,192,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,source_term_target_count,16,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,centerline_sweep_target_count,64,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,lateral_sweep_target_count,128,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,transient_probe_api_available_target_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,runtime_coupling_allowed_target_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,invalid_target_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,missing_target_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,unexpected_target_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
a4mc_l2_powered_cruise_skew_wake_readiness_scenario,current_api_unavailable_tick_rate_only,required_max_sample_period_s,0.00019151790149419937,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,current_l2_powered_cruise_skew_wake_readiness,Audit only live cruise skew wake validation readiness scenario with runtime coupling blocked.
