row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_reference_handoff_source_inventory,l2_powered_cruise_skew_wake_reference_handoff,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff gates compact cruise skew wake reference material after lab acceptance and ready error budgets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,l2_powered_cruise_skew_wake_reference_handoff_inventory,Primary controlled reference-material handoff.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_source_inventory,l2_powered_cruise_skew_wake_acceptance_gate,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeAcceptanceGate supplies the lab-validation acceptance state.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeAcceptanceGate.java,,l2_powered_cruise_skew_wake_reference_handoff_inventory,Acceptance input.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_source_inventory,l2_powered_cruise_skew_wake_error_budget,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget supplies preset plane sweep group readiness and error envelopes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget.java,,l2_powered_cruise_skew_wake_reference_handoff_inventory,Aggregate diagnostic input.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_source_inventory,l2_powered_cruise_skew_wake_result_seed,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed supplies pressure velocity arrival and momentum validation seeds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,l2_powered_cruise_skew_wake_reference_handoff_inventory,Per target validation input.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_source_inventory,l2_powered_cruise_skew_wake_validation_run_matrix,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeValidationRunMatrix defines live transient skew wake execution status.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeValidationRunMatrix.java,,l2_powered_cruise_skew_wake_reference_handoff_inventory,Execution status boundary.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live transient powered cruise skew wake validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_reference_handoff_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,lab_validation_accepted,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,expected_error_budget_group_count,48,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,observed_error_budget_group_count,48,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,ready_error_budget_group_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,validation_candidate_group_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,blocked_error_budget_group_count,48,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,max_pressure_error_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,max_wake_velocity_error_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,max_arrival_window_error_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,max_momentum_error_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,all_error_budget_groups_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,reference_material_export_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,runtime_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
a4mc_l2_powered_cruise_skew_wake_reference_handoff_scenario,current_lab_validation_blocked,gameplay_auto_apply_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,current_l2_powered_cruise_skew_wake_reference_handoff,Reference handoff exports only compact lab evidence after cruise skew wake acceptance and ready error budgets; it does not enable runtime coupling or gameplay auto apply.
