row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_reference_table_source_inventory,l2_powered_cruise_skew_wake_reference_table,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable shapes compact group-level cruise skew wake evidence for downstream review.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable.java,,l2_powered_cruise_skew_wake_reference_table_inventory,Primary compact reference table.
a4mc_l2_powered_cruise_skew_wake_reference_table_source_inventory,l2_powered_cruise_skew_wake_reference_handoff,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff supplies export gating and payload identity.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,l2_powered_cruise_skew_wake_reference_table_inventory,Reference export gate.
a4mc_l2_powered_cruise_skew_wake_reference_table_source_inventory,l2_powered_cruise_skew_wake_error_budget,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget supplies 48 preset plane sweep groups and error envelopes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeErrorBudget.java,,l2_powered_cruise_skew_wake_reference_table_inventory,Group physical targets and diagnostics.
a4mc_l2_powered_cruise_skew_wake_reference_table_source_inventory,l2_powered_cruise_skew_wake_acceptance_gate,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeAcceptanceGate supplies lab validation status behind handoff.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeAcceptanceGate.java,,l2_powered_cruise_skew_wake_reference_table_inventory,Lab acceptance gate.
a4mc_l2_powered_cruise_skew_wake_reference_table_source_inventory,l2_powered_cruise_skew_wake_probe_map,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap supplies the rotor-resolved skew-wake probe geometry behind each group.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,l2_powered_cruise_skew_wake_reference_table_inventory,Probe geometry context.
a4mc_l2_powered_cruise_skew_wake_reference_table_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live transient powered cruise skew wake validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_reference_table_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_cruise_skew_wake_reference_table,apDrone:plane1:sweep0,preset_name,apDrone,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable.java,,current_l2_powered_cruise_skew_wake_reference_table,Current cruise skew wake reference row remains blocked with zero reference weights until the reference handoff opens; rows are review material rather than gameplay tuning parameters.
a4mc_l2_powered_cruise_skew_wake_reference_table,apDrone:plane1:sweep0,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable.java,,current_l2_powered_cruise_skew_wake_reference_table,Current cruise skew wake reference row remains blocked with zero reference weights until the reference handoff opens; rows are review material rather than gameplay tuning parameters.
a4mc_l2_powered_cruise_skew_wake_reference_table,apDrone:plane1:sweep0,axial_plane_index,1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable.java,,current_l2_powered_cruise_skew_wake_reference_table,Current cruise skew wake reference row remains blocked with zero reference weights until the reference handoff opens; rows are review material rather than gameplay tuning parameters.
a4mc_l2_powered_cruise_skew_wake_reference_table,apDrone:plane1:sweep0,sweep_column_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable.java,,current_l2_powered_cruise_skew_wake_reference_table,Current cruise skew wake reference row remains blocked with zero reference weights until the reference handoff opens; rows are review material rather than gameplay tuning parameters.
