row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_result_seed_source_inventory,l2_powered_cruise_skew_wake_result_seed,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed pairs cruise skew wake validation run rows with pressure velocity arrival time and momentum targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,l2_powered_cruise_skew_wake_result_seed_inventory,Primary result seed layer for transient cruise skew wake validation.
a4mc_l2_powered_cruise_skew_wake_result_seed_source_inventory,l2_powered_cruise_skew_wake_validation_run_matrix,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeValidationRunMatrix supplies per target execution status and observed evidence slots.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeValidationRunMatrix.java,,l2_powered_cruise_skew_wake_result_seed_inventory,Validation run evidence source.
a4mc_l2_powered_cruise_skew_wake_result_seed_source_inventory,l2_powered_cruise_skew_wake_readiness_gate,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate blocks live validation until powered source skew probe transient probe target coverage and substepping support are ready.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReadinessGate.java,,l2_powered_cruise_skew_wake_result_seed_inventory,Readiness gate input.
a4mc_l2_powered_cruise_skew_wake_result_seed_source_inventory,l2_powered_cruise_skew_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution supplies strict sample period targets for transient skew wake arrival evidence.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,l2_powered_cruise_skew_wake_result_seed_inventory,Temporal constraint input.
a4mc_l2_powered_cruise_skew_wake_result_seed_source_inventory,l2_powered_cruise_skew_wake_transit,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTransit supplies pressure velocity momentum and arrival time target bounds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,l2_powered_cruise_skew_wake_result_seed_inventory,Target physics input.
a4mc_l2_powered_cruise_skew_wake_result_seed_source_inventory,l2_powered_cruise_skew_wake_probe_map,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap supplies rotor resolved axial plane and lateral sweep probe identities.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,l2_powered_cruise_skew_wake_result_seed_inventory,Spatial probe identity input.
a4mc_l2_powered_cruise_skew_wake_result_seed_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for live powered source transient cruise skew wake validation execution.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_result_seed_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_cruise_skew_wake_result_seed,apDrone:plane1:sweep0:rotor0,preset_name,apDrone,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,current_l2_powered_cruise_skew_wake_result_seed,Current seed pairs target cruise skew wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_cruise_skew_wake_result_seed,apDrone:plane1:sweep0:rotor0,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,current_l2_powered_cruise_skew_wake_result_seed,Current seed pairs target cruise skew wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_cruise_skew_wake_result_seed,apDrone:plane1:sweep0:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,current_l2_powered_cruise_skew_wake_result_seed,Current seed pairs target cruise skew wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_cruise_skew_wake_result_seed,apDrone:plane1:sweep0:rotor0,axial_plane_index,1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,current_l2_powered_cruise_skew_wake_result_seed,Current seed pairs target cruise skew wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_cruise_skew_wake_result_seed,apDrone:plane1:sweep0:rotor0,sweep_column_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,current_l2_powered_cruise_skew_wake_result_seed,Current seed pairs target cruise skew wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_cruise_skew_wake_result_seed,apDrone:plane1:sweep0:rotor0,axial_plane_fraction,0.25,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeResultSeed.java,,current_l2_powered_cruise_skew_wake_result_seed,Current seed pairs target cruise skew wake validation metrics with live evidence slots without fabricating observations.
