row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_temporal_resolution_source_inventory,l2_powered_cruise_skew_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution compares cruise skew-wake centerline transit against Minecraft frame and lab sampling rates.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,l2_powered_cruise_skew_wake_temporal_resolution_inventory,Primary audit surface for transient sampling-rate constraints.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution_source_inventory,l2_powered_cruise_skew_wake_transit,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTransit supplies centerline and lateral-adjusted transit targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,l2_powered_cruise_skew_wake_temporal_resolution_inventory,Transit timing input.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution_source_inventory,l2_powered_cruise_skew_wake_probe_map,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap supplies the rotor-resolved probe grid behind the transit rows.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,l2_powered_cruise_skew_wake_temporal_resolution_inventory,Spatial probe contract input.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution_source_inventory,l2_powered_cruise_wake_footprint,source_description,Aerodynamics4McL2PoweredCruiseWakeFootprint supplies the skew-wake geometry used by probe and transit rows.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,l2_powered_cruise_skew_wake_temporal_resolution_inventory,Wake footprint context input.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution_source_inventory,drone_config_dynamic_inflow,source_description,DroneConfig RotorSpec induced inflow time constants remain the configured lag comparison for temporal targets.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_powered_cruise_skew_wake_temporal_resolution_inventory,Dynamic inflow lag reference.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for live transient cruise skew-wake sampling validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_temporal_resolution_inventory,Upstream CFD target for live validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,axial_plane_index,1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,sweep_column_index,-1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,axial_plane_fraction,0.25,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,centerline_resultant_transit_s,0.0015918585541248561,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,lateral_adjusted_transit_s,0.0020355764595168949,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,transit_band_s,0.00044371790539203884,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,configured_dynamic_inflow_tau_s,0.035000000000000003,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,tau_over_centerline_transit,21.98687811131667,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,tau_over_lateral_transit,17.194146570306959,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,minimum_samples_per_fast_transit,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,recommended_max_sample_period_s,0.00039796463853121401,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,recommended_min_sample_rate_hz,2512.7860698647623,Hz,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,minecraft_tick_rate_hz,20,Hz,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,minecraft_tick_samples_per_centerline_transit,0.031837171082497118,samples,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,minecraft_tick_resolves_centerline_transit,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,required_substeps_per_minecraft_tick,126,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,sixty_hertz_samples_per_centerline_transit,0.095511513247491367,samples,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,sixty_hertz_resolves_centerline_transit,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,required_substeps_per_sixty_hertz_frame,42,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,one_twenty_hertz_samples_per_centerline_transit,0.19102302649498273,samples,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,one_twenty_hertz_resolves_centerline_transit,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_temporal_resolution,racingQuad:plane1:sweep-1:rotor0,required_substeps_per_one_twenty_hertz_frame,21,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTemporalResolution.java,,current_l2_powered_cruise_skew_wake_temporal_resolution,Audit-only cruise skew-wake temporal resolution target before live A4MC transient skew-wake validation.
