row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_skew_wake_transit_source_inventory,l2_powered_cruise_skew_wake_transit,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeTransit brackets forward-flight skew-wake arrival time for rotor-resolved cruise probes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,l2_powered_cruise_skew_wake_transit_inventory,Primary audit surface for transient A4MC powered-cruise skew-wake probes.
a4mc_l2_powered_cruise_skew_wake_transit_source_inventory,l2_powered_cruise_skew_wake_probe_map,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap supplies rotor-resolved probe coordinates wake speeds and pressure targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeProbeMap.java,,l2_powered_cruise_skew_wake_transit_inventory,Spatial probe contract input.
a4mc_l2_powered_cruise_skew_wake_transit_source_inventory,l2_powered_cruise_wake_footprint,source_description,Aerodynamics4McL2PoweredCruiseWakeFootprint supplies the skew-wake footprint used by the probe map.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,l2_powered_cruise_skew_wake_transit_inventory,Skew-wake footprint context input.
a4mc_l2_powered_cruise_skew_wake_transit_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap supplies per-rotor source terms that anchor the probe rows.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_cruise_skew_wake_transit_inventory,Rotor source-term input.
a4mc_l2_powered_cruise_skew_wake_transit_source_inventory,drone_config_dynamic_inflow,source_description,DroneConfig RotorSpec induced inflow time constants provide the configured lag comparison.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_powered_cruise_skew_wake_transit_inventory,Dynamic inflow lag reference.
a4mc_l2_powered_cruise_skew_wake_transit_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for live transient cruise skew-wake probes.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_skew_wake_transit_inventory,Upstream CFD target for live validation.
a4mc_l2_powered_cruise_skew_wake_transit,racingQuad:plane1:sweep-1:rotor0,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,current_l2_powered_cruise_skew_wake_transit,Audit-only rotor-resolved cruise skew-wake transit target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_transit,racingQuad:plane1:sweep-1:rotor0,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,current_l2_powered_cruise_skew_wake_transit,Audit-only rotor-resolved cruise skew-wake transit target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_transit,racingQuad:plane1:sweep-1:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,current_l2_powered_cruise_skew_wake_transit,Audit-only rotor-resolved cruise skew-wake transit target before live A4MC transient skew-wake validation.
a4mc_l2_powered_cruise_skew_wake_transit,racingQuad:plane1:sweep-1:rotor0,axial_plane_index,1,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeTransit.java,,current_l2_powered_cruise_skew_wake_transit,Audit-only rotor-resolved cruise skew-wake transit target before live A4MC transient skew-wake validation.
