row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_source_map_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap expands cruise actuator-disk loads into per-rotor source-term targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_cruise_source_map_inventory,Reference surface for future A4MC powered cruise source-term requests.
a4mc_l2_powered_cruise_source_map_source_inventory,l2_actuator_disk_source_map,source_description,Aerodynamics4McL2ActuatorDiskSourceMap supplies per-rotor center axis force and moment source geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,l2_powered_cruise_source_map_inventory,Source geometry used by the powered cruise map.
a4mc_l2_powered_cruise_source_map_source_inventory,l2_actuator_disk_calibration,source_description,Aerodynamics4McL2ActuatorDiskCalibration supplies cruise spin pressure jump induced velocity edgewise advance and Reynolds context.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,l2_powered_cruise_source_map_inventory,Load and inflow context used by the powered cruise map.
a4mc_l2_powered_cruise_source_map_source_inventory,l2_powered_cruise_experiment_plan,source_description,Aerodynamics4McL2PoweredCruiseExperimentPlan consumes this source-map target in the future forward-flight powered-source harness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseExperimentPlan.java,,l2_powered_cruise_source_map_inventory,Downstream plan using this source-map target.
a4mc_l2_powered_cruise_source_map_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered source-term force and moment validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_source_map_inventory,Upstream CFD target for future powered cruise source terms.
a4mc_l2_powered_cruise_source_map_preset,racingQuad,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,current_l2_powered_cruise_source_map,Forward-flight cruise source map target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_source_map_preset,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,current_l2_powered_cruise_source_map,Forward-flight cruise source map target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_source_map_preset,racingQuad,source_term_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,current_l2_powered_cruise_source_map,Forward-flight cruise source map target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_source_map_preset,racingQuad,inlet_speed_mps,18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,current_l2_powered_cruise_source_map,Forward-flight cruise source map target before live A4MC source-term injection is available.
a4mc_l2_powered_cruise_source_map_preset,racingQuad,spin_ratio,0.65,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,current_l2_powered_cruise_source_map,Forward-flight cruise source map target before live A4MC source-term injection is available.
