row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_cruise_wake_footprint_source_inventory,l2_powered_cruise_wake_footprint,source_description,Aerodynamics4McL2PoweredCruiseWakeFootprint derives cruise slipstream contraction wake skew angle sweep distance mass-flow and local skew-wake probe targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,l2_powered_cruise_wake_footprint_inventory,Primary audit surface for forward-flight skew-wake footprint targets.
a4mc_l2_powered_cruise_wake_footprint_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap supplies cruise thrust pressure jump induced velocity far-wake velocity edgewise advance and source-term rows.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_cruise_wake_footprint_inventory,Powered cruise source-map input.
a4mc_l2_powered_cruise_wake_footprint_source_inventory,l2_powered_source_request_plan,source_description,Aerodynamics4McL2PoweredSourceRequestPlan supplies static L2 grid cell size and request envelope dimensions for future skew-wake probes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,l2_powered_cruise_wake_footprint_inventory,Grid envelope input for skew distance in-cell metrics.
a4mc_l2_powered_cruise_wake_footprint_source_inventory,l2_actuator_disk_calibration,source_description,Aerodynamics4McL2ActuatorDiskCalibration supplies the actuator-disk momentum-theory velocity and power closure basis.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,l2_powered_cruise_wake_footprint_inventory,Momentum-theory reference used by this footprint.
a4mc_l2_powered_cruise_wake_footprint_source_inventory,l2_actuator_disk_source_map,source_description,Aerodynamics4McL2ActuatorDiskSourceMap supplies per-rotor center axis force and moment source geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,l2_powered_cruise_wake_footprint_inventory,Source geometry basis for the powered cruise map.
a4mc_l2_powered_cruise_wake_footprint_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for future powered cruise skew-wake validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_cruise_wake_footprint_inventory,Upstream CFD target for future local skew-wake validation.
a4mc_l2_powered_cruise_wake_footprint,racingQuad,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,current_l2_powered_cruise_wake_footprint,Audit-only forward-flight skew-wake footprint target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_wake_footprint,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,current_l2_powered_cruise_wake_footprint,Audit-only forward-flight skew-wake footprint target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_wake_footprint,racingQuad,source_term_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,current_l2_powered_cruise_wake_footprint,Audit-only forward-flight skew-wake footprint target before live A4MC local skew-wake validation.
a4mc_l2_powered_cruise_wake_footprint,racingQuad,inlet_speed_mps,18,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,current_l2_powered_cruise_wake_footprint,Audit-only forward-flight skew-wake footprint target before live A4MC local skew-wake validation.
