row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_source_map_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap expands hover actuator-disk loads into per-rotor source-term targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_hover_source_map_inventory,Reference surface for future A4MC powered hover source-term requests.
a4mc_l2_powered_hover_source_map_source_inventory,l2_actuator_disk_source_map,source_description,Aerodynamics4McL2ActuatorDiskSourceMap supplies per-rotor center axis force and moment source geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskSourceMap.java,,l2_powered_hover_source_map_inventory,Source geometry used by the powered hover map.
a4mc_l2_powered_hover_source_map_source_inventory,l2_actuator_disk_calibration,source_description,Aerodynamics4McL2ActuatorDiskCalibration supplies hover spin pressure jump induced velocity edgewise advance and Reynolds context.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,l2_powered_hover_source_map_inventory,Load and inflow context used by the powered hover map.
a4mc_l2_powered_hover_source_map_source_inventory,l2_powered_hover_experiment_plan,source_description,Aerodynamics4McL2PoweredHoverExperimentPlan consumes this source-map target in the future powered-hover source harness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverExperimentPlan.java,,l2_powered_hover_source_map_inventory,Downstream plan using this source-map target.
a4mc_l2_powered_hover_source_map_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered source-term force and moment validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_source_map_inventory,Upstream CFD target for future powered hover source terms.
a4mc_l2_powered_hover_source_map_preset,racingQuad,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,rotor_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,source_term_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,inlet_speed_mps,18.0,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,spin_ratio,0.446950883870468,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,total_thrust_n,10.787314999999998,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,thrust_to_weight,0.9999999999999999,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,total_open_area_m2,0.04592036529321073,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,mean_open_fraction,0.90625,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,mean_pressure_jump_pa,234.91352760634265,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,max_pressure_jump_pa,234.91352760634265,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,net_force_x_n,0,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,net_force_y_n,10.787314999999998,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,net_force_z_n,0,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,net_moment_x_nm,0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,net_moment_y_nm,0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,net_moment_z_nm,0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,net_force_magnitude_n,10.787314999999998,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,net_moment_magnitude_nm,0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,center_of_thrust_x_m,0,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,center_of_thrust_y_m,0,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,center_of_thrust_z_m,0,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,center_of_thrust_offset_m,0,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,total_momentum_power_w,105.62928299317387,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,ideal_induced_velocity_mps,9.791990221215743,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,far_wake_velocity_mps,19.583980442431486,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,tip_speed_mps,86.59970425683154,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,edgewise_advance_ratio,0.20785290382305255,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,representative_blade_reynolds_number,56310.59169596214,Re,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,powered_source_api_required,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_map_preset,racingQuad,powered_source_api_available,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_map,Powered hover source map target before live A4MC source-term injection is available.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,center_x_m,0.12727922061357855,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,center_y_m,0,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,center_z_m,0.12727922061357855,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,thrust_axis_x,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,thrust_axis_y,1.0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,thrust_axis_z,0,unit,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,disk_radius_m,0.0635,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,open_area_m2,0.011480091323302683,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,open_fraction,0.90625,fraction,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,pressure_jump_pa,234.91352760634265,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,thrust_n,2.6968287499999994,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
a4mc_l2_powered_hover_source_term,racingQuad:rotor0,force_x_n,0,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,current_l2_powered_hover_source_term,Per-rotor source term target for future powered hover A4MC requests.
