row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_impingement_source_inventory,l2_powered_hover_surface_impingement,source_description,Aerodynamics4McL2PoweredHoverSurfaceImpingement couples hover wake momentum flux to ground and ceiling impingement targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceImpingement.java,,l2_powered_hover_surface_impingement_inventory,Primary audit surface for powered hover surface impingement targets.
a4mc_l2_powered_hover_surface_impingement_source_inventory,l2_powered_hover_wake_footprint,source_description,Aerodynamics4McL2PoweredHoverWakeFootprint supplies far-wake area momentum flux and downwash footprint context.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverWakeFootprint.java,,l2_powered_hover_surface_impingement_inventory,Wake footprint input.
a4mc_l2_powered_hover_surface_impingement_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap supplies per-rotor disk radius and hover source terms.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_hover_surface_impingement_inventory,Rotor disk geometry input.
a4mc_l2_powered_hover_surface_impingement_source_inventory,surface_nearfield_calibration,source_description,SurfaceNearfieldCalibration supplies JIRS ground and ceiling exponential curve-fit multipliers.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/SurfaceNearfieldCalibration.java,,l2_powered_hover_surface_impingement_inventory,Surface-effect curve input.
a4mc_l2_powered_hover_surface_impingement_source_inventory,jirs2024_surface_effect,source_description,JIRS 2024 ground ceiling and wall effect packet supplies raw surface-effect evidence and curve-fit coefficients.,text,docs/data/surface_jirs2024_effect_packet.csv,https://doi.org/10.1007/s10846-024-02155-7,l2_powered_hover_surface_impingement_inventory,Experimental reference for surface-effect multipliers.
a4mc_l2_powered_hover_surface_impingement_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for future powered hover wake impingement validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_impingement_inventory,Upstream CFD target for live validation.
a4mc_l2_powered_hover_surface_impingement,racingQuad:ground:hR0.5,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceImpingement.java,,current_l2_powered_hover_surface_impingement,Audit-only powered hover surface impingement target before live A4MC local wake validation.
a4mc_l2_powered_hover_surface_impingement,racingQuad:ground:hR0.5,surface_type,ground,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceImpingement.java,,current_l2_powered_hover_surface_impingement,Audit-only powered hover surface impingement target before live A4MC local wake validation.
a4mc_l2_powered_hover_surface_impingement,racingQuad:ground:hR0.5,clearance_over_radius,0.5,h/R,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceImpingement.java,,current_l2_powered_hover_surface_impingement,Audit-only powered hover surface impingement target before live A4MC local wake validation.
a4mc_l2_powered_hover_surface_impingement,racingQuad:ground:hR0.5,clearance_m,0.03175,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceImpingement.java,,current_l2_powered_hover_surface_impingement,Audit-only powered hover surface impingement target before live A4MC local wake validation.
