row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_probe_source_inventory,l2_powered_hover_surface_probe_map,source_description,Aerodynamics4McL2PoweredHoverSurfaceProbeMap expands powered hover surface impingement into rotor-resolved local probe points.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,l2_powered_hover_surface_probe_inventory,Primary audit surface for rotor-resolved A4MC hover surface probes.
a4mc_l2_powered_hover_surface_probe_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap supplies per-rotor disk center axis open area pressure jump and thrust.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_hover_surface_probe_inventory,Rotor source geometry input.
a4mc_l2_powered_hover_surface_probe_source_inventory,l2_powered_hover_surface_impingement,source_description,Aerodynamics4McL2PoweredHoverSurfaceImpingement supplies aggregate ground and ceiling reaction targets for these probes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceImpingement.java,,l2_powered_hover_surface_probe_inventory,Aggregate surface target input.
a4mc_l2_powered_hover_surface_probe_source_inventory,surface_nearfield_calibration,source_description,SurfaceNearfieldCalibration supplies the JIRS ground and ceiling curve multipliers reused by every rotor probe.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/SurfaceNearfieldCalibration.java,,l2_powered_hover_surface_probe_inventory,Surface curve input.
a4mc_l2_powered_hover_surface_probe_source_inventory,jirs2024_surface_effect,source_description,JIRS 2024 surface effect data anchors the ground and ceiling curve fits used by the probe map.,text,docs/data/surface_jirs2024_effect_packet.csv,https://doi.org/10.1007/s10846-024-02155-7,l2_powered_hover_surface_probe_inventory,Experimental surface-effect reference.
a4mc_l2_powered_hover_surface_probe_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for live rotor-resolved surface pressure and wake-speed probes.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_probe_inventory,Upstream CFD target for live validation.
a4mc_l2_powered_hover_surface_probe,racingQuad:ground:hR0.5:rotor0,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,current_l2_powered_hover_surface_probe,Audit-only rotor-resolved powered hover surface probe target before live A4MC local wake validation.
a4mc_l2_powered_hover_surface_probe,racingQuad:ground:hR0.5:rotor0,surface_type,ground,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,current_l2_powered_hover_surface_probe,Audit-only rotor-resolved powered hover surface probe target before live A4MC local wake validation.
a4mc_l2_powered_hover_surface_probe,racingQuad:ground:hR0.5:rotor0,clearance_over_radius,0.5,h/R,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,current_l2_powered_hover_surface_probe,Audit-only rotor-resolved powered hover surface probe target before live A4MC local wake validation.
a4mc_l2_powered_hover_surface_probe,racingQuad:ground:hR0.5:rotor0,clearance_m,0.03175,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,current_l2_powered_hover_surface_probe,Audit-only rotor-resolved powered hover surface probe target before live A4MC local wake validation.
a4mc_l2_powered_hover_surface_probe,racingQuad:ground:hR0.5:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,current_l2_powered_hover_surface_probe,Audit-only rotor-resolved powered hover surface probe target before live A4MC local wake validation.
a4mc_l2_powered_hover_surface_probe,racingQuad:ground:hR0.5:rotor0,rotor_center_x_m,0.12727922061357855,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,current_l2_powered_hover_surface_probe,Audit-only rotor-resolved powered hover surface probe target before live A4MC local wake validation.
