row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_wake_acceptance_gate_source_inventory,l2_powered_hover_surface_wake_acceptance_gate,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate aggregates transient surface-wake result seeds into a lab validation acceptance decision.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,l2_powered_hover_surface_wake_acceptance_inventory,Primary lab acceptance gate for transient surface wake evidence.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_source_inventory,l2_powered_hover_surface_wake_result_seed,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed supplies per-target pressure velocity and arrival-time pass/fail seeds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,l2_powered_hover_surface_wake_acceptance_inventory,Per-target validation seed input.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_source_inventory,l2_powered_hover_surface_wake_validation_run_matrix,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeValidationRunMatrix supplies live-run availability and evidence slots for those seeds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeValidationRunMatrix.java,,l2_powered_hover_surface_wake_acceptance_inventory,Execution-status input.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_source_inventory,l2_powered_hover_surface_wake_readiness_gate,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessGate blocks transient validation before source and probe support are ready.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessGate.java,,l2_powered_hover_surface_wake_acceptance_inventory,Readiness gate input.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_source_inventory,l2_powered_hover_surface_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution supplies sample-period requirements behind arrival-time evidence.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,l2_powered_hover_surface_wake_acceptance_inventory,Temporal evidence constraint.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_source_inventory,l2_powered_hover_surface_wake_transit,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTransit supplies target pressure wake speed and fast-to-slow arrival bounds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,l2_powered_hover_surface_wake_acceptance_inventory,Physics target input.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live transient powered-hover surface-wake validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_wake_acceptance_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_scenario,current_transient_probe_unavailable,transient_probe_api_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,current_l2_powered_hover_surface_wake_acceptance_gate,Lab validation accepts only complete live transient surface wake evidence; accepted evidence is not runtime gameplay coupling.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_scenario,current_transient_probe_unavailable,expected_seed_count,128,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,current_l2_powered_hover_surface_wake_acceptance_gate,Lab validation accepts only complete live transient surface wake evidence; accepted evidence is not runtime gameplay coupling.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_scenario,current_transient_probe_unavailable,observed_seed_count,128,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,current_l2_powered_hover_surface_wake_acceptance_gate,Lab validation accepts only complete live transient surface wake evidence; accepted evidence is not runtime gameplay coupling.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_scenario,current_transient_probe_unavailable,ready_seed_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,current_l2_powered_hover_surface_wake_acceptance_gate,Lab validation accepts only complete live transient surface wake evidence; accepted evidence is not runtime gameplay coupling.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_scenario,current_transient_probe_unavailable,passed_seed_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,current_l2_powered_hover_surface_wake_acceptance_gate,Lab validation accepts only complete live transient surface wake evidence; accepted evidence is not runtime gameplay coupling.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_scenario,current_transient_probe_unavailable,failed_seed_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,current_l2_powered_hover_surface_wake_acceptance_gate,Lab validation accepts only complete live transient surface wake evidence; accepted evidence is not runtime gameplay coupling.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_scenario,current_transient_probe_unavailable,unavailable_seed_count,128,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,current_l2_powered_hover_surface_wake_acceptance_gate,Lab validation accepts only complete live transient surface wake evidence; accepted evidence is not runtime gameplay coupling.
a4mc_l2_powered_hover_surface_wake_acceptance_gate_scenario,current_transient_probe_unavailable,missing_seed_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,current_l2_powered_hover_surface_wake_acceptance_gate,Lab validation accepts only complete live transient surface wake evidence; accepted evidence is not runtime gameplay coupling.
