row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_wake_error_budget_source_inventory,l2_powered_hover_surface_wake_error_budget,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget groups transient surface-wake result seeds by preset surface and clearance for lab diagnostics.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget.java,,l2_powered_hover_surface_wake_error_budget_inventory,Primary aggregate error budget for transient surface wake evidence.
a4mc_l2_powered_hover_surface_wake_error_budget_source_inventory,l2_powered_hover_surface_wake_result_seed,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed supplies per-rotor pressure velocity and arrival-time validation seeds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,l2_powered_hover_surface_wake_error_budget_inventory,Rotor-level seed input.
a4mc_l2_powered_hover_surface_wake_error_budget_source_inventory,l2_powered_hover_surface_wake_acceptance_gate,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate consumes complete passing seed sets for lab validation acceptance.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,l2_powered_hover_surface_wake_error_budget_inventory,Global acceptance gate consuming this diagnostic surface.
a4mc_l2_powered_hover_surface_wake_error_budget_source_inventory,l2_powered_hover_surface_wake_validation_run_matrix,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeValidationRunMatrix supplies live run status and observed evidence slots.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeValidationRunMatrix.java,,l2_powered_hover_surface_wake_error_budget_inventory,Live-run execution status input.
a4mc_l2_powered_hover_surface_wake_error_budget_source_inventory,l2_powered_hover_surface_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution supplies timing constraints for transient wake samples.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,l2_powered_hover_surface_wake_error_budget_inventory,Transient timing constraint input.
a4mc_l2_powered_hover_surface_wake_error_budget_source_inventory,l2_powered_hover_surface_wake_transit,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTransit supplies target pressure wake speed and fast-to-slow arrival bands.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,l2_powered_hover_surface_wake_error_budget_inventory,Physics target input.
a4mc_l2_powered_hover_surface_wake_error_budget_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live transient powered-hover surface-wake validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_wake_error_budget_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_hover_surface_wake_error_budget,racingQuad:ground:hR0.5,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget.java,,current_l2_powered_hover_surface_wake_error_budget,Aggregate lab error budget groups rotor-level surface wake seeds by preset surface and clearance; it is not gameplay tuning data.
a4mc_l2_powered_hover_surface_wake_error_budget,racingQuad:ground:hR0.5,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget.java,,current_l2_powered_hover_surface_wake_error_budget,Aggregate lab error budget groups rotor-level surface wake seeds by preset surface and clearance; it is not gameplay tuning data.
a4mc_l2_powered_hover_surface_wake_error_budget,racingQuad:ground:hR0.5,surface_type,ground,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget.java,,current_l2_powered_hover_surface_wake_error_budget,Aggregate lab error budget groups rotor-level surface wake seeds by preset surface and clearance; it is not gameplay tuning data.
