row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_source_inventory,l2_powered_hover_surface_wake_readiness_blocker_report,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessBlockerReport decomposes live hover surface-wake validation blockers into audit-only next actions.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessBlockerReport.java,,l2_powered_hover_surface_wake_readiness_blocker_inventory,Primary diagnostic report for live hover surface-wake validation readiness.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_source_inventory,l2_powered_hover_surface_wake_readiness_gate,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessGate supplies powered-source transient-probe target-coverage temporal-resolution and runtime-coupling readiness fields.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessGate.java,,l2_powered_hover_surface_wake_readiness_blocker_inventory,Upstream live-validation readiness gate.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_source_inventory,l2_powered_hover_surface_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution supplies fast-arrival sampling constraints and target-level transient probe flags.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,l2_powered_hover_surface_wake_readiness_blocker_inventory,Temporal substepping evidence source.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_source_inventory,l2_powered_hover_surface_wake_transit,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTransit supplies rotor-resolved ground and ceiling wake transit targets behind the readiness gate.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,l2_powered_hover_surface_wake_readiness_blocker_inventory,Wake transit target source.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_source_inventory,l2_powered_hover_surface_wake_validation_run_matrix,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeValidationRunMatrix consumes this readiness gate before any live transient probe run can be treated as pending.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeValidationRunMatrix.java,,l2_powered_hover_surface_wake_readiness_blocker_inventory,Downstream run-status consumer.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live powered-source and transient surface-wake probe evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_wake_readiness_blocker_inventory,Upstream CFD target for live hover surface-wake validation.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,live_validation_run_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessBlockerReport.java,,current_l2_powered_hover_surface_wake_readiness_blocker_report,Current live validation remains blocked because powered-source and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,blocker_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessBlockerReport.java,,current_l2_powered_hover_surface_wake_readiness_blocker_report,Current live validation remains blocked because powered-source and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,powered_source_api_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessBlockerReport.java,,current_l2_powered_hover_surface_wake_readiness_blocker_report,Current live validation remains blocked because powered-source and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,transient_probe_api_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessBlockerReport.java,,current_l2_powered_hover_surface_wake_readiness_blocker_report,Current live validation remains blocked because powered-source and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,target_coverage_blocker,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessBlockerReport.java,,current_l2_powered_hover_surface_wake_readiness_blocker_report,Current live validation remains blocked because powered-source and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
a4mc_l2_powered_hover_surface_wake_readiness_blocker_report_scenario,current_api_unavailable_tick_rate_only,target_probe_api_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessBlockerReport.java,,current_l2_powered_hover_surface_wake_readiness_blocker_report,Current live validation remains blocked because powered-source and transient probe APIs are unavailable and tick-rate sampling underresolves the fast wake arrival window.
