row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_wake_reference_handoff_source_inventory,l2_powered_hover_surface_wake_reference_handoff,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff gates export of compact surface-wake lab evidence for downstream reference use.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,l2_powered_hover_surface_wake_reference_handoff_inventory,Primary reference handoff gate for matured surface-wake lab evidence.
a4mc_l2_powered_hover_surface_wake_reference_handoff_source_inventory,l2_powered_hover_surface_wake_acceptance_gate,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate supplies the all-seed lab validation acceptance decision.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,l2_powered_hover_surface_wake_reference_handoff_inventory,Lab acceptance dependency.
a4mc_l2_powered_hover_surface_wake_reference_handoff_source_inventory,l2_powered_hover_surface_wake_error_budget,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget supplies preset surface and clearance aggregate readiness and error diagnostics.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget.java,,l2_powered_hover_surface_wake_reference_handoff_inventory,Aggregate diagnostic dependency.
a4mc_l2_powered_hover_surface_wake_reference_handoff_source_inventory,l2_powered_hover_surface_wake_result_seed,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed supplies rotor-level pressure velocity and arrival-time evidence seeds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,l2_powered_hover_surface_wake_reference_handoff_inventory,Rotor-level validation seed source.
a4mc_l2_powered_hover_surface_wake_reference_handoff_source_inventory,l2_powered_hover_surface_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution supplies timing constraints behind transient wake evidence.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,l2_powered_hover_surface_wake_reference_handoff_inventory,Transient timing constraint source.
a4mc_l2_powered_hover_surface_wake_reference_handoff_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live transient powered-hover surface-wake validation evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_wake_reference_handoff_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,lab_validation_accepted,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,expected_error_budget_group_count,32,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,observed_error_budget_group_count,32,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,ready_error_budget_group_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,validation_candidate_group_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,blocked_error_budget_group_count,32,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,max_pressure_error_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,max_wake_velocity_error_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,max_arrival_band_error_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
a4mc_l2_powered_hover_surface_wake_reference_handoff_scenario,current_lab_validation_blocked,all_error_budget_groups_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,current_l2_powered_hover_surface_wake_reference_handoff,Reference handoff exports compact lab evidence only after accepted surface-wake validation and ready aggregate error budgets; runtime coupling and auto-apply stay closed.
