row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_wake_reference_table_source_inventory,l2_powered_hover_surface_wake_reference_table,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable materializes compact export-disabled surface-wake reference rows for downstream review.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable.java,,l2_powered_hover_surface_wake_reference_table_inventory,Primary compact reference table shape.
a4mc_l2_powered_hover_surface_wake_reference_table_source_inventory,l2_powered_hover_surface_wake_reference_handoff,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff gates whether reference rows may be exported.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,l2_powered_hover_surface_wake_reference_table_inventory,Reference export gate.
a4mc_l2_powered_hover_surface_wake_reference_table_source_inventory,l2_powered_hover_surface_wake_error_budget,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget supplies per preset surface and clearance aggregate pressure velocity and arrival diagnostics.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeErrorBudget.java,,l2_powered_hover_surface_wake_reference_table_inventory,Aggregate diagnostic source.
a4mc_l2_powered_hover_surface_wake_reference_table_source_inventory,l2_powered_hover_surface_wake_acceptance_gate,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate supplies lab-validation acceptance before any reference export.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeAcceptanceGate.java,,l2_powered_hover_surface_wake_reference_table_inventory,Lab acceptance source.
a4mc_l2_powered_hover_surface_wake_reference_table_source_inventory,l2_powered_hover_surface_wake_result_seed,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed supplies rotor-level evidence that feeds the aggregate rows.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,l2_powered_hover_surface_wake_reference_table_inventory,Rotor evidence source.
a4mc_l2_powered_hover_surface_wake_reference_table_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live transient powered-hover surface-wake validation evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_wake_reference_table_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_hover_surface_wake_reference_table,racingQuad:ground:hR0.5,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable.java,,current_l2_powered_hover_surface_wake_reference_table,Current surface-wake reference rows are export-disabled until lab acceptance and reference handoff open; weights stay zero.
a4mc_l2_powered_hover_surface_wake_reference_table,racingQuad:ground:hR0.5,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable.java,,current_l2_powered_hover_surface_wake_reference_table,Current surface-wake reference rows are export-disabled until lab acceptance and reference handoff open; weights stay zero.
a4mc_l2_powered_hover_surface_wake_reference_table,racingQuad:ground:hR0.5,surface_type,ground,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable.java,,current_l2_powered_hover_surface_wake_reference_table,Current surface-wake reference rows are export-disabled until lab acceptance and reference handoff open; weights stay zero.
a4mc_l2_powered_hover_surface_wake_reference_table,racingQuad:ground:hR0.5,clearance_over_radius,0.5,h/R,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable.java,,current_l2_powered_hover_surface_wake_reference_table,Current surface-wake reference rows are export-disabled until lab acceptance and reference handoff open; weights stay zero.
