row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_wake_result_seed_source_inventory,l2_powered_hover_surface_wake_result_seed,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed pairs surface-wake validation run rows with pressure velocity and arrival-time targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,l2_powered_hover_surface_wake_result_seed_inventory,Primary result seed layer for transient surface wake validation.
a4mc_l2_powered_hover_surface_wake_result_seed_source_inventory,l2_powered_hover_surface_wake_validation_run_matrix,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeValidationRunMatrix supplies per-target execution status and observed evidence slots.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeValidationRunMatrix.java,,l2_powered_hover_surface_wake_result_seed_inventory,Validation run evidence source.
a4mc_l2_powered_hover_surface_wake_result_seed_source_inventory,l2_powered_hover_surface_wake_readiness_gate,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessGate blocks live validation until source and transient probe support are ready.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReadinessGate.java,,l2_powered_hover_surface_wake_result_seed_inventory,Readiness gate input.
a4mc_l2_powered_hover_surface_wake_result_seed_source_inventory,l2_powered_hover_surface_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution supplies strict sample-period targets for transient wake arrival evidence.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,l2_powered_hover_surface_wake_result_seed_inventory,Temporal constraint input.
a4mc_l2_powered_hover_surface_wake_result_seed_source_inventory,l2_powered_hover_surface_wake_transit,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTransit supplies pressure velocity and arrival-time target bounds.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,l2_powered_hover_surface_wake_result_seed_inventory,Target physics input.
a4mc_l2_powered_hover_surface_wake_result_seed_source_inventory,l2_powered_hover_surface_probe_map,source_description,Aerodynamics4McL2PoweredHoverSurfaceProbeMap supplies rotor-resolved ground and ceiling probe identities.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,l2_powered_hover_surface_wake_result_seed_inventory,Spatial probe identity input.
a4mc_l2_powered_hover_surface_wake_result_seed_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for live powered-source transient surface wake validation execution.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_wake_result_seed_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,surface_type,ground,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,clearance_over_radius,0.5,h/R,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,clearance_m,0.03175,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,validation_run_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,pressure_evidence_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,velocity_evidence_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,transit_evidence_available,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,validation_seed_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,target_pressure_pa,469.82705521268531,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,observed_pressure_pa,0,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,pressure_error_pa,0,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,pressure_error_ratio,0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
a4mc_l2_powered_hover_surface_wake_result_seed,racingQuad:ground:hR0.5:rotor0,target_wake_velocity_mps,19.583980442431486,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeResultSeed.java,,current_l2_powered_hover_surface_wake_result_seed,Current seed pairs target surface wake validation metrics with live evidence slots without fabricating observations.
