row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_wake_temporal_resolution_source_inventory,l2_powered_hover_surface_wake_temporal_resolution,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution derives substep requirements for transient hover surface wake probes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,l2_powered_hover_surface_wake_temporal_resolution_inventory,Primary audit surface for temporal CFD probe resolution.
a4mc_l2_powered_hover_surface_wake_temporal_resolution_source_inventory,l2_powered_hover_surface_wake_transit,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTransit supplies rotor-resolved surface wake arrival time bands.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,l2_powered_hover_surface_wake_temporal_resolution_inventory,Transit timing input.
a4mc_l2_powered_hover_surface_wake_temporal_resolution_source_inventory,l2_powered_hover_surface_probe_map,source_description,Aerodynamics4McL2PoweredHoverSurfaceProbeMap supplies rotor-resolved ground and ceiling probe identities.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,l2_powered_hover_surface_wake_temporal_resolution_inventory,Spatial probe identity input.
a4mc_l2_powered_hover_surface_wake_temporal_resolution_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap supplies hover induced and far-wake velocity context used upstream.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_hover_surface_wake_temporal_resolution_inventory,Wake velocity source input.
a4mc_l2_powered_hover_surface_wake_temporal_resolution_source_inventory,minecraft_tick_reference,source_description,The 20 Hz Minecraft tick is included only as a low-rate diagnostic contrast for transient wake timing.,text,,,l2_powered_hover_surface_wake_temporal_resolution_inventory,Low-rate frame reference.
a4mc_l2_powered_hover_surface_wake_temporal_resolution_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for live transient wake arrival and temporal-resolution validation.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_wake_temporal_resolution_inventory,Upstream CFD target for live validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,surface_type,ground,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,clearance_over_radius,0.5,h/R,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,clearance_m,0.03175,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,fast_far_wake_transit_s,0.0016212230242637039,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,mean_wake_transit_s,0.0021616306990182715,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,slow_disk_plane_transit_s,0.0032424460485274077,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,transit_band_s,0.0016212230242637039,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,configured_dynamic_inflow_tau_s,0.035000000000000003,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,tau_over_fast_transit,21.588639857798487,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,minimum_samples_per_fast_transit,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,recommended_max_sample_period_s,0.00040530575606592597,s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,recommended_min_sample_rate_hz,2467.2731266055412,Hz,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,minecraft_tick_rate_hz,20,Hz,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,minecraft_tick_samples_per_fast_transit,0.03242446048527408,samples,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,minecraft_tick_resolves_fast_transit,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,required_substeps_per_minecraft_tick,124,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,sixty_hertz_samples_per_fast_transit,0.097273381455822233,samples,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_temporal_resolution,racingQuad:ground:hR0.5:rotor0,sixty_hertz_resolves_fast_transit,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTemporalResolution.java,,current_l2_powered_hover_surface_wake_temporal_resolution,Audit-only temporal resolution target before live A4MC transient wake validation.
