row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_hover_surface_wake_transit_source_inventory,l2_powered_hover_surface_wake_transit,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeTransit brackets surface wake arrival time for rotor-resolved hover probes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,l2_powered_hover_surface_wake_transit_inventory,Primary audit surface for transient A4MC powered-hover surface wake probes.
a4mc_l2_powered_hover_surface_wake_transit_source_inventory,l2_powered_hover_surface_probe_map,source_description,Aerodynamics4McL2PoweredHoverSurfaceProbeMap supplies rotor-resolved ground and ceiling probe locations and pressure targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceProbeMap.java,,l2_powered_hover_surface_wake_transit_inventory,Spatial probe contract input.
a4mc_l2_powered_hover_surface_wake_transit_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap supplies hover induced velocity and far-wake velocity context.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_hover_surface_wake_transit_inventory,Wake-speed context input.
a4mc_l2_powered_hover_surface_wake_transit_source_inventory,drone_config_dynamic_inflow,source_description,DroneConfig RotorSpec induced inflow time constants provide the configured lag comparison.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_powered_hover_surface_wake_transit_inventory,Dynamic inflow lag reference.
a4mc_l2_powered_hover_surface_wake_transit_source_inventory,l2_actuator_disk_calibration,source_description,Aerodynamics4McL2ActuatorDiskCalibration anchors the momentum-theory induced and far-wake velocities.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskCalibration.java,,l2_powered_hover_surface_wake_transit_inventory,Momentum-theory wake velocity reference.
a4mc_l2_powered_hover_surface_wake_transit_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for live transient wake arrival probes.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_hover_surface_wake_transit_inventory,Upstream CFD target for live validation.
a4mc_l2_powered_hover_surface_wake_transit,racingQuad:ground:hR0.5:rotor0,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,current_l2_powered_hover_surface_wake_transit,Audit-only rotor-resolved surface wake transit target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_transit,racingQuad:ground:hR0.5:rotor0,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,current_l2_powered_hover_surface_wake_transit,Audit-only rotor-resolved surface wake transit target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_transit,racingQuad:ground:hR0.5:rotor0,surface_type,ground,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,current_l2_powered_hover_surface_wake_transit,Audit-only rotor-resolved surface wake transit target before live A4MC transient wake validation.
a4mc_l2_powered_hover_surface_wake_transit,racingQuad:ground:hR0.5:rotor0,rotor_index,0,index,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeTransit.java,,current_l2_powered_hover_surface_wake_transit,Audit-only rotor-resolved surface wake transit target before live A4MC transient wake validation.
