row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,l2_powered_nearfield_wake_reference_gate,source_description,Aerodynamics4McL2PoweredNearfieldWakeReferenceGate combines hover surface-wake cruise skew-wake and OpenFOAM CT/CP/J dimensional rotor-reference handoffs with coefficient lookup shape-guard evidence into a single audit-only nearfield reference export gate.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,l2_powered_nearfield_wake_reference_gate_inventory,Primary combined gate for matured nearfield wake and rotor-response reference material.
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,l2_powered_hover_surface_wake_reference_handoff,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff supplies accepted hover ground and ceiling surface-wake reference readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,l2_powered_nearfield_wake_reference_gate_inventory,Hover surface-wake reference handoff dependency.
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,l2_powered_hover_surface_wake_reference_table,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable supplies the compact hover surface-wake reference table row shape.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable.java,,l2_powered_nearfield_wake_reference_gate_inventory,Hover reference table dependency.
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,l2_powered_cruise_skew_wake_reference_handoff,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff supplies accepted forward-flight cruise skew-wake reference readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,l2_powered_nearfield_wake_reference_gate_inventory,Cruise skew-wake reference handoff dependency.
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,l2_powered_cruise_skew_wake_reference_table,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable supplies the compact cruise skew-wake reference table row shape.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable.java,,l2_powered_nearfield_wake_reference_gate_inventory,Cruise reference table dependency.
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,ct_cp_j_openfoam_dimensional_reference_handoff,source_description,PropellerArchiveCtCpJOpenFoamDimensionalReferenceHandoff gates reviewed SI CFD rotor-response reference material after lookup execution solver QA and residual support.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamDimensionalReferenceHandoff.java,,l2_powered_nearfield_wake_reference_gate_inventory,OpenFOAM dimensional rotor-response handoff dependency.
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,ct_cp_j_openfoam_dimensional_reference_table,source_description,PropellerArchiveCtCpJOpenFoamDimensionalReferenceTable supplies the compact six-row OpenFOAM SI rotor-response reference table shape with solver-quality coefficient lookup shape-guard and inherited archive curve-shape diagnostics.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamDimensionalReferenceTable.java,,l2_powered_nearfield_wake_reference_gate_inventory,OpenFOAM dimensional reference table dependency.
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,ct_cp_j_openfoam_solver_quality_blocker_report,source_description,PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport supplies compact OpenFOAM solver-quality blocker count and next-action diagnostics.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,,l2_powered_nearfield_wake_reference_gate_inventory,OpenFOAM solver-quality blocker dependency.
a4mc_l2_powered_nearfield_wake_reference_gate_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live powered nearfield wake evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_nearfield_wake_reference_gate_inventory,Upstream CFD target for live hover and cruise wake validation.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,nearfield_reference_package_export_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,blocker_count,3,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,hover_surface_wake_reference_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,cruise_skew_wake_reference_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_dimensional_reference_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,hover_lab_validation_accepted,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,cruise_lab_validation_accepted,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,hover_error_budget_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,cruise_error_budget_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,hover_reference_material_export_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,cruise_reference_material_export_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_lookup_execution_contract_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_dimensional_support_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_solver_quality_contract_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Nearfield wake reference package is blocked until hover surface-wake cruise skew-wake and OpenFOAM dimensional rotor-reference evidence are ready.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_solver_quality_blocker_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,OpenFOAM solver-quality blockers remain visible from the dimensional reference table.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_solver_quality_blocker_row_count,6,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,All current OpenFOAM reference rows preserve solver-quality blocker diagnostics.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_solver_quality_next_required_action,review-openfoam-mesh-yplus-and-time-step-against-run-setup,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Next action inherited from the OpenFOAM solver-quality blocker report.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_coefficient_lookup_shape_guard_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Current OpenFOAM reference table carries coefficient lookup shape-guard readiness.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_coefficient_lookup_shape_guard_ready_row_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,Current OpenFOAM reference table coefficient lookup shape-guard ready row count.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_coefficient_lookup_shape_guard_inherited_scenario_count,5,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,OpenFOAM reference table preserves inherited coefficient lookup shape-guard scenario count.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_coefficient_lookup_shape_guard_blocked_scenario_count,1,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,OpenFOAM reference table preserves coefficient lookup shape-guard blocked scenario count.
a4mc_l2_powered_nearfield_wake_reference_gate_scenario,current_hover_cruise_and_openfoam_reference_blocked,openfoam_coefficient_negative_thrust_tail_execution_input_row_count,9,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,current_l2_powered_nearfield_wake_reference_gate,OpenFOAM reference table preserves coefficient high-J negative-tail execution input count.
