row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_nearfield_wake_reference_manifest_source_inventory,l2_powered_nearfield_wake_reference_manifest,source_description,Aerodynamics4McL2PoweredNearfieldWakeReferenceManifest lists hover cruise and combined nearfield wake reference artifacts behind the combined gate.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceManifest.java,,l2_powered_nearfield_wake_reference_manifest_inventory,Primary reviewed export manifest for mature nearfield wake reference artifacts.
a4mc_l2_powered_nearfield_wake_reference_manifest_source_inventory,l2_powered_nearfield_wake_reference_gate,source_description,Aerodynamics4McL2PoweredNearfieldWakeReferenceGate supplies combined hover and cruise reference package readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceGate.java,,l2_powered_nearfield_wake_reference_manifest_inventory,Combined gate dependency.
a4mc_l2_powered_nearfield_wake_reference_manifest_source_inventory,l2_powered_hover_surface_wake_reference_table,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable supplies compact hover ground and ceiling wake reference rows.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceTable.java,,l2_powered_nearfield_wake_reference_manifest_inventory,Hover reference artifact dependency.
a4mc_l2_powered_nearfield_wake_reference_manifest_source_inventory,l2_powered_cruise_skew_wake_reference_table,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable supplies compact forward flight skew wake reference rows.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceTable.java,,l2_powered_nearfield_wake_reference_manifest_inventory,Cruise reference artifact dependency.
a4mc_l2_powered_nearfield_wake_reference_manifest_source_inventory,l2_powered_hover_surface_wake_reference_handoff,source_description,Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff gates hover surface wake reference material after lab validation and error budget readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSurfaceWakeReferenceHandoff.java,,l2_powered_nearfield_wake_reference_manifest_inventory,Hover handoff dependency.
a4mc_l2_powered_nearfield_wake_reference_manifest_source_inventory,l2_powered_cruise_skew_wake_reference_handoff,source_description,Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff gates cruise skew wake reference material after lab validation and error budget readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSkewWakeReferenceHandoff.java,,l2_powered_nearfield_wake_reference_manifest_inventory,Cruise handoff dependency.
a4mc_l2_powered_nearfield_wake_reference_manifest_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live powered nearfield wake validation evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_nearfield_wake_reference_manifest_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_nearfield_wake_reference_manifest,current_nearfield_reference_manifest_blocked:hover_surface_wake_reference_table,scenario_name,current_nearfield_reference_manifest_blocked,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceManifest.java,,current_l2_powered_nearfield_wake_reference_manifest,Current manifest entry remains blocked until the combined nearfield reference gate opens.
a4mc_l2_powered_nearfield_wake_reference_manifest,current_nearfield_reference_manifest_blocked:hover_surface_wake_reference_table,artifact_id,hover_surface_wake_reference_table,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceManifest.java,,current_l2_powered_nearfield_wake_reference_manifest,Current manifest entry remains blocked until the combined nearfield reference gate opens.
a4mc_l2_powered_nearfield_wake_reference_manifest,current_nearfield_reference_manifest_blocked:hover_surface_wake_reference_table,artifact_kind,reference-table,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredNearfieldWakeReferenceManifest.java,,current_l2_powered_nearfield_wake_reference_manifest,Current manifest entry remains blocked until the combined nearfield reference gate opens.
