row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_acceptance_budget_blocker_report_source_inventory,l2_powered_source_acceptance_budget_blocker_report,source_description,Aerodynamics4McL2PoweredSourceAcceptanceBudgetBlockerReport expands acceptance budget readiness into stable blocker reasons.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetBlockerReport.java,,l2_powered_source_acceptance_budget_blocker_inventory,Primary acceptance budget blocker report.
a4mc_l2_powered_source_acceptance_budget_blocker_report_source_inventory,l2_powered_source_acceptance_budget_gate,source_description,Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate supplies the budget-aware acceptance evidence state for each scenario.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,l2_powered_source_acceptance_budget_blocker_inventory,Readiness input.
a4mc_l2_powered_source_acceptance_budget_blocker_report_source_inventory,l2_powered_source_acceptance_handoff,source_description,Aerodynamics4McL2PoweredSourceAcceptanceHandoff supplies hover and cruise handoff readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,l2_powered_source_acceptance_budget_blocker_inventory,Handoff blocker input.
a4mc_l2_powered_source_acceptance_budget_blocker_report_source_inventory,l2_powered_source_validation_error_budget,source_description,Aerodynamics4McL2PoweredSourceValidationErrorBudget supplies hover and cruise validation-budget candidate readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceValidationErrorBudget.java,,l2_powered_source_acceptance_budget_blocker_inventory,Validation budget blocker input.
a4mc_l2_powered_source_acceptance_budget_blocker_report_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live powered-source validation evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_acceptance_budget_blocker_inventory,Upstream powered-source CFD target.
a4mc_l2_powered_source_acceptance_budget_blocker_report_scenario,current_handoff_and_budget_blocked,acceptance_budget_gate_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetBlockerReport.java,,current_l2_powered_source_acceptance_budget_blocker_report,Current acceptance evidence is blocked by both hover and cruise handoffs plus validation budgets.
a4mc_l2_powered_source_acceptance_budget_blocker_report_scenario,current_handoff_and_budget_blocked,blocker_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetBlockerReport.java,,current_l2_powered_source_acceptance_budget_blocker_report,Current acceptance evidence is blocked by both hover and cruise handoffs plus validation budgets.
a4mc_l2_powered_source_acceptance_budget_blocker_report_scenario,current_handoff_and_budget_blocked,acceptance_handoff_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetBlockerReport.java,,current_l2_powered_source_acceptance_budget_blocker_report,Current acceptance evidence is blocked by both hover and cruise handoffs plus validation budgets.
a4mc_l2_powered_source_acceptance_budget_blocker_report_scenario,current_handoff_and_budget_blocked,validation_budget_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetBlockerReport.java,,current_l2_powered_source_acceptance_budget_blocker_report,Current acceptance evidence is blocked by both hover and cruise handoffs plus validation budgets.
a4mc_l2_powered_source_acceptance_budget_blocker_report_scenario,current_handoff_and_budget_blocked,hover_acceptance_handoff_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetBlockerReport.java,,current_l2_powered_source_acceptance_budget_blocker_report,Current acceptance evidence is blocked by both hover and cruise handoffs plus validation budgets.
