row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_acceptance_budget_gate_source_inventory,l2_powered_source_acceptance_budget_gate,source_description,Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate joins acceptance handoff readiness with validation error budgets and preserves dominant blocker messages.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,l2_powered_source_acceptance_budget_gate_inventory,Primary budget-aware acceptance evidence gate.
a4mc_l2_powered_source_acceptance_budget_gate_source_inventory,l2_powered_source_acceptance_handoff,source_description,Aerodynamics4McL2PoweredSourceAcceptanceHandoff provides hover and cruise acceptance handoff status plus dominant skipped-run blockers.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,l2_powered_source_acceptance_budget_gate_inventory,Handoff readiness and blocker input.
a4mc_l2_powered_source_acceptance_budget_gate_source_inventory,l2_powered_source_validation_error_budget,source_description,Aerodynamics4McL2PoweredSourceValidationErrorBudget provides hover and cruise error budget candidate status plus dominant skipped-run blockers.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceValidationErrorBudget.java,,l2_powered_source_acceptance_budget_gate_inventory,Validation budget readiness and blocker input.
a4mc_l2_powered_source_acceptance_budget_gate_source_inventory,l2_powered_source_validation_run_matrix,source_description,Aerodynamics4McL2PoweredSourceValidationRunMatrix supplies per-preset validation rows consumed upstream.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceValidationRunMatrix.java,,l2_powered_source_acceptance_budget_gate_inventory,Validation run status behind both upstream inputs.
a4mc_l2_powered_source_acceptance_budget_gate_source_inventory,l2_powered_hover_cruise_acceptance_gates,source_description,Hover and cruise acceptance gates remain downstream consumers and do not open from this audit packet alone.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverAcceptanceGate.java;fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,l2_powered_source_acceptance_budget_gate_inventory,Downstream acceptance targets stay closed until evidence is mature.
a4mc_l2_powered_source_acceptance_budget_gate_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future live powered-source validation evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_acceptance_budget_gate_inventory,Upstream powered-source CFD target.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,hover_acceptance_handoff_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,cruise_acceptance_handoff_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,expected_handoff_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,handoff_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,ready_handoff_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,blocked_handoff_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,acceptance_handoff_blocker_message_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Scenario preserves upstream acceptance-handoff blocker messages before the budget gate can clear.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,dominant_acceptance_handoff_message,powered-source-api-surface-missing,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Scenario preserves the dominant acceptance-handoff blocker before the budget gate can clear.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,expected_validation_budget_group_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,validation_budget_group_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,validation_budget_candidate_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,blocked_validation_budget_group_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,validation_budget_blocker_message_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Scenario preserves upstream validation-budget blocker messages before the budget gate can clear.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,dominant_validation_budget_message,powered-source-api-surface-missing,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Scenario preserves the dominant validation-budget blocker before the budget gate can clear.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,hover_validation_budget_candidate,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,cruise_validation_budget_candidate,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,all_acceptance_handoffs_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,all_validation_budgets_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,acceptance_budget_gate_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,runtime_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,gameplay_auto_apply_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,max_force_error_ratio,0.0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,max_force_error_n,0.0,N,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,max_moment_error_nm,0.0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,max_center_of_force_error_m,0.0,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
a4mc_l2_powered_source_acceptance_budget_gate_scenario,current_handoff_and_budget_blocked,status,BLOCKED,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,current_l2_powered_source_acceptance_budget_gate,Current powered-source evidence is blocked because handoffs and validation budgets are not ready.
