row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_api_surface_audit_source_inventory,l2_powered_source_api_surface_audit,source_description,Aerodynamics4McL2PoweredSourceApiSurfaceAudit records whether public A4MC L2 source-term extension points exist before any powered-source executor is wired.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,l2_powered_source_api_surface_inventory,Primary powered-source API surface audit.
a4mc_l2_powered_source_api_surface_audit_source_inventory,l2_bridge_capability_probe,source_description,Aerodynamics4McL2Bridge supplies reflected L2 base capability status for runL2 request builder masks flow atlas and force moment results.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_powered_source_api_surface_inventory,Base L2 capability input.
a4mc_l2_powered_source_api_surface_audit_source_inventory,upstream_aero_l2_request,source_description,AeroL2Request exposes grid inlet air solid mask initial flow atlas and force moment request controls but no public powered-source extension point at the referenced commit.,text,api/src/main/java/com/aerodynamics4mc/api/AeroL2Request.java,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/62a52a584e9c65246e50226b29a1f0449e43995e/api/src/main/java/com/aerodynamics4mc/api/AeroL2Request.java,l2_powered_source_api_surface_inventory,Upstream request API reference.
a4mc_l2_powered_source_api_surface_audit_source_inventory,upstream_aero_l2_result,source_description,AeroL2Result exposes flow atlas and force moment outputs but no source-term runtime delta channel at the referenced commit.,text,api/src/main/java/com/aerodynamics4mc/api/AeroL2Result.java,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/62a52a584e9c65246e50226b29a1f0449e43995e/api/src/main/java/com/aerodynamics4mc/api/AeroL2Result.java,l2_powered_source_api_surface_inventory,Upstream result API reference.
a4mc_l2_powered_source_api_surface_audit_source_inventory,upstream_aero_l2_force_moment,source_description,AeroL2ForceMoment exposes net force moment center of pressure and reference point components used for static baseline subtraction.,text,api/src/main/java/com/aerodynamics4mc/api/AeroL2ForceMoment.java,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core/blob/62a52a584e9c65246e50226b29a1f0449e43995e/api/src/main/java/com/aerodynamics4mc/api/AeroL2ForceMoment.java,l2_powered_source_api_surface_inventory,Upstream force moment API reference.
a4mc_l2_powered_source_api_surface_audit_source_inventory,l2_powered_source_physical_contract,source_description,Powered-source API readiness also requires SI source units body-frame source placement source time-step semantics force-moment deltas and conservation residual outputs before executor wiring.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,l2_powered_source_api_surface_inventory,Physical contract guard for future public powered-source extension points.
a4mc_l2_powered_source_api_surface_audit_source_inventory,aerodynamics4mc_core_reference_commit,source_description,62a52a584e9c65246e50226b29a1f0449e43995e,git_commit,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_api_surface_inventory,A4MC-Core main branch commit inspected for this API-surface packet.
a4mc_l2_powered_source_api_surface_audit_scenario,current_a4mc_l2_surface,l2_wind_api_available,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,current_l2_powered_source_api_surface,Current A4MC L2 base surface is available in the fixture but public powered-source extension points are absent.
a4mc_l2_powered_source_api_surface_audit_scenario,current_a4mc_l2_surface,l2_request_builder_available,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,current_l2_powered_source_api_surface,Current A4MC L2 base surface is available in the fixture but public powered-source extension points are absent.
a4mc_l2_powered_source_api_surface_audit_scenario,current_a4mc_l2_surface,l2_request_mask_available,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,current_l2_powered_source_api_surface,Current A4MC L2 base surface is available in the fixture but public powered-source extension points are absent.
