row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_coupling_blocker_report_source_inventory,l2_powered_source_coupling_blocker_report,source_description,Aerodynamics4McL2PoweredSourceCouplingBlockerReport expands final powered-source coupling readiness into stable blocker reasons including validation budgets and source-term physical contracts and upstream acceptance-budget blocker messages.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingBlockerReport.java,,l2_powered_source_coupling_blocker_inventory,Primary blocker report.
a4mc_l2_powered_source_coupling_blocker_report_source_inventory,l2_powered_source_coupling_readiness_gate,source_description,Aerodynamics4McL2PoweredSourceCouplingReadinessGate supplies the final runtime coupling state for each scenario with acceptance-budget blocker provenance.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,l2_powered_source_coupling_blocker_inventory,Readiness and blocker-provenance input.
a4mc_l2_powered_source_coupling_blocker_report_source_inventory,l2_powered_source_api_surface_audit,source_description,Aerodynamics4McL2PoweredSourceApiSurfaceAudit supplies the upstream powered-source API surface and physical-contract blockers consumed by final coupling readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,l2_powered_source_coupling_blocker_inventory,Separates global API-surface readiness from policy-level API availability.
a4mc_l2_powered_source_coupling_blocker_report_source_inventory,l2_powered_source_acceptance_budget_gate,source_description,Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate supplies acceptance-budget readiness and validation-budget status plus dominant handoff and validation-budget blockers.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,l2_powered_source_coupling_blocker_inventory,Acceptance-budget evidence input.
a4mc_l2_powered_source_coupling_blocker_report_source_inventory,l2_powered_source_acceptance_handoff,source_description,Aerodynamics4McL2PoweredSourceAcceptanceHandoff supplies hover and cruise validation handoff readiness plus blocker provenance.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,l2_powered_source_coupling_blocker_inventory,Handoff readiness input.
a4mc_l2_powered_source_coupling_blocker_report_source_inventory,l2_powered_source_validation_error_budget,source_description,Aerodynamics4McL2PoweredSourceValidationErrorBudget supplies hover and cruise validation-budget candidate readiness plus blocker provenance.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceValidationErrorBudget.java,,l2_powered_source_coupling_blocker_inventory,Validation-budget readiness input.
a4mc_l2_powered_source_coupling_blocker_report_source_inventory,l2_actuator_disk_representation_policy,source_description,Aerodynamics4McL2ActuatorDiskRepresentationPolicy supplies rotor-disk mask and powered-source API policy readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskRepresentationPolicy.java,,l2_powered_source_coupling_blocker_inventory,Representation policy input.
a4mc_l2_powered_source_coupling_blocker_report_scenario,current_handoff_and_policy_blocked,runtime_powered_source_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingBlockerReport.java,,current_l2_powered_source_coupling_blocker_report,Final coupling blocker report separates acceptance handoff validation-budget and policy blockers.
a4mc_l2_powered_source_coupling_blocker_report_scenario,current_handoff_and_policy_blocked,blocker_count,7,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingBlockerReport.java,,current_l2_powered_source_coupling_blocker_report,Final coupling blocker report separates acceptance handoff validation-budget and policy blockers.
a4mc_l2_powered_source_coupling_blocker_report_scenario,current_handoff_and_policy_blocked,acceptance_handoff_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingBlockerReport.java,,current_l2_powered_source_coupling_blocker_report,Final coupling blocker report separates acceptance handoff validation-budget and policy blockers.
