row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_coupling_conservation_blocker_report_source_inventory,l2_powered_source_coupling_conservation_blocker_report,source_description,Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport decomposes final powered-source coupling conservation guard blockers.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,l2_powered_source_coupling_conservation_blocker_report_inventory,Primary diagnostic split for the final conservation guard.
a4mc_l2_powered_source_coupling_conservation_blocker_report_source_inventory,l2_powered_source_coupling_conservation_guard,source_description,Aerodynamics4McL2PoweredSourceCouplingConservationGuard supplies the guarded coupling and conservation scenarios.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,l2_powered_source_coupling_conservation_blocker_report_inventory,Final guard dependency.
a4mc_l2_powered_source_coupling_conservation_blocker_report_source_inventory,l2_powered_source_coupling_readiness_gate,source_description,Aerodynamics4McL2PoweredSourceCouplingReadinessGate supplies mechanical API policy and acceptance readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,l2_powered_source_coupling_conservation_blocker_report_inventory,Coupling readiness blocker source.
a4mc_l2_powered_source_coupling_conservation_blocker_report_source_inventory,l2_powered_source_conservation_contract,source_description,Aerodynamics4McL2PoweredSourceConservationContract supplies hover and cruise conservation evidence requirements.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceConservationContract.java,,l2_powered_source_coupling_conservation_blocker_report_inventory,Live conservation blocker source.
a4mc_l2_powered_source_coupling_conservation_blocker_report_source_inventory,l2_powered_source_api_surface_audit,source_description,Aerodynamics4McL2PoweredSourceApiSurfaceAudit supplies public API surface and physical source-term contract readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,l2_powered_source_coupling_conservation_blocker_report_inventory,API surface blocker source.
a4mc_l2_powered_source_coupling_conservation_blocker_report_source_inventory,l2_powered_source_acceptance_budget_gate,source_description,Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate supplies hover and cruise validation budget readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,l2_powered_source_coupling_conservation_blocker_report_inventory,Acceptance budget blocker source.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,runtime_powered_source_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Current coupling and conservation evidence are both blocked.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,blocker_count,8,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Eight independent blockers keep runtime coupling closed.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,coupling_readiness_scenario_name,current_handoff_and_policy_blocked,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Uses the current pre-conservation readiness scenario.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,coupling_readiness_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Upstream coupling readiness is blocked.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,powered_source_api_surface_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Public A4MC powered source API surface is missing.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,acceptance_budget_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Acceptance budget gate is not ready.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,policy_runtime_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Representation policy runtime mutation is closed.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,hover_and_cruise_coupling_readiness_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Hover and cruise coupling readiness is not open.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,target_model_self_consistency_blocker,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Analytical target model is self consistent.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,conservation_evidence_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Live hover and cruise conservation evidence is missing.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,hover_conservation_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Hover conservation evidence is missing.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,cruise_conservation_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Cruise conservation evidence is missing.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,gameplay_auto_apply_leak_blocker,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Gameplay auto apply remains closed.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,runtime_coupling_readiness_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Mechanical coupling readiness is blocked.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,powered_source_api_surface_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Public powered source API is not ready.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,acceptance_budget_gate_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Acceptance budget gate is not ready.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,all_policies_runtime_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Representation policies do not allow runtime mutation.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,hover_and_cruise_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Hover and cruise coupling are not jointly ready.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,live_conservation_evidence_accepted,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Live conservation evidence is not accepted.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,hover_live_conservation_accepted,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Hover evidence is not accepted.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,cruise_live_conservation_accepted,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Cruise evidence is not accepted.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,conservation_row_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Hover and cruise conservation rows are required.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,conservation_target_self_consistent_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Both analytical target rows close.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,live_conservation_accepted_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,No live conservation rows are accepted.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,source_force_delta_required_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Hover and cruise both require source force deltas.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,source_moment_delta_required_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Hover and cruise both require source moment deltas.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,wake_residual_required_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Hover and cruise both require wake residuals.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,max_momentum_closure_error_ratio,1.6467089719733323E-16,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Analytical target momentum closure is numerical noise.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,max_kinetic_power_closure_error_ratio,1.430460069096414E-16,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Analytical target power closure is numerical noise.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,conservation_payload_kind,hover-and-cruise-powered-source-conservation-evidence,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Conservation payload identity.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,runtime_info,audit-only-conservation-guard,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Guard is audit only.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,next_required_action,wait-for-public-a4mc-powered-source-api-surface,action,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Resolve public source API before lower-level live evidence work.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,status,BLOCKED,status,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Current final guard remains blocked.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,current_coupling_and_conservation_blocked,message,powered-source-coupling-conservation-blocked,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,current_l2_powered_source_coupling_conservation_blocker_report,Current final guard remains blocked.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,conservation_ready_coupling_blocked,runtime_powered_source_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,target_l2_powered_source_coupling_conservation_blocker_report,Conservation is ready but upstream coupling stays blocked.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,conservation_ready_coupling_blocked,blocker_count,5,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,target_l2_powered_source_coupling_conservation_blocker_report,Five upstream readiness blockers remain.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,conservation_ready_coupling_blocked,coupling_readiness_scenario_name,current_handoff_and_policy_blocked,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,target_l2_powered_source_coupling_conservation_blocker_report,Uses the current pre-conservation readiness scenario.
a4mc_l2_powered_source_coupling_conservation_blocker_report_scenario,conservation_ready_coupling_blocked,coupling_readiness_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationBlockerReport.java,,target_l2_powered_source_coupling_conservation_blocker_report,Upstream coupling readiness is blocked.
