row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_coupling_conservation_guard_source_inventory,l2_powered_source_coupling_conservation_guard,source_description,Aerodynamics4McL2PoweredSourceCouplingConservationGuard wraps coupling readiness with live conservation acceptance before runtime source coupling.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,l2_powered_source_coupling_conservation_guard_inventory,Primary final guard for powered source runtime coupling.
a4mc_l2_powered_source_coupling_conservation_guard_source_inventory,l2_powered_source_coupling_readiness_gate,source_description,Aerodynamics4McL2PoweredSourceCouplingReadinessGate supplies mechanical API policy and acceptance readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,l2_powered_source_coupling_conservation_guard_inventory,Coupling readiness dependency.
a4mc_l2_powered_source_coupling_conservation_guard_source_inventory,l2_powered_source_conservation_contract,source_description,Aerodynamics4McL2PoweredSourceConservationContract supplies hover and cruise live conservation evidence requirements.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceConservationContract.java,,l2_powered_source_coupling_conservation_guard_inventory,Conservation evidence dependency.
a4mc_l2_powered_source_coupling_conservation_guard_source_inventory,l2_powered_source_api_surface_audit,source_description,Aerodynamics4McL2PoweredSourceApiSurfaceAudit supplies source API and physical contract readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,l2_powered_source_coupling_conservation_guard_inventory,API surface dependency.
a4mc_l2_powered_source_coupling_conservation_guard_source_inventory,l2_powered_source_acceptance_budget_gate,source_description,Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate supplies hover and cruise validation handoff plus budget readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceBudgetGate.java,,l2_powered_source_coupling_conservation_guard_inventory,Acceptance evidence dependency.
a4mc_l2_powered_source_coupling_conservation_guard_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for future powered source force moment and wake residual evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_coupling_conservation_guard_inventory,Upstream CFD target for live evidence.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,coupling_readiness_scenario_name,current_handoff_and_policy_blocked,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,Current coupling and conservation evidence are both blocked.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,runtime_coupling_readiness_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,Current coupling and conservation evidence are both blocked.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,powered_source_api_surface_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,Current coupling and conservation evidence are both blocked.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,acceptance_budget_gate_ready,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,Current coupling and conservation evidence are both blocked.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,all_policies_runtime_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,Current coupling and conservation evidence are both blocked.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,hover_and_cruise_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,Current coupling and conservation evidence are both blocked.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,conservation_row_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,Current coupling and conservation evidence are both blocked.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,conservation_target_self_consistent_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,Target model closes but live evidence is missing.
a4mc_l2_powered_source_coupling_conservation_guard_scenario,current_coupling_and_conservation_blocked,live_conservation_accepted_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingConservationGuard.java,,current_l2_powered_source_coupling_conservation_guard,No live conservation rows are accepted.
