row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_coupling_readiness_source_inventory,l2_powered_source_coupling_readiness_gate,source_description,Aerodynamics4McL2PoweredSourceCouplingReadinessGate is the final runtime coupling gate for powered-source evidence.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,l2_powered_source_coupling_readiness_inventory,Final powered-source runtime coupling readiness layer.
a4mc_l2_powered_source_coupling_readiness_source_inventory,l2_powered_source_acceptance_handoff,source_description,Aerodynamics4McL2PoweredSourceAcceptanceHandoff aggregates hover and cruise validation candidates before acceptance gates.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,l2_powered_source_coupling_readiness_inventory,Handoff evidence required by this coupling gate.
a4mc_l2_powered_source_coupling_readiness_source_inventory,l2_actuator_disk_representation_policy,source_description,Aerodynamics4McL2ActuatorDiskRepresentationPolicy keeps rotor disks open and blocks runtime mutation until powered source support is validated.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2ActuatorDiskRepresentationPolicy.java,,l2_powered_source_coupling_readiness_inventory,Representation policy evidence required by this coupling gate.
a4mc_l2_powered_source_coupling_readiness_source_inventory,l2_powered_hover_acceptance_gate,source_description,Aerodynamics4McL2PoweredHoverAcceptanceGate owns hover powered-source coupling evidence.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverAcceptanceGate.java,,l2_powered_source_coupling_readiness_inventory,Hover acceptance gate feeding runtime coupling readiness.
a4mc_l2_powered_source_coupling_readiness_source_inventory,l2_powered_cruise_acceptance_gate,source_description,Aerodynamics4McL2PoweredCruiseAcceptanceGate owns cruise powered-source coupling evidence.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,l2_powered_source_coupling_readiness_inventory,Cruise acceptance gate feeding runtime coupling readiness.
a4mc_l2_powered_source_coupling_readiness_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered body-force or porous-source request support.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_coupling_readiness_inventory,Upstream CFD target for future powered source runtime coupling evidence.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,hover_acceptance_handoff_ready,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,cruise_acceptance_handoff_ready,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,handoff_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,ready_handoff_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,expected_handoff_count,2,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,policy_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,runtime_mutation_allowed_policy_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,solid_disk_mask_allowed_policy_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,actuator_disk_representation_required_policy_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,porous_or_body_force_source_required_policy_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,powered_source_api_available_policy_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,powered_hover_gameplay_coupling_allowed_policy_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,powered_cruise_gameplay_coupling_allowed_policy_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,validation_before_runtime_required_policy_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,keep_rotor_disk_open_policy_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,over_blockage_risk_if_solid_filled_policy_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,all_handoffs_ready,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,all_policies_runtime_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,all_policies_keep_rotor_disks_open,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,all_policies_require_powered_source_api,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,hover_and_cruise_coupling_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
a4mc_l2_powered_source_coupling_readiness_scenario,current_handoff_and_policy_blocked,runtime_powered_source_coupling_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceCouplingReadinessGate.java,,current_l2_powered_source_coupling_readiness,Scenario keeps powered-source runtime coupling closed until handoff and representation policy evidence are both ready.
