row_type,name,sample_name,torque_scale,energy_margin_w,torque_gradient_w_per_scale,axial_gradient_w_per_scale,swirl_gradient_w_per_scale,torque_increase_improves,torque_increase_worsens,torque_stationary,required_axial_scale_reduction,torque_only_linear_closure_available,axial_only_linear_closure_available,swirl_only_linear_closure_available,status,next_required_action,note
a4mc_l2_powered_source_energy_closure_sensitivity_source_inventory,energy_closure_sensitivity,source_description,,,,,,,,,,,,,text,powered_source_energy_closure_sensitivity_inventory,Aerodynamics4McL2PoweredSourceEnergyClosureSensitivity differentiates local closure residual directions.
a4mc_l2_powered_source_energy_closure_sensitivity_source_inventory,energy_closure_manifold,source_description,,,,,,,,,,,,,text,powered_source_energy_closure_sensitivity_inventory,Energy closure manifold supplies current and peak torque residual samples.
a4mc_l2_powered_source_energy_closure_sensitivity_source_inventory,joint_calibration_envelope,source_description,,,,,,,,,,,,,text,powered_source_energy_closure_sensitivity_inventory,Joint calibration envelope supplies axial and swirl closure bounds.
a4mc_l2_powered_source_energy_closure_sensitivity_source_inventory,torque_closure_feasibility,source_description,,,,,,,,,,,,,text,powered_source_energy_closure_sensitivity_inventory,Torque closure feasibility supplies the qS minus M minus q2W residual equation.
a4mc_l2_powered_source_energy_closure_sensitivity_source_inventory,shaft_power_budget,source_description,,,,,,,,,,,,,text,powered_source_energy_closure_sensitivity_inventory,Shaft power budget supplies rotor-side energy deficit provenance.
a4mc_l2_powered_source_energy_closure_sensitivity_source_inventory,powered_source_wake_chain,source_description,,,,,,,,,,,,,text,powered_source_energy_closure_sensitivity_inventory,Hover and cruise source maps plus wake footprints supply axial and swirl wake terms.
a4mc_l2_powered_source_energy_closure_sensitivity_source_inventory,aerodynamics4mc_core_reference,source_description,,,,,,,,,,,,,text,powered_source_energy_closure_sensitivity_inventory,Future A4MC powered-source results should be checked against these residual sensitivities.
a4mc_l2_powered_source_energy_closure_sensitivity,hover:racingQuad,current_torque,1.0,77.20643863055601,159.71087565448408,-105.62928299317387,-23.12484596924582,true,false,false,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,hover:racingQuad,peak_torque,4.453231123504275,352.9657219166488,0.0,-105.62928299317387,-458.5950049098227,false,false,true,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,hover:apDrone,current_torque,1.0,26.20098657861591,63.750377070600244,-49.67232229061328,-12.12293179862895,true,false,false,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,hover:apDrone,peak_torque,3.629330022206762,110.01137675798132,0.0,-49.67232229061328,-159.6836990485946,false,false,true,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,hover:cinewhoop,current_torque,1.0,-155.75495423689642,-87.44110015938952,-139.2865598928443,-70.9727058153374,false,true,false,1.0,false,false,false,TORQUE_INCREASE_WORSENS_DEFICIT,reduce-torque-scale-toward-peak-before-joint-wake-calibration,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,hover:cinewhoop,peak_torque,0.3839807912431793,-128.8222555703899,0.0,-139.2865598928443,-10.464304322454412,false,false,true,0.9248721173779811,false,true,false,TORQUE_GRADIENT_STATIONARY_DEFICIT,calibrate-axial-wake-or-swirl-wake-because-torque-gradient-is-zero,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,hover:heavyLift,current_torque,1.0,121.48000694687056,446.75687134928523,-429.6575529713662,-104.38068856895153,true,false,false,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,hover:heavyLift,peak_torque,3.1400360424628153,599.5179103995674,0.0,-429.6575529713662,-1029.1754633709336,false,false,true,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,cruise:racingQuad,current_torque,1.0,237.4729724756255,491.24162506499783,-324.89647570572583,-71.12782311635357,true,false,false,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,cruise:racingQuad,peak_torque,4.453231123504274,1085.6584068932596,0.0,-324.89647570572583,-1410.5548825989854,false,false,true,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,cruise:apDrone,current_torque,1.0,186.6435887517689,454.1279056433098,-353.84241986983614,-86.35810297829525,true,false,false,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,cruise:apDrone,peak_torque,3.629330022206762,783.6696568666861,0.0,-353.84241986983614,-1137.5120767365222,false,false,true,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,cruise:cinewhoop,current_torque,1.0,-272.2955134644276,-152.86717127200797,-243.50496926749648,-124.07662707507687,false,true,false,1.0,false,false,false,TORQUE_INCREASE_WORSENS_DEFICIT,reduce-torque-scale-toward-peak-before-joint-wake-calibration,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,cruise:cinewhoop,peak_torque,0.38398079124317924,-225.2109565184897,0.0,-243.50496926749648,-18.29401274900679,false,false,true,0.9248721173779811,false,true,false,TORQUE_GRADIENT_STATIONARY_DEFICIT,calibrate-axial-wake-or-swirl-wake-because-torque-gradient-is-zero,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,cruise:heavyLift,current_torque,1.0,213.2605259277559,784.2904173314407,-754.2722297964665,-183.24233839278168,true,false,false,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity,cruise:heavyLift,peak_torque,3.1400360424628144,1052.4654063514986,0.0,-754.2722297964665,-1806.737636147965,false,false,true,0.0,false,false,false,POSITIVE_RESIDUAL_MARGIN,capture-live-powered-source-residual-sensitivity-telemetry,Audit-only local residual sensitivity with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,row_count,,,,,,,,,,,,16,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,positive_margin_count,,,,,,,,,,,,12,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,negative_margin_count,,,,,,,,,,,,4,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,torque_increase_improves_count,,,,,,,,,,,,6,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,torque_increase_worsens_count,,,,,,,,,,,,2,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,torque_stationary_count,,,,,,,,,,,,8,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,torque_only_linear_closure_available_count,,,,,,,,,,,,0,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,axial_only_linear_closure_available_count,,,,,,,,,,,,2,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,swirl_only_linear_closure_available_count,,,,,,,,,,,,0,count,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,min_torque_gradient_w_per_scale,,,,,,,,,,,,-152.86717127200797,W_per_scale,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,max_torque_gradient_w_per_scale,,,,,,,,,,,,784.2904173314407,W_per_scale,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_summary,all_samples,max_required_axial_scale_reduction,,,,,,,,,,,,1.0,fraction,Audit-only residual sensitivity summary.
a4mc_l2_powered_source_energy_closure_sensitivity_method,local_derivatives,dE_dq_equals_S_minus_2qW,,,,,,,,,,,,method,text,For E=qS-A*M-B*q^2*W at B=1 the local derivatives are dE/dq=S-2qW dE/dA=-M and dE/dB=-q^2W; runtime coupling and gameplay auto-apply stay closed.
