row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_request_blocker_report_source_inventory,l2_powered_source_request_blocker_report,source_description,Aerodynamics4McL2PoweredSourceRequestBlockerReport expands powered-source request readiness into stable request execution blockers.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestBlockerReport.java,,l2_powered_source_request_blocker_inventory,Primary request blocker report.
a4mc_l2_powered_source_request_blocker_report_source_inventory,l2_powered_source_request_readiness_gate,source_description,Aerodynamics4McL2PoweredSourceRequestReadinessGate supplies the request execution state for each scenario.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestReadinessGate.java,,l2_powered_source_request_blocker_inventory,Readiness input.
a4mc_l2_powered_source_request_blocker_report_source_inventory,l2_powered_source_api_surface_audit,source_description,Aerodynamics4McL2PoweredSourceApiSurfaceAudit supplies the upstream powered-source API surface blocker consumed by request readiness.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,l2_powered_source_request_blocker_inventory,Separates global API-surface readiness from per-request API backing.
a4mc_l2_powered_source_request_blocker_report_source_inventory,l2_powered_source_request_plan,source_description,Aerodynamics4McL2PoweredSourceRequestPlan supplies the eight hover and cruise powered-source request envelopes.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,l2_powered_source_request_blocker_inventory,Request-envelope input.
a4mc_l2_powered_source_request_blocker_report_source_inventory,l2_powered_source_acceptance_handoff,source_description,Powered hover and cruise acceptance gates must open before request execution can be considered.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceAcceptanceHandoff.java,,l2_powered_source_request_blocker_inventory,Acceptance readiness context.
a4mc_l2_powered_source_request_blocker_report_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered-source request building.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_request_blocker_inventory,Upstream powered-source API target.
a4mc_l2_powered_source_request_blocker_report_scenario,current_api_unavailable_requests_blocked,request_execution_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestBlockerReport.java,,current_l2_powered_source_request_blocker_report,Request blocker report decomposes powered-source request readiness into audit reasons; it does not build A4MC requests or enable runtime coupling.
a4mc_l2_powered_source_request_blocker_report_scenario,current_api_unavailable_requests_blocked,blocker_count,5,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestBlockerReport.java,,current_l2_powered_source_request_blocker_report,Request blocker report decomposes powered-source request readiness into audit reasons; it does not build A4MC requests or enable runtime coupling.
a4mc_l2_powered_source_request_blocker_report_scenario,current_api_unavailable_requests_blocked,powered_source_api_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestBlockerReport.java,,current_l2_powered_source_request_blocker_report,Request blocker report decomposes powered-source request readiness into audit reasons; it does not build A4MC requests or enable runtime coupling.
a4mc_l2_powered_source_request_blocker_report_scenario,current_api_unavailable_requests_blocked,powered_source_api_surface_blocker,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestBlockerReport.java,,current_l2_powered_source_request_blocker_report,Request blocker report decomposes powered-source request readiness into audit reasons; it does not build A4MC requests or enable runtime coupling.
