row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_request_source_inventory,l2_powered_source_request_plan,source_description,Aerodynamics4McL2PoweredSourceRequestPlan packages hover and cruise source-map targets with static L2 request geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,l2_powered_source_request_inventory,Reference surface for future A4MC powered source request envelopes.
a4mc_l2_powered_source_request_source_inventory,l2_bridge,source_description,Aerodynamics4McL2Bridge can build static L2 force moment requests but currently has no powered source-term request surface.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_powered_source_request_inventory,Current bridge capability boundary for request building.
a4mc_l2_powered_source_request_source_inventory,l2_drone_probe,source_description,Aerodynamics4McL2DroneProbe supplies the static wind-tunnel grid and baseline force-moment request geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbe.java,,l2_powered_source_request_inventory,Static request geometry paired with future powered source terms.
a4mc_l2_powered_source_request_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap supplies hover per-rotor body-force source targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_source_request_inventory,Hover source-map target consumed by this request plan.
a4mc_l2_powered_source_request_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap supplies cruise per-rotor body-force source targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_source_request_inventory,Cruise source-map target consumed by this request plan.
a4mc_l2_powered_source_request_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered body-force or porous-source request support.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_request_inventory,Upstream CFD target for future powered source request support.
a4mc_l2_powered_source_request,racingQuad:hover,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,current_l2_powered_source_request_plan,Plan-only powered-source request envelope before A4MC exposes body-force or porous-source request injection.
a4mc_l2_powered_source_request,racingQuad:hover,source_map_id,A4MC-L2-Powered-Hover-Source-Map-Packet,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,current_l2_powered_source_request_plan,Plan-only powered-source request envelope before A4MC exposes body-force or porous-source request injection.
a4mc_l2_powered_source_request,racingQuad:hover,validation_packet_id,A4MC-L2-Powered-Hover-Validation-Packet,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,current_l2_powered_source_request_plan,Plan-only powered-source request envelope before A4MC exposes body-force or porous-source request injection.
a4mc_l2_powered_source_request,racingQuad:hover,acceptance_gate_packet_id,A4MC-L2-Powered-Hover-Acceptance-Gate-Packet,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,current_l2_powered_source_request_plan,Plan-only powered-source request envelope before A4MC exposes body-force or porous-source request injection.
