row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_request_readiness_source_inventory,l2_powered_source_request_readiness_gate,source_description,Aerodynamics4McL2PoweredSourceRequestReadinessGate blocks powered-source request execution until API acceptance and envelope checks are all ready.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestReadinessGate.java,,l2_powered_source_request_readiness_inventory,Execution gate for future A4MC powered source requests.
a4mc_l2_powered_source_request_readiness_source_inventory,l2_powered_source_request_plan,source_description,Aerodynamics4McL2PoweredSourceRequestPlan packages hover and cruise source-map targets with static L2 request geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,l2_powered_source_request_readiness_inventory,Request envelopes checked by this readiness gate.
a4mc_l2_powered_source_request_readiness_source_inventory,l2_powered_hover_acceptance_gate,source_description,Aerodynamics4McL2PoweredHoverAcceptanceGate defines the hover powered-source evidence gate.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverAcceptanceGate.java,,l2_powered_source_request_readiness_inventory,Hover acceptance must be open before request execution.
a4mc_l2_powered_source_request_readiness_source_inventory,l2_powered_cruise_acceptance_gate,source_description,Aerodynamics4McL2PoweredCruiseAcceptanceGate defines the cruise powered-source evidence gate.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseAcceptanceGate.java,,l2_powered_source_request_readiness_inventory,Cruise acceptance must be open before request execution.
a4mc_l2_powered_source_request_readiness_source_inventory,l2_bridge,source_description,Aerodynamics4McL2Bridge can build static L2 force moment requests but currently has no powered source-term request surface.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_powered_source_request_readiness_inventory,Current bridge capability boundary for powered source requests.
a4mc_l2_powered_source_request_readiness_source_inventory,l2_powered_source_api_surface_audit,source_description,Aerodynamics4McL2PoweredSourceApiSurfaceAudit supplies the public A4MC L2 powered-source API surface readiness used by this gate.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceApiSurfaceAudit.java,,l2_powered_source_request_readiness_inventory,Global powered-source API surface input; a manual boolean cannot open request execution without this audit.
a4mc_l2_powered_source_request_readiness_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered body-force or porous-source request support.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_request_readiness_inventory,Upstream CFD target for future powered source support.
a4mc_l2_powered_source_request_readiness_scenario,current_api_unavailable_requests_blocked,powered_source_api_available,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestReadinessGate.java,,current_l2_powered_source_request_readiness_gate,Scenario keeps powered-source request execution auditable before live A4MC source-term support.
a4mc_l2_powered_source_request_readiness_scenario,current_api_unavailable_requests_blocked,powered_source_api_surface_ready,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestReadinessGate.java,,current_l2_powered_source_request_readiness_gate,Scenario keeps powered-source request execution auditable before live A4MC source-term support.
a4mc_l2_powered_source_request_readiness_scenario,current_api_unavailable_requests_blocked,powered_source_executor_wiring_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestReadinessGate.java,,current_l2_powered_source_request_readiness_gate,Scenario keeps powered-source request execution auditable before live A4MC source-term support.
a4mc_l2_powered_source_request_readiness_scenario,current_api_unavailable_requests_blocked,powered_source_api_surface_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestReadinessGate.java,,current_l2_powered_source_request_readiness_gate,Scenario keeps powered-source request execution auditable before live A4MC source-term support.
