row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_result_seed_source_inventory,l2_powered_source_result_seed,source_description,Aerodynamics4McL2PoweredSourceResultSeed pairs static baseline summaries with powered-source run rows before validation.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceResultSeed.java,,l2_powered_source_result_seed_inventory,Result seed packet for future baseline-subtracted powered-source validation.
a4mc_l2_powered_source_result_seed_source_inventory,l2_powered_source_run_matrix,source_description,Aerodynamics4McL2PoweredSourceRunMatrix supplies current skipped powered-source run status, blocker provenance, and future delta slots.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRunMatrix.java,,l2_powered_source_result_seed_inventory,Powered run evidence source for result seeds.
a4mc_l2_powered_source_result_seed_source_inventory,l2_static_airframe_run_matrix,source_description,Aerodynamics4McL2StaticAirframeRunMatrix supplies static baseline force and moment summaries.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRunMatrix.java,,l2_powered_source_result_seed_inventory,Static baseline evidence source for baseline subtraction.
a4mc_l2_powered_source_result_seed_source_inventory,l2_powered_hover_validation,source_description,Aerodynamics4McL2PoweredHoverValidation supplies hover force moment and center-of-force tolerances.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverValidation.java,,l2_powered_source_result_seed_inventory,Hover validation target consumed by result seeds.
a4mc_l2_powered_source_result_seed_source_inventory,l2_powered_cruise_validation,source_description,Aerodynamics4McL2PoweredCruiseValidation supplies cruise force moment and center-of-force tolerances.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseValidation.java,,l2_powered_source_result_seed_inventory,Cruise validation target consumed by result seeds.
a4mc_l2_powered_source_result_seed_source_inventory,l2_bridge,source_description,Aerodynamics4McL2Bridge exposes compact L2 run result and force-moment samples.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_powered_source_result_seed_inventory,Bridge result boundary for future live A4MC powered runs.
a4mc_l2_powered_source_result_seed_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered body-force or porous-source request support.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_result_seed_inventory,Upstream CFD target for future powered source result evidence.
a4mc_l2_powered_source_result_seed,racingQuad:hover,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceResultSeed.java,,current_l2_powered_source_result_seed,Current seed preserves powered-run blocker provenance and stays unavailable until powered-source force-moment deltas exist.
a4mc_l2_powered_source_result_seed,racingQuad:hover,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceResultSeed.java,,current_l2_powered_source_result_seed,Current seed preserves powered-run blocker provenance and stays unavailable until powered-source force-moment deltas exist.
a4mc_l2_powered_source_result_seed,racingQuad:hover,validation_packet_id,A4MC-L2-Powered-Hover-Validation-Packet,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceResultSeed.java,,current_l2_powered_source_result_seed,Current seed preserves powered-run blocker provenance and stays unavailable until powered-source force-moment deltas exist.
