row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_run_source_inventory,l2_powered_source_run_matrix,source_description,Aerodynamics4McL2PoweredSourceRunMatrix records current skipped and future pending powered-source run status without fabricating live force-moment evidence.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRunMatrix.java,,l2_powered_source_run_inventory,Execution-status packet for future A4MC powered-source runs.
a4mc_l2_powered_source_run_source_inventory,l2_powered_source_request_readiness_gate,source_description,Aerodynamics4McL2PoweredSourceRequestReadinessGate must open before any powered-source run can be pending.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestReadinessGate.java,,l2_powered_source_run_inventory,Readiness gate for source API acceptance and request envelopes.
a4mc_l2_powered_source_run_source_inventory,l2_powered_source_request_plan,source_description,Aerodynamics4McL2PoweredSourceRequestPlan supplies the hover and cruise source request envelopes consumed by this run matrix.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRequestPlan.java,,l2_powered_source_run_inventory,Request geometry and source-map target inventory.
a4mc_l2_powered_source_run_source_inventory,l2_bridge,source_description,Aerodynamics4McL2Bridge can run static L2 force moment probes but currently has no powered source-term request surface.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_powered_source_run_inventory,Current live-run boundary for A4MC L2 integration.
a4mc_l2_powered_source_run_source_inventory,l2_powered_hover_validation,source_description,Aerodynamics4McL2PoweredHoverValidation defines baseline-subtracted hover force and moment acceptance.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverValidation.java,,l2_powered_source_run_inventory,Hover validation target for future live run output.
a4mc_l2_powered_source_run_source_inventory,l2_powered_cruise_validation,source_description,Aerodynamics4McL2PoweredCruiseValidation defines baseline-subtracted cruise force moment and center-of-force acceptance.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseValidation.java,,l2_powered_source_run_inventory,Cruise validation target for future live run output.
a4mc_l2_powered_source_run_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for future powered body-force or porous-source request support.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_run_inventory,Upstream CFD target for future powered source execution.
a4mc_l2_powered_source_run,racingQuad:hover,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRunMatrix.java,,current_l2_powered_source_run_matrix,Current run matrix records execution status only and skips live powered-source runs until readiness opens.
a4mc_l2_powered_source_run,racingQuad:hover,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRunMatrix.java,,current_l2_powered_source_run_matrix,Current run matrix records execution status only and skips live powered-source runs until readiness opens.
a4mc_l2_powered_source_run,racingQuad:hover,source_map_id,A4MC-L2-Powered-Hover-Source-Map-Packet,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceRunMatrix.java,,current_l2_powered_source_run_matrix,Current run matrix records execution status only and skips live powered-source runs until readiness opens.
