row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_shaft_power_budget_source_inventory,l2_powered_source_shaft_power_budget,source_description,Aerodynamics4McL2PoweredSourceShaftPowerBudget compares reaction torque shaft power against axial and swirl wake power demand.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_inventory,Primary powered source rotor-side energy budget.
a4mc_l2_powered_source_shaft_power_budget_source_inventory,rotor_spec,source_description,RotorSpec supplies max angular velocity yaw torque per thrust and blade geometry station parameters.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,,l2_powered_source_shaft_power_budget_inventory,Rotor torque and speed input.
a4mc_l2_powered_source_shaft_power_budget_source_inventory,drone_config,source_description,DroneConfig supplies preset rotors battery limits and powered rotor constants.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_powered_source_shaft_power_budget_inventory,Preset and battery input.
a4mc_l2_powered_source_shaft_power_budget_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap supplies hover spin ratio source terms and momentum power.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_source_shaft_power_budget_inventory,Hover source-map input.
a4mc_l2_powered_source_shaft_power_budget_source_inventory,l2_powered_hover_wake_footprint,source_description,Aerodynamics4McL2PoweredHoverWakeFootprint supplies hover mass flow and contracted wake radius.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverWakeFootprint.java,,l2_powered_source_shaft_power_budget_inventory,Hover wake input.
a4mc_l2_powered_source_shaft_power_budget_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap supplies cruise spin ratio source terms and momentum power.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_source_shaft_power_budget_inventory,Cruise source-map input.
a4mc_l2_powered_source_shaft_power_budget_source_inventory,l2_powered_cruise_wake_footprint,source_description,Aerodynamics4McL2PoweredCruiseWakeFootprint supplies cruise mass flow and contracted wake radius.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,l2_powered_source_shaft_power_budget_inventory,Cruise wake input.
a4mc_l2_powered_source_shaft_power_budget_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for future powered source wake power evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_shaft_power_budget_inventory,External CFD target.
a4mc_l2_powered_source_shaft_power_budget,hover,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Spin state.
a4mc_l2_powered_source_shaft_power_budget,hover,preset_budget_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Four preset budgets.
a4mc_l2_powered_source_shaft_power_budget,hover,rotor_budget_count,16,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Sixteen rotor budgets.
a4mc_l2_powered_source_shaft_power_budget,hover,total_shaft_power_w,1003.9793682193074,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Reaction torque times angular velocity summed across presets.
a4mc_l2_powered_source_shaft_power_budget,hover,total_momentum_power_w,724.2457181479976,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Axial wake momentum power demand.
a4mc_l2_powered_source_shaft_power_budget,hover,total_swirl_power_w,210.6011721521637,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Wake swirl kinetic power demand.
a4mc_l2_powered_source_shaft_power_budget,hover,total_aero_power_demand_w,934.8468903001614,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Axial plus swirl wake power demand.
a4mc_l2_powered_source_shaft_power_budget,hover,total_shaft_power_margin_w,69.13247791914603,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Aggregate shaft power minus aggregate aero demand.
a4mc_l2_powered_source_shaft_power_budget,hover,min_preset_shaft_power_margin_ratio,-0.7407756976240387,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Worst preset margin ratio.
a4mc_l2_powered_source_shaft_power_budget,hover,max_preset_shaft_power_margin_ratio,0.5996424289670025,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Best preset margin ratio.
a4mc_l2_powered_source_shaft_power_budget,hover,max_preset_shaft_power_deficit_w,155.75495423689642,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Largest per-preset power deficit.
a4mc_l2_powered_source_shaft_power_budget,hover,max_per_rotor_reaction_torque_nm,0.33097443750000005,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum rotor reaction torque.
a4mc_l2_powered_source_shaft_power_budget,hover,max_per_rotor_angular_velocity_rad_s,1363.7748701863236,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum rotor angular velocity.
a4mc_l2_powered_source_shaft_power_budget,hover,max_per_rotor_reaction_power_w,163.87956212179708,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum per-rotor reaction power.
a4mc_l2_powered_source_shaft_power_budget,hover,max_swirl_power_fraction_of_aero_demand,0.33754852884267295,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum preset swirl share of aero demand.
a4mc_l2_powered_source_shaft_power_budget,hover,max_shaft_power_fraction_of_battery_limit,0.21091320736396021,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum preset shaft power divided by battery power limit.
a4mc_l2_powered_source_shaft_power_budget,hover,shaft_telemetry_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Live shaft telemetry required.
a4mc_l2_powered_source_shaft_power_budget,hover,motor_torque_calibration_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Motor torque calibration required.
a4mc_l2_powered_source_shaft_power_budget,hover,wake_power_closure_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Wake power closure required.
a4mc_l2_powered_source_shaft_power_budget,hover,swirl_power_closure_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Swirl power closure required.
a4mc_l2_powered_source_shaft_power_budget,hover,budget_self_consistent,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,At least one preset has a negative shaft power margin.
a4mc_l2_powered_source_shaft_power_budget,hover,runtime_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Runtime coupling remains closed.
a4mc_l2_powered_source_shaft_power_budget,hover,gameplay_auto_apply_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Gameplay auto apply remains closed.
a4mc_l2_powered_source_shaft_power_budget,hover,next_required_action,calibrate-powered-source-shaft-power-and-rotor-torque-coefficients,action,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Required next physics action.
a4mc_l2_powered_source_shaft_power_budget,hover,status,TARGET_INCONSISTENT,status,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Current target budget is inconsistent.
a4mc_l2_powered_source_shaft_power_budget,hover,message,powered-source-shaft-power-budget-deficit-detected,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Deficit detected.
a4mc_l2_powered_source_shaft_power_budget,cruise,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Spin state.
a4mc_l2_powered_source_shaft_power_budget,cruise,preset_budget_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Four preset budgets.
a4mc_l2_powered_source_shaft_power_budget,cruise,rotor_budget_count,16,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Sixteen rotor budgets.
a4mc_l2_powered_source_shaft_power_budget,cruise,total_shaft_power_w,2506.4025598927556,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Reaction torque times angular velocity summed across presets.
a4mc_l2_powered_source_shaft_power_budget,cruise,total_momentum_power_w,1676.516094639525,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Axial wake momentum power demand.
a4mc_l2_powered_source_shaft_power_budget,cruise,total_swirl_power_w,464.80489156250735,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Wake swirl kinetic power demand.
a4mc_l2_powered_source_shaft_power_budget,cruise,total_aero_power_demand_w,2141.320986202032,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Axial plus swirl wake power demand.
a4mc_l2_powered_source_shaft_power_budget,cruise,total_shaft_power_margin_w,365.0815736907234,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Aggregate shaft power minus aggregate aero demand.
a4mc_l2_powered_source_shaft_power_budget,cruise,min_preset_shaft_power_margin_ratio,-0.7407756976240386,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Worst preset margin ratio.
a4mc_l2_powered_source_shaft_power_budget,cruise,max_preset_shaft_power_margin_ratio,0.5996424289670022,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Best preset margin ratio.
a4mc_l2_powered_source_shaft_power_budget,cruise,max_preset_shaft_power_deficit_w,272.29551346442753,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Largest per-preset power deficit.
a4mc_l2_powered_source_shaft_power_budget,cruise,max_per_rotor_reaction_torque_nm,0.48164999999999997,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum rotor reaction torque.
a4mc_l2_powered_source_shaft_power_budget,cruise,max_per_rotor_angular_velocity_rad_s,2024.308028982762,rad/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum rotor angular velocity.
a4mc_l2_powered_source_shaft_power_budget,cruise,max_per_rotor_reaction_power_w,287.693773529251,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum per-rotor reaction power.
a4mc_l2_powered_source_shaft_power_budget,cruise,max_swirl_power_fraction_of_aero_demand,0.33754852884267295,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum preset swirl share of aero demand.
a4mc_l2_powered_source_shaft_power_budget,cruise,max_shaft_power_fraction_of_battery_limit,0.4189796767841964,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Maximum preset shaft power divided by battery power limit.
a4mc_l2_powered_source_shaft_power_budget,cruise,shaft_telemetry_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Live shaft telemetry required.
a4mc_l2_powered_source_shaft_power_budget,cruise,motor_torque_calibration_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Motor torque calibration required.
a4mc_l2_powered_source_shaft_power_budget,cruise,wake_power_closure_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Wake power closure required.
a4mc_l2_powered_source_shaft_power_budget,cruise,swirl_power_closure_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Swirl power closure required.
a4mc_l2_powered_source_shaft_power_budget,cruise,budget_self_consistent,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,At least one preset has a negative shaft power margin.
a4mc_l2_powered_source_shaft_power_budget,cruise,runtime_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,l2_powered_source_shaft_power_budget_row,Runtime coupling remains closed.
