row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_swirl_conservation_contract_source_inventory,l2_powered_source_swirl_conservation_contract,source_description,Aerodynamics4McL2PoweredSourceSwirlConservationContract records rotor reaction torque wake swirl and angular momentum closure targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_inventory,Primary powered source swirl conservation contract.
a4mc_l2_powered_source_swirl_conservation_contract_source_inventory,l2_powered_hover_source_map,source_description,Aerodynamics4McL2PoweredHoverSourceMap supplies hover per-rotor thrust and source-term geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,l2_powered_source_swirl_conservation_contract_inventory,Hover source-map input.
a4mc_l2_powered_source_swirl_conservation_contract_source_inventory,l2_powered_hover_wake_footprint,source_description,Aerodynamics4McL2PoweredHoverWakeFootprint supplies hover wake radius mass flow and momentum power targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverWakeFootprint.java,,l2_powered_source_swirl_conservation_contract_inventory,Hover wake-footprint input.
a4mc_l2_powered_source_swirl_conservation_contract_source_inventory,l2_powered_cruise_source_map,source_description,Aerodynamics4McL2PoweredCruiseSourceMap supplies cruise per-rotor thrust and source-term geometry.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,l2_powered_source_swirl_conservation_contract_inventory,Cruise source-map input.
a4mc_l2_powered_source_swirl_conservation_contract_source_inventory,l2_powered_cruise_wake_footprint,source_description,Aerodynamics4McL2PoweredCruiseWakeFootprint supplies cruise skew-wake radius mass flow and momentum power targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,l2_powered_source_swirl_conservation_contract_inventory,Cruise wake-footprint input.
a4mc_l2_powered_source_swirl_conservation_contract_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream CFD target for future live powered-source wake swirl evidence.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_powered_source_swirl_conservation_contract_inventory,External CFD dependency target.
a4mc_l2_powered_source_swirl_conservation_contract,hover,spin_state,hover,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Hover source-term spin state.
a4mc_l2_powered_source_swirl_conservation_contract,hover,source_map_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,One source-map row per preset.
a4mc_l2_powered_source_swirl_conservation_contract,hover,rotor_swirl_target_count,16,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,One swirl target per rotor.
a4mc_l2_powered_source_swirl_conservation_contract,hover,recommended_swirl_probe_count,48,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Three azimuth probes per rotor target.
a4mc_l2_powered_source_swirl_conservation_contract,hover,max_per_rotor_reaction_torque_nm,0.33097443750000005,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Maximum unsigned per-rotor reaction torque.
a4mc_l2_powered_source_swirl_conservation_contract,hover,max_signed_wake_angular_momentum_flux_nm,0.33097443750000005,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Maximum signed wake angular momentum flux magnitude.
a4mc_l2_powered_source_swirl_conservation_contract,hover,max_swirl_radius_m,0.060865669202761576,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Blade reference station on contracted far-wake radius.
a4mc_l2_powered_source_swirl_conservation_contract,hover,max_target_tangential_wake_velocity_mps,21.344500815237126,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Tangential velocity needed to recover reaction torque.
a4mc_l2_powered_source_swirl_conservation_contract,hover,max_swirl_kinetic_power_w,26.09517214223788,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Maximum per-rotor swirl kinetic power.
a4mc_l2_powered_source_swirl_conservation_contract,hover,max_swirl_power_fraction_of_momentum_power,0.5095445380368214,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Maximum preset swirl power divided by momentum power.
a4mc_l2_powered_source_swirl_conservation_contract,hover,max_net_signed_reaction_torque_nm,0.0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Symmetric spin-pair signed torque cancellation.
a4mc_l2_powered_source_swirl_conservation_contract,hover,max_net_torque_cancellation_error_ratio,0.0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Net signed torque divided by absolute signed torque.
a4mc_l2_powered_source_swirl_conservation_contract,hover,angular_momentum_target_self_consistent,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Target-only angular momentum closure is internally consistent.
a4mc_l2_powered_source_swirl_conservation_contract,hover,source_moment_delta_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Live A4MC output must expose source moment deltas.
a4mc_l2_powered_source_swirl_conservation_contract,hover,wake_tangential_velocity_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Live A4MC output must expose tangential wake velocity.
a4mc_l2_powered_source_swirl_conservation_contract,hover,wake_angular_momentum_residual_required,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Live A4MC output must expose angular momentum residuals.
a4mc_l2_powered_source_swirl_conservation_contract,hover,live_powered_source_evidence_present,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,No live powered-source result is available.
a4mc_l2_powered_source_swirl_conservation_contract,hover,live_swirl_probe_evidence_present,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,No live swirl probe result is available.
a4mc_l2_powered_source_swirl_conservation_contract,hover,live_swirl_conservation_accepted,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Target-only data cannot be accepted as live conservation evidence.
a4mc_l2_powered_source_swirl_conservation_contract,hover,runtime_coupling_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Runtime coupling remains closed.
a4mc_l2_powered_source_swirl_conservation_contract,hover,gameplay_auto_apply_allowed,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Gameplay auto-apply remains closed.
a4mc_l2_powered_source_swirl_conservation_contract,hover,target_payload_kind,per-rotor-powered-source-wake-swirl-angular-momentum-evidence,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Expected future live payload kind.
a4mc_l2_powered_source_swirl_conservation_contract,hover,next_required_action,capture-live-a4mc-powered-source-swirl-angular-momentum-residuals,action,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Next required physics evidence.
a4mc_l2_powered_source_swirl_conservation_contract,hover,status,TARGET_ONLY,status,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Audit state.
a4mc_l2_powered_source_swirl_conservation_contract,hover,message,powered-source-swirl-target-self-consistent-live-evidence-missing,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Live evidence is still absent.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,spin_state,cruise,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Cruise source-term spin state.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,source_map_count,4,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,One source-map row per preset.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,rotor_swirl_target_count,16,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,One swirl target per rotor.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,recommended_swirl_probe_count,48,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Three azimuth probes per rotor target.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,max_per_rotor_reaction_torque_nm,0.48164999999999997,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Maximum unsigned per-rotor reaction torque.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,max_signed_wake_angular_momentum_flux_nm,0.48164999999999997,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Maximum signed wake angular momentum flux magnitude.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,max_swirl_radius_m,0.060865669202761576,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Blade reference station on contracted far-wake radius.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,max_target_tangential_wake_velocity_mps,25.71296790676885,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Tangential velocity needed to recover reaction torque.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,max_swirl_kinetic_power_w,45.81058459819542,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Maximum per-rotor swirl kinetic power.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,max_swirl_power_fraction_of_momentum_power,0.5095445380368213,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Maximum preset swirl power divided by momentum power.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,max_net_signed_reaction_torque_nm,0.0,N*m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Symmetric spin-pair signed torque cancellation.
a4mc_l2_powered_source_swirl_conservation_contract,cruise,max_net_torque_cancellation_error_ratio,0.0,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceSwirlConservationContract.java,,l2_powered_source_swirl_conservation_contract_row,Net signed torque divided by absolute signed torque.
