row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,torque_closure_feasibility,source_description,Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility records whether rotor yaw-torque scaling alone can close powered-source wake energy demand.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,powered_source_torque_closure_inventory,Primary torque-closure feasibility audit.
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,drone_config_presets,source_description,DroneConfig supplies racingQuad apDrone cinewhoop and heavyLift rotor thrust torque battery and preset constants.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,powered_source_torque_closure_inventory,Preset physical parameter source.
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,rotor_spec,source_description,RotorSpec supplies maximum angular velocity yaw torque per thrust radius blade geometry and spin direction.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,,powered_source_torque_closure_inventory,Rotor torque and geometry source.
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,hover_source_map,source_description,Powered hover source map supplies hover spin ratio axial momentum power and per-rotor source terms.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverSourceMap.java,,powered_source_torque_closure_inventory,Hover source-map input.
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,hover_wake_footprint,source_description,Powered hover wake footprint supplies mass flow and far wake radius for swirl-power terms.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredHoverWakeFootprint.java,,powered_source_torque_closure_inventory,Hover wake-footprint input.
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,cruise_source_map,source_description,Powered cruise source map supplies cruise spin ratio axial momentum power and per-rotor source terms.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseSourceMap.java,,powered_source_torque_closure_inventory,Cruise source-map input.
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,cruise_wake_footprint,source_description,Powered cruise wake footprint supplies mass flow and far wake radius for skew-wake swirl-power terms.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredCruiseWakeFootprint.java,,powered_source_torque_closure_inventory,Cruise wake-footprint input.
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,shaft_power_budget,source_description,Powered source shaft-power budget supplies the aggregate precursor showing per-preset deficits before torque-closure decomposition.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceShaftPowerBudget.java,,powered_source_torque_closure_inventory,Precursor energy-budget audit.
a4mc_l2_powered_source_torque_closure_feasibility_source_inventory,aerodynamics4mc_core_reference,source_description,Aerodynamics4MC-Core remains the upstream L2 wind and force-moment reference for future source-term support.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,powered_source_torque_closure_inventory,Upstream A4MC reference repository.
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,current_shaft_power_w,205.9605675929757,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,axial_momentum_power_w,105.62928299317387,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,current_swirl_power_w,23.12484596924582,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,current_shaft_power_margin_ratio,0.5996424289670025,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,torque_scale_discriminant,32649.11180698462,W2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,torque_scale_closure_possible,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,lower_torque_scale_for_power_closure,0.546380187491724,scale,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,upper_torque_scale_for_power_closure,8.360082059516825,scale,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,peak_feasible_torque_scale,4.453231123504275,scale,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,max_feasible_margin_w,352.96572191664876,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,minimum_momentum_power_reduction_for_torque_only_closure_w,0.0,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,torque_coefficient_only_sufficient,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,joint_wake_or_source_calibration_required,false,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,next_required_action,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,status,TORQUE_BAND_TARGET_ONLY,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:racingQuad,message,current-torque-coefficient-inside-power-closure-band-live-evidence-missing,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,current_shaft_power_w,87.99624066785815,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,axial_momentum_power_w,49.67232229061328,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,current_swirl_power_w,12.12293179862895,W,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,current_shaft_power_margin_ratio,0.42399674481113864,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,torque_scale_discriminant,5334.641670041126,W2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,torque_scale_closure_possible,true,boolean,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,lower_torque_scale_for_power_closure,0.6169138605447205,scale,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,upper_torque_scale_for_power_closure,6.641746183868804,scale,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
a4mc_l2_powered_source_torque_closure_feasibility,hover:apDrone,peak_feasible_torque_scale,3.629330022206762,scale,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2PoweredSourceTorqueClosureFeasibility.java,,current_powered_source_torque_closure,audit-only torque closure; no runtime or gameplay auto-apply
