row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_coefficient_seed_source_inventory,l2_static_airframe_coefficient_seed,source_description,"Aerodynamics4McL2StaticAirframeCoefficientSeed normalizes compact static-airframe L2 force/moment summaries into dimensionless coefficient seeds.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,l2_static_airframe_coefficient_seed_inventory,Reference surface for static-airframe coefficient seed fitting.
a4mc_l2_static_airframe_coefficient_seed_source_inventory,l2_static_airframe_run_matrix,source_description,"Aerodynamics4McL2StaticAirframeRunMatrix supplies the compact reflected L2 run summaries used as coefficient inputs.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeRunMatrix.java,,l2_static_airframe_coefficient_seed_inventory,Reference surface for static-airframe coefficient seed fitting.
a4mc_l2_static_airframe_coefficient_seed_source_inventory,l2_drone_probe_geometry,source_description,"Aerodynamics4McL2DroneProbeAudit supplies body half extents rotor span and inlet vectors used as coefficient reference scales.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2DroneProbeAudit.java,,l2_static_airframe_coefficient_seed_inventory,Reference surface for static-airframe coefficient seed fitting.
a4mc_l2_static_airframe_coefficient_seed_source_inventory,drone_physics_airframe,source_description,"DronePhysics owns the gameplay airframe force model that future live calibrated coefficients may inform after validation.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,l2_static_airframe_coefficient_seed_inventory,Reference surface for static-airframe coefficient seed fitting.
a4mc_l2_static_airframe_coefficient_seed_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for live L2 wind-tunnel force/moment coefficient fitting.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_coefficient_seed_inventory,Reference surface for static-airframe coefficient seed fitting.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,coefficient_fit_ready,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,source_run_available,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,reference_area_m2,0.006131160497,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,reference_length_m,0.381558441227,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,air_density_kg_m3,1.225,kg/m^3,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,dynamic_pressure_pa,198.45,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,force_coefficient_x,1.027344794778,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,force_coefficient_y,-0.410937917911,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,force_coefficient_z,2.465627507468,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,drag_coefficient,2.465627507468,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,side_force_coefficient,1.027344794778,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,lift_coefficient,-0.410937917911,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,moment_coefficient_x,0.430799457837,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,moment_coefficient_y,-0.215399728919,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,moment_coefficient_z,0.861598915675,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,moment_coefficient_magnitude,0.987085562443,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,pressure_center_offset_ratio,0.980625067361,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,source_run_status,OK,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,racingQuad,source_runtime_info,test-runtime,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,coefficient_fit_ready,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,source_run_available,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,reference_area_m2,0.006378859381,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,reference_length_m,0.263890288425,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,air_density_kg_m3,1.225,kg/m^3,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,dynamic_pressure_pa,120.05,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,force_coefficient_x,1.632318189571,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,force_coefficient_y,-0.652927275828,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,force_coefficient_z,3.917563654970,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,drag_coefficient,3.917563654970,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,side_force_coefficient,1.632318189571,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,lift_coefficient,-0.652927275828,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,moment_coefficient_x,0.989695057675,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,moment_coefficient_y,-0.494847528837,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,moment_coefficient_z,1.979390115350,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,moment_coefficient_magnitude,2.267676258360,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,pressure_center_offset_ratio,1.417883661257,ratio,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,source_run_status,OK,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,apDrone,source_runtime_info,test-runtime,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,coefficient_fit_ready,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,source_run_available,true,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,reference_area_m2,0.003801327111,m^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,reference_length_m,0.259847763109,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,air_density_kg_m3,1.225,kg/m^3,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,dynamic_pressure_pa,39.2,Pa,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,force_coefficient_x,8.388584873708,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,force_coefficient_y,-3.355433949483,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,force_coefficient_z,20.132603696900,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,drag_coefficient,20.132603696900,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,side_force_coefficient,8.388584873708,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,lift_coefficient,-3.355433949483,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,moment_coefficient_x,5.165230532436,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,moment_coefficient_y,-2.582615266218,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
a4mc_l2_static_airframe_coefficient_seed_preset,cinewhoop,moment_coefficient_z,10.330461064872,coefficient,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeCoefficientSeed.java,,current_l2_static_airframe_coefficient_seed,Dimensionless coefficient seed from reflected test-runtime static-airframe L2 summaries; not a calibrated gameplay coefficient.
