row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_source_inventory,l2_static_airframe_multi_axis_coefficient_acceptance_gate,source_description,Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate keeps full static-airframe coefficient seeds out of gameplay fitting until every multi-axis sweep is live-runtime fit-ready bounded and forward/reverse sign-consistent.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate.java,,l2_static_airframe_multi_axis_coefficient_acceptance_inventory,Reference surface for full static-airframe multi-axis coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_source_inventory,l2_static_airframe_multi_axis_coefficient_seed,source_description,Aerodynamics4McL2StaticAirframeMultiAxisCoefficientSeed supplies normalized signed body-axis inlet-axis moment and pressure-center coefficient seeds for all planned sweeps.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientSeed.java,,l2_static_airframe_multi_axis_coefficient_acceptance_inventory,Reference surface for full static-airframe multi-axis coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_source_inventory,l2_static_airframe_multi_axis_run_matrix,source_description,Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix supplies compact force moment pressure-center run summaries for every forward reverse sideslip and angle-of-attack sweep.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix.java,,l2_static_airframe_multi_axis_coefficient_acceptance_inventory,Reference surface for full static-airframe multi-axis coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_source_inventory,drone_physics_airframe,source_description,DronePhysics owns the gameplay sideforce lift moment pressure-center and body drag paths that future live multi-axis coefficients may inform after this gate opens.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,l2_static_airframe_multi_axis_coefficient_acceptance_inventory,Reference surface for full static-airframe multi-axis coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for live multi-axis L2 wind-tunnel force/moment coefficient fitting.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_multi_axis_coefficient_acceptance_inventory,Reference surface for full static-airframe multi-axis coefficient gameplay-fit acceptance gating.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_scenario,current_runtime_unavailable,expected_seed_count,24,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate.java,,current_l2_static_airframe_multi_axis_coefficient_acceptance,Full static-airframe fitting remains blocked unless all expected multi-axis coefficient seeds are fit-ready bounded sign-consistent and from live A4MC runtime.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_scenario,current_runtime_unavailable,observed_seed_count,24,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate.java,,current_l2_static_airframe_multi_axis_coefficient_acceptance,Full static-airframe fitting remains blocked unless all expected multi-axis coefficient seeds are fit-ready bounded sign-consistent and from live A4MC runtime.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_scenario,current_runtime_unavailable,fit_ready_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate.java,,current_l2_static_airframe_multi_axis_coefficient_acceptance,Full static-airframe fitting remains blocked unless all expected multi-axis coefficient seeds are fit-ready bounded sign-consistent and from live A4MC runtime.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_scenario,current_runtime_unavailable,live_runtime_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate.java,,current_l2_static_airframe_multi_axis_coefficient_acceptance,Full static-airframe fitting remains blocked unless all expected multi-axis coefficient seeds are fit-ready bounded sign-consistent and from live A4MC runtime.
a4mc_l2_static_airframe_multi_axis_coefficient_acceptance_gate_scenario,current_runtime_unavailable,bounded_coefficient_count,24,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate.java,,current_l2_static_airframe_multi_axis_coefficient_acceptance,Full static-airframe fitting remains blocked unless all expected multi-axis coefficient seeds are fit-ready bounded sign-consistent and from live A4MC runtime.
