row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_multi_axis_config_blend_policy_source_inventory,l2_static_airframe_multi_axis_config_blend_policy,source_description,Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy caps accepted A4MC multi-axis gameplay targets into reviewed body-drag and pressure-center suggestions without changing runtime presets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,l2_static_airframe_multi_axis_config_blend_policy_inventory,Reference surface for capped multi-axis config suggestion policy.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_source_inventory,l2_static_airframe_multi_axis_gameplay_fit_candidate,source_description,Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate supplies accepted body-drag moment and pressure-center targets for the blend policy.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,l2_static_airframe_multi_axis_config_blend_policy_inventory,Input candidate surface for capped config suggestions.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_source_inventory,l2_static_airframe_multi_axis_coefficient_acceptance_gate,source_description,Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate keeps unavailable test-runtime incomplete unbounded or sign-inconsistent coefficient sets out of blend suggestions.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate.java,,l2_static_airframe_multi_axis_config_blend_policy_inventory,Gate required before any blend suggestion can move away from current config.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_source_inventory,drone_config_airframe_terms,source_description,DroneConfig supplies current bodyDragCoefficients and centerOfPressureOffsetBodyMeters values used as the blend baseline.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_static_airframe_multi_axis_config_blend_policy_inventory,Current runtime preset baseline for audit suggestions.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for live L2 force moment and pressure-center fitting used by this policy.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_multi_axis_config_blend_policy_inventory,Upstream live CFD target for future calibration evidence.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,scenario_name,current_runtime_unavailable,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,preset_name,racingQuad,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,multi_axis_candidate_ready,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,pressure_center_vector_resolved,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,blend_policy_reviewed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,runtime_config_auto_apply_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,current_body_drag_x_n_per_mps2,0.0025,N/(m/s)^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,target_body_drag_x_n_per_mps2,0,N/(m/s)^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,suggested_body_drag_x_n_per_mps2,0.0025,N/(m/s)^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
a4mc_l2_static_airframe_multi_axis_config_blend_policy_preset,current_runtime_unavailable:racingQuad,current_body_drag_y_n_per_mps2,0.002,N/(m/s)^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisConfigBlendPolicy.java,,current_l2_static_airframe_multi_axis_config_blend_policy,Audit-only capped config suggestion; runtime preset mutation remains disabled pending live calibration review.
