row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_source_inventory,l2_static_airframe_multi_axis_gameplay_fit_candidate,source_description,Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate maps accepted live A4MC multi-axis coefficient sweeps into body-drag sideforce lift moment and pressure-center gameplay-fit candidates without changing runtime physics.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,l2_static_airframe_multi_axis_gameplay_fit_candidate_inventory,Reference surface for multi-axis coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_source_inventory,l2_static_airframe_multi_axis_coefficient_acceptance_gate,source_description,Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate blocks unavailable test-runtime incomplete unbounded or forward/reverse sign-inconsistent coefficient sets before candidate adoption.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientAcceptanceGate.java,,l2_static_airframe_multi_axis_gameplay_fit_candidate_inventory,Reference surface for multi-axis coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_source_inventory,l2_static_airframe_multi_axis_coefficient_seed,source_description,Aerodynamics4McL2StaticAirframeMultiAxisCoefficientSeed supplies directional projected-area signed axial body-axis moment and pressure-center coefficients for all sweep targets.,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisCoefficientSeed.java,,l2_static_airframe_multi_axis_gameplay_fit_candidate_inventory,Reference surface for multi-axis coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_source_inventory,drone_config_airframe_terms,source_description,DroneConfig supplies current bodyDragCoefficients angularDragCoefficient and centerOfPressureOffsetBodyMeters values used for target-to-current comparisons.,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,l2_static_airframe_multi_axis_gameplay_fit_candidate_inventory,Reference surface for multi-axis coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_source_inventory,aerodynamics4mc_l2_target,source_description,Aerodynamics4MC Core is the upstream target for live multi-axis L2 wind-tunnel coefficient fitting.,text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_multi_axis_gameplay_fit_candidate_inventory,Reference surface for multi-axis coefficient-to-gameplay-fit candidate mapping.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,coefficient_gate_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,expected_sweep_count,6,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,observed_sweep_count,6,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,fit_ready_sweep_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,live_runtime_sweep_count,0,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,bounded_sweep_count,6,count,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,multi_axis_candidate_ready,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,runtime_config_auto_apply_allowed,false,bool,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,current_body_drag_x_n_per_mps2,0.0025,N/(m/s)^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
a4mc_l2_static_airframe_multi_axis_gameplay_fit_candidate_preset,current_runtime_unavailable:racingQuad,target_body_drag_x_n_per_mps2,0,N/(m/s)^2,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisGameplayFitCandidate.java,,current_l2_static_airframe_multi_axis_gameplay_fit_candidate,Audit-only full static-airframe fit candidate; automatic runtime config application remains blocked.
