row_type,name,metric,value,unit,source_file,source_url,evidence_role,note
a4mc_l2_static_airframe_multi_axis_run_matrix_source_inventory,l2_static_airframe_multi_axis_run_matrix,source_description,"Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix runs compact reflected L2 force moment summaries for each static-airframe sweep target.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix.java,,l2_static_airframe_multi_axis_run_matrix_inventory,Reference surface for live multi-axis A4MC L2 static-airframe run summaries.
a4mc_l2_static_airframe_multi_axis_run_matrix_source_inventory,l2_static_airframe_multi_axis_sweep_plan,source_description,"Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan supplies the 24 forward reverse sideslip and angle-of-attack request targets.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisSweepPlan.java,,l2_static_airframe_multi_axis_run_matrix_inventory,Reference surface for live multi-axis A4MC L2 static-airframe run summaries.
a4mc_l2_static_airframe_multi_axis_run_matrix_source_inventory,l2_bridge_force_moment,source_description,"Aerodynamics4McL2Bridge builds A4MC L2 requests and extracts compact force moment and pressure-center results without retaining raw flow atlas state.",text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2Bridge.java,,l2_static_airframe_multi_axis_run_matrix_inventory,Reference surface for live multi-axis A4MC L2 static-airframe run summaries.
a4mc_l2_static_airframe_multi_axis_run_matrix_source_inventory,drone_physics_airframe,source_description,"DronePhysics consumes fitted airframe drag lift sideforce moment and pressure-center behavior after later acceptance gates open.",text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,l2_static_airframe_multi_axis_run_matrix_inventory,Reference surface for live multi-axis A4MC L2 static-airframe run summaries.
a4mc_l2_static_airframe_multi_axis_run_matrix_source_inventory,aerodynamics4mc_l2_target,source_description,"Aerodynamics4MC Core is the upstream target for live multi-axis L2 force moment and pressure-center runs.",text,,https://github.com/MozillaFiredoge/Aerodynamics4MC-Core,l2_static_airframe_multi_axis_run_matrix_inventory,Reference surface for live multi-axis A4MC L2 static-airframe run summaries.
a4mc_l2_static_airframe_multi_axis_run_matrix_case,racingQuad:forward_drag,fit_role,drag_z,text,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix.java,,current_l2_static_airframe_multi_axis_run_matrix,Compact reflected test-runtime result shape for future live A4MC multi-axis force moment fitting.
a4mc_l2_static_airframe_multi_axis_run_matrix_case,racingQuad:forward_drag,grid_cell_count,14560,cells,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix.java,,current_l2_static_airframe_multi_axis_run_matrix,Compact reflected test-runtime result shape for future live A4MC multi-axis force moment fitting.
a4mc_l2_static_airframe_multi_axis_run_matrix_case,racingQuad:forward_drag,cell_size_m,0.02,m,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix.java,,current_l2_static_airframe_multi_axis_run_matrix,Compact reflected test-runtime result shape for future live A4MC multi-axis force moment fitting.
a4mc_l2_static_airframe_multi_axis_run_matrix_case,racingQuad:forward_drag,steps,72,steps,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix.java,,current_l2_static_airframe_multi_axis_run_matrix,Compact reflected test-runtime result shape for future live A4MC multi-axis force moment fitting.
a4mc_l2_static_airframe_multi_axis_run_matrix_case,racingQuad:forward_drag,inlet_vx_mps,0,m/s,fabric-mod/src/main/java/com/tenicana/dronecraft/integration/Aerodynamics4McL2StaticAirframeMultiAxisRunMatrix.java,,current_l2_static_airframe_multi_axis_run_matrix,Compact reflected test-runtime result shape for future live A4MC multi-axis force moment fitting.
