row_type,propeller,filename,source_url,apc_title,software_version,simulation_date,diameter_in,pitch_in,pitch_to_diameter,blade_count,role,rpm,speed_mph,speed_m_s,j,code_mu_equivalent_j_over_pi,efficiency_pe,ct,cp,power_hp,torque_in_lbf,thrust_lbf,power_w,torque_n_m,thrust_n,thrust_g_per_w,mach_tip,reynolds_75,figure_of_merit,same_rpm_static_ct,same_rpm_static_cp,ct_over_same_rpm_static_ct,cp_over_same_rpm_static_cp,q_over_t_over_same_rpm_static_q_over_t
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,0.0,0.0,0.0,0.0,0.0,0.1888,0.1456,0.0,0.002,0.004,0.027,0.0,0.017,62.487,0.02,4711.0,0.4497,0.1888,0.1456,1.0,1.0,1.0
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,0.17,0.0759968,0.035,0.011140846016432676,0.0446,0.187,0.1468,0.0,0.002,0.004,0.028,0.0,0.017,61.394,0.02,4717.0,0.4397,0.1888,0.1456,0.9904661016949152,1.0082417582417582,1.0179467591232298
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,0.33,0.1475232,0.07,0.02228169203286535,0.0876,0.1851,0.1479,0.0,0.002,0.004,0.028,0.0,0.016,60.274,0.02,4724.0,0.4295,0.1888,0.1456,0.9804025423728813,1.0157967032967032,1.0361016617094412
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,0.5,0.22352,0.1051,0.033454369037916404,0.129,0.183,0.1491,0.0,0.002,0.004,0.028,0.0,0.016,59.133,0.02,4732.0,0.419,0.1888,0.1456,0.9692796610169492,1.0240384615384615,1.0564943253467844
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,0.66,0.2950464,0.1401,0.044595215054349074,0.1686,0.1807,0.1502,0.0,0.002,0.004,0.028,0.0,0.016,57.974,0.02,4740.0,0.4082,0.1888,0.1456,0.9570974576271186,1.0315934065934065,1.0778352803809361
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,0.83,0.37104319999999996,0.1751,0.05573606107078175,0.2065,0.1782,0.1512,0.0,0.002,0.004,0.028,0.0,0.016,56.801,0.02,4749.0,0.3972,0.1888,0.1456,0.9438559322033898,1.0384615384615383,1.1002331002331003
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,0.99,0.4425696,0.2101,0.06687690708721443,0.2426,0.1755,0.152,0.0,0.002,0.003,0.029,0.0,0.016,55.617,0.02,4758.0,0.3859,0.1888,0.1456,0.9295550847457626,1.0439560439560438,1.1230706615322
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,1.16,0.5185664,0.2452,0.07804958409226548,0.277,0.1725,0.1527,0.0,0.002,0.003,0.029,0.0,0.015,54.426,0.02,4769.0,0.3744,0.1888,0.1456,0.9136652542372881,1.0487637362637363,1.1478643096034402
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,1.33,0.5945632000000001,0.2802,0.08919043010869815,0.3096,0.1692,0.1531,0.0,0.002,0.003,0.029,0.0,0.015,53.23,0.02,4780.0,0.3626,0.1888,0.1456,0.896186440677966,1.051510989010989,1.173317226508716
apc_performance_point,APC_5x4.5E,PER3_5x45E.dat,https://www.apcprop.com/files/PER3_5x45E.dat,5x4.5E                   (5x45E.dat),v2022-0915,09/22/2022,5.0,4.5,0.9,2,5-inch moderate-pitch axial reference,1000,1.49,0.6660896,0.3152,0.10033127612513082,0.3404,0.1655,0.1533,0.0,0.002,0.003,0.029,0.0,0.015,52.031,0.02,4792.0,0.3506,0.1888,0.1456,0.8765889830508475,1.0528846153846152,1.2011155008133858
