row_type,source,source_page,preset,battery_pack_resistance_ohm,cell_count,per_cell_ir_mohm,capacity_ah,max_current_a,current_limit_c,sag_at_max_current_v,sag_at_max_current_percent_full_4s,oscar_1500mah_health_band,note,reference_pack,listed_c,listed_current_a,measured_per_cell_ir_mean_mohm,measured_pack_resistance_ohm,measured_sag_at_apdrone_150a_v,measured_sag_at_apdrone_150a_percent_full_4s,apdrone_config_ir_over_measured_mean,apdrone_config_sag_minus_measured_sag_at_150a_v,candidate,normal_raw_per_amp,max_raw_per_amp,normal_power_mean_current_a,max_power_mean_current_a,delta_current_a,normal_power_mean_v,max_power_mean_v,delta_mean_v,inferred_pack_resistance_ohm,inferred_per_cell_ir_mohm,inferred_oscar_1500mah_health_band,apdrone_config_resistance_over_inferred,apdrone_config_predicted_delta_sag_v,observed_delta_v_over_config_predicted_delta_sag,scenario,raw_per_amp,mean_current_a,p95_current_a,vbat_start_mean_v,full_4s_minus_start_v,start_drop_pack_resistance_proxy_ohm,start_drop_per_cell_ir_proxy_mohm,start_drop_oscar_1500mah_health_band,apdrone_config_resistance_over_start_drop_proxy,config_sag_at_mean_current_v,config_sag_at_p95_current_v
apdrone_config_battery_resistance,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,https://data.mendeley.com/datasets/zgsvdtxnfh/2,apDrone,0.016,4,4.0,1.5,150.0,100.0,2.4,14.285714285714285,oscar_1500mah_great,Current apDrone DroneConfig pack resistance expressed as FPV 4S per-cell IR and 1500mAh health band.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_fpv_4s_measured_ir_anchor,https://oscarliang.com/acehe-formula-4s-95c-lipo-batteries/,,,,,,1.5,,,,,oscar_1500mah_great,Oscar Liang charger-IR row reused as an external FPV 4S absolute-resistance anchor. Charger IR is not lab DCIR.,DroneLab 4S 50C 1500mAh,50.0,75.0,6.75,0.027,4.05,24.107142857142854,0.5925925925925926,-1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_fpv_4s_measured_ir_anchor,https://oscarliang.com/acehe-formula-4s-95c-lipo-batteries/,,,,,,1.55,,,,,oscar_1500mah_great,Oscar Liang charger-IR row reused as an external FPV 4S absolute-resistance anchor. Charger IR is not lab DCIR.,Tattu 4S 45C 1550mAh,45.0,69.75,6.525,0.0261,3.915,23.30357142857143,0.6130268199233716,-1.5150000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_fpv_4s_measured_ir_anchor,https://oscarliang.com/acehe-formula-4s-95c-lipo-batteries/,,,,,,1.5,,,,,oscar_1500mah_great,Oscar Liang charger-IR row reused as an external FPV 4S absolute-resistance anchor. Charger IR is not lab DCIR.,Acehe Formula 4S 95C 1500mAh,95.0,142.5,4.975,0.019899999999999998,2.9849999999999994,17.76785714285714,0.8040201005025126,-0.5849999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_fpv_4s_measured_ir_anchor,https://oscarliang.com/acehe-formula-4s-95c-lipo-batteries/,,,,,,1.3,,,,,oscar_1500mah_great,Oscar Liang charger-IR row reused as an external FPV 4S absolute-resistance anchor. Charger IR is not lab DCIR.,DroneLab Chaos 4S 75C 1300mAh,75.0,97.5,6.85,0.027399999999999997,4.109999999999999,24.46428571428571,0.5839416058394161,-1.7099999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,
external_fpv_4s_measured_ir_anchor,https://oscarliang.com/acehe-formula-4s-95c-lipo-batteries/,,,,,,1.3,,,,,oscar_1500mah_great,Oscar Liang charger-IR row reused as an external FPV 4S absolute-resistance anchor. Charger IR is not lab DCIR.,Acehe Formula 4S 95C 1300mAh,95.0,123.5,5.575,0.0223,3.345,19.91071428571429,0.7174887892376681,-0.9450000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_log_cross_scenario_resistance_proxy,https://github.com/betaflight/betaflight/blob/4.5.0/src/main/sensors/current.c#L115-L131,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,,,,,,,,"Literal Betaflight current unit, using logged amperageLatest/100 A. APdrone capacity integration shows this is too low for the 1500mAh battery logs. Cross-scenario proxy is not lab ESR; it couples SOC, heating, and different flight profiles.",,,,,,,,,,betaflight_literal_logged_centiamps,100.0,100.0,1.8608442403398382,5.180076681773856,3.3192324414340177,14.701756347346997,14.334578187533713,0.3671781598132835,0.11062140609069561,27.655351522673904,oscar_1500mah_retire,0.144637467244649,0.053107719062944286,6.913837880668475,,,,,,,,,,,,
apdrone_log_start_voltage_drop_proxy,https://github.com/betaflight/betaflight/blob/4.5.0/src/main/sensors/current.c#L115-L131,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,,,,,,,,Start-voltage proxy divides full-charge-minus-start voltage by scenario mean current; it is very sensitive to initial SOC and current sensor scale.,,,,,,,,,,betaflight_literal_logged_centiamps,,,,,,,,,,,,,,,normal_power,100.0,1.8608442403398382,2.198,16.576,0.2240000000000002,0.12037546998511386,30.093867496278467,oscar_1500mah_retire,0.13291744573855976,0.029773507845437412,0.035168
apdrone_log_start_voltage_drop_proxy,https://github.com/betaflight/betaflight/blob/4.5.0/src/main/sensors/current.c#L115-L131,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,,,,,,,,Start-voltage proxy divides full-charge-minus-start voltage by scenario mean current; it is very sensitive to initial SOC and current sensor scale.,,,,,,,,,,betaflight_literal_logged_centiamps,,,,,,,,,,,,,,,max_power,100.0,5.180076681773856,8.412,16.648,0.15200000000000102,0.02934319496366035,7.335798740915087,oscar_1500mah_great,0.5452712296604022,0.08288122690838169,0.13459200000000002
apdrone_log_cross_scenario_resistance_proxy,https://www.foxeer.com/foxeer-reaper-f4-128k-65a-bl32-4in1-9-40v-esc-30-5-30-5mm-m3-g-420,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,,,,,,,,,,"If the logs were recorded with currentMeterScale=400 but the Foxeer ESC hardware scale is 70, physical current is larger by 400/70; equivalent raw_per_amp is 17.5. Cross-scenario proxy is not lab ESR; it couples SOC, heating, and different flight profiles.",,,,,,,,,,foxeer_official_scale70_from_logged_scale400,17.5,17.5,10.63339565908479,29.600438181564886,18.967042522480096,14.701756347346997,14.334578187533713,0.3671781598132835,0.019358746065871738,4.839686516467935,oscar_1500mah_great,0.8264998128265654,0.30347268035968156,1.2099216291169834,,,,,,,,,,,,
