row_type,component_category,component_name,dataset_filename,dataset_id,dataset_version,doi,source_scope,source_page,download_url,local_source_file,size_bytes,content_type,note,spec_name,value,unit,component_value,config_value,comparison_value
apdrone_component_datasheet_metadata,datasheet,Foxeer Donut 5145,P02_Foxeer Donut 5145.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_mendeley_component_pdf,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/138bc5e6-0680-4d84-9a25-4bd96d9deebb/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P02_Foxeer Donut 5145.pdf,538591,application/pdf,"Cached APdrone component datasheet PDF. These PDFs are image-only under pypdf text extraction, so structured spec rows use filename evidence plus official/vendor web pages.",,,,,,
apdrone_component_datasheet_metadata,datasheet,2507 1800KV Brushless Motor,P03_2507 1800KV Brushless Motor.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_mendeley_component_pdf,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/1608c764-78b5-4444-a5d3-2669545fd60e/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,1392452,application/pdf,"Cached APdrone component datasheet PDF. These PDFs are image-only under pypdf text extraction, so structured spec rows use filename evidence plus official/vendor web pages.",,,,,,
apdrone_component_datasheet_metadata,datasheet,Zeee 4S 1500mAh 14.8V 100C Lipo Battery,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_mendeley_component_pdf,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/e2cc14c7-b433-4bc8-b9fb-a40bb9c77e55/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,5146782,application/pdf,"Cached APdrone component datasheet PDF. These PDFs are image-only under pypdf text extraction, so structured spec rows use filename evidence plus official/vendor web pages.",,,,,,
apdrone_component_datasheet_metadata,datasheet,Foxeer Reaper F4 128K 65A BL32 4in1 ESC,P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_mendeley_component_pdf,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/3ccd8d45-ed0f-4f14-b255-13c764f35223/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,1134597,application/pdf,"Cached APdrone component datasheet PDF. These PDFs are image-only under pypdf text extraction, so structured spec rows use filename evidence plus official/vendor web pages.",,,,,,
apdrone_component_datasheet_metadata,datasheet,Foxeer F722 V4 Flight Con- troller MPU6000 8S,P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,apdrone_mendeley_component_pdf,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/8d00a403-10db-40bc-8553-e3452f8b2647/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,1778043,application/pdf,"Cached APdrone component datasheet PDF. These PDFs are image-only under pypdf text extraction, so structured spec rows use filename evidence plus official/vendor web pages.",,,,,,
apdrone_component_spec,propeller,Foxeer Donut 5145 Props,P02_Foxeer Donut 5145.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-donut-5145-props-g-520,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P02_Foxeer Donut 5145.pdf,,,Official Foxeer page lists Size of Prop 5.1 inch.,diameter_in,5.1,in,,,
apdrone_component_spec,propeller,Foxeer Donut 5145 Props,P02_Foxeer Donut 5145.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-donut-5145-props-g-520,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P02_Foxeer Donut 5145.pdf,,,Official Foxeer page lists Pitch 4.5.,pitch_in,4.5,in,,,
apdrone_component_spec,propeller,Foxeer Donut 5145 Props,P02_Foxeer Donut 5145.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-donut-5145-props-g-520,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P02_Foxeer Donut 5145.pdf,,,Official Foxeer page lists prop weight 4.3 g.,prop_mass_g,4.3,g,,,
apdrone_component_spec,propeller,Foxeer Donut 5145 Props,P02_Foxeer Donut 5145.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,vendor_product_page,https://www.myfpvstore.com/drone-propellers/foxeer-donut-5145-toroidal-props-pick-your-color/,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P02_Foxeer Donut 5145.pdf,,,Vendor page lists 3 blades and toroidal form; official Foxeer page does not expose blade count in text.,blade_count,3,blades,,,
apdrone_component_spec,propeller,Foxeer Donut 5145 Props,P02_Foxeer Donut 5145.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,foxeer_official_product_page,https://www.foxeer.com/foxeer-donut-5145-props-g-520,,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P02_Foxeer Donut 5145.pdf,,,Official Foxeer page lists Diameter of Hub 5 mm.,hub_diameter_mm,5.0,mm,,,
