row_type,source_page,doi,strict_static_definition,zero_throttle_low_motion_definition,min_segment_duration_s,min_segment_samples,max_segment_gap_s,current_apDrone_gyro_lpf_hz,current_apDrone_gyro_noise_rad_s,current_apDrone_accel_lpf_hz,current_apDrone_accel_noise_m_s2,note,selection,segment_count,source_file_count,sample_count_total,duration_total_s,gyro_vector_rms_rad_s_p50,gyro_vector_rms_rad_s_p90,gyro_vector_rms_rad_s_min,gyro_vector_rms_rad_s_max,gyro_p50_over_current_apDrone,gyro_p90_over_current_apDrone,acc_vector_rms_m_s2_p50,acc_vector_rms_m_s2_p90,acc_vector_rms_m_s2_min,acc_vector_rms_m_s2_max,acc_p50_over_current_apDrone,acc_p90_over_current_apDrone,local_source_file,flight_filename,start_time_s,end_time_s,duration_s,sample_count,sample_rate_hz,acc_1g_counts,blackbox_high_resolution,gyro_norm_mean_deg_s,gyro_norm_p95_deg_s,acc_norm_mean_counts,acc_norm_p95_abs_error_counts,gyro_std_x_deg_s,gyro_std_y_deg_s,gyro_std_z_deg_s,gyro_vector_rms_deg_s,gyro_vector_rms_rad_s,gyro_vector_rms_over_current_apDrone,acc_std_x_counts,acc_std_y_counts,acc_std_z_counts,acc_std_x_m_s2,acc_std_y_m_s2,acc_std_z_m_s2,acc_vector_rms_m_s2,acc_vector_rms_over_current_apDrone
apdrone_imu_noise_method,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,rcCommands[3] == 0 and setpoint[0..2] == 0,"rcCommands[3] == 0, gyro norm <= 15 deg/s, abs(acc norm - acc_1G) <= 250 counts",0.25,100,0.02,125.0,0.025,80.0,0.2,Segment standard deviations include electronics noise plus any residual frame vibration and small motion that pass the selector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_imu_noise_selection_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,,,"P50/P90 are over contiguous accepted segments, not over all samples.",strict_static,1,1,1217,0.6069669999999974,0.011012163404200583,0.011012163404200583,0.011012163404200583,0.011012163404200583,0.4404865361680233,0.4404865361680233,0.05378802454365603,0.05378802454365603,0.05378802454365603,0.05378802454365603,0.2689401227182801,0.2689401227182801,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_imu_noise_selection_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,,,,"P50/P90 are over contiguous accepted segments, not over all samples.",zero_throttle_low_motion,43,21,177026,89.17872299999983,0.005343137816697945,0.02490097352780192,0.0,0.04448740467980267,0.21372551266791778,0.9960389411120768,0.031544741552925394,0.1212572174381882,0.011636001220815428,0.16173159669276216,0.15772370776462696,0.6062860871909409,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/max_power_time_flights/flight1.csv,flight1.csv,7.426054,9.000929,1.5748749999999996,1579,1001.9842844670214,2048.0,0.0,9.606079797340088,11.0,2062.268703273482,20.036895220484666,0.0,0.0,1.2284833722056014,0.7092652056378832,0.01237901310821571,0.4951605243286284,3.4434587391905964,2.9679501473625867,3.231899189024027,0.016488669260099346,0.014211742340152983,0.015475636807637926,0.015420172598620722,0.0771008629931036
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/max_power_time_flights/flight2.csv,flight2.csv,8.608724,9.938182,1.329457999999999,1333,1001.9120573948188,2048.0,0.0,14.0,14.0,2057.13535074646,15.134266110666886,0.0,0.0,0.0,0.0,0.0,0.0,4.243309847734082,2.482316067992227,3.5822656429317283,0.020318678964004605,0.011886330502039048,0.01715333269885568,0.016816364949294865,0.08408182474647433
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/max_power_time_flights/flight3.csv,flight3.csv,33.239844,34.204068,0.9642240000000015,967,1001.8418956590983,2048.0,0.0,9.204985226125457,10.0,2034.1216361417848,20.97955116385547,0.35395224591778346,0.1629134407147651,0.39654659627468625,0.3209736149970406,0.005602046393727008,0.2240818557490803,8.136141623549417,6.870265245759918,4.098474089780381,0.03895912756473676,0.03289760091422436,0.019625146939719125,0.031544741552925394,0.15772370776462696
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/max_power_time_flights/flight4.csv,flight4.csv,34.665006,37.295498,2.630492000000004,2636,1001.713747846409,2048.0,0.0,2.6369499241274656,3.0,2041.1520985027698,11.957515178035464,0.0,0.0,0.4808791098410091,0.27763568351437423,0.004845656798350772,0.19382627193403087,2.2014303011836387,2.216208117319381,3.26146628745362,0.010541336163624283,0.010612098307475637,0.015617215999930196,0.012485108919435934,0.062425544597179666
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/max_power_time_flights/flight5.csv,flight5.csv,10.595846,11.727685,1.1318389999999994,1135,1001.9092821505537,2048.0,0.0,4.381319140503632,5.0990195135927845,2058.9748552331685,18.02318476440623,0.02966952993917663,0.44908518344426723,0.614599179000175,0.4398067506771855,0.007676075871814687,0.3070430348725875,9.305368669943421,3.409198020025612,4.473246712675016,0.04455785823588899,0.016324615118693438,0.021419709411550022,0.030059384228658104,0.15029692114329052
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/max_power_time_flights/flight5.csv,flight5.csv,205.212579,206.383516,1.1709369999999808,1174,1001.7618368879105,2048.0,0.0,6.3898184865191,11.0,2052.042582213157,18.21522237838816,0.8840865645565013,1.5774154988201343,4.027585475371888,2.5489405296432404,0.04448740467980267,1.7794961871921067,43.927441706342684,34.64043259699456,8.062716922811605,0.2103423077194851,0.1658723624645101,0.03860754048393087,0.15625627371781986,0.7812813685890992
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/normal_power_time_flights/flight1.csv,flight1.csv,13.33355,18.045845,4.712294999999999,9444,2003.906801250771,2048.0,0.0,0.0,0.0,2055.1007601928213,13.0351767983002,0.0,0.0,0.0,0.0,0.0,0.0,2.099305614861332,2.091633676779445,3.5257854246200497,0.010052321976552675,0.010015585642768136,0.016882882633960063,0.012733065340809565,0.06366532670404781
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/normal_power_time_flights/flight2.csv,flight2.csv,19.312531,20.211768,0.8992369999999994,1803,2003.92110200092,2048.0,0.0,0.0,0.0,2050.3436064772204,8.07903544586543,0.0,0.0,0.0,0.0,0.0,0.0,2.7838326913098315,2.1869764629851476,3.5258080169543033,0.013330113702262478,0.010472125356803367,0.016882990815168416,0.013812949475871195,0.06906474737935597
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/normal_power_time_flights/flight3.csv,flight3.csv,50.51955,51.664422,1.1448719999999994,2295,2003.7174461424518,2048.0,0.0,0.004357298474945534,0.0,2040.1311702962323,12.881575927336826,0.0,0.06586586691865348,0.0,0.03802767599589266,0.0006637081530099405,0.02654832612039762,2.1698267553305146,2.012151370705343,3.3650608463371734,0.010390005639727534,0.009634992304456812,0.01611326852965451,0.012388472015133887,0.06194236007566943
apdrone_imu_noise_segment,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,125.0,0.025,80.0,0.2,gyroADC is interpreted as Betaflight gyroADCf degrees/s; accSmooth is converted with the Blackbox acc_1G header.,zero_throttle_low_motion,,,,,,,,,,,,,,,,,docs/data/raw/apdrone_zgsvdtxnfh_v2/battery_autonomy/normal_power_time_flights/flight4.csv,flight4.csv,34.764455,36.031453,1.266998000000001,2540,2003.949493211511,2048.0,0.0,0.0,0.0,2041.489037087269,11.955796157657005,0.0,0.0,0.0,0.0,0.0,0.0,2.074634269748455,2.0181855034028593,3.461900817399964,0.009934185625697601,0.009663886165500806,0.016576977368630546,0.012474973861638134,0.06237486930819067
