row_type,name,dataset_id,dataset_version,doi,source_page,download_url,local_source_file,note,mass_kg,inertia_x_kg_m2,inertia_y_kg_m2,inertia_z_kg_m2,yaw_axis,motor_center_radius_m,radius_of_gyration_x_m,radius_of_gyration_y_m,radius_of_gyration_z_m,yaw_to_roll_pitch_mean_inertia_ratio,current_preset,reference_name,current_axis,reference_axis,current_mass_kg,reference_mass_kg,current_inertia_kg_m2,reference_inertia_kg_m2,reference_scaled_same_mass_inertia_kg_m2,current_over_reference_raw,current_over_reference_scaled_same_rg,current_radius_of_gyration_m,reference_radius_of_gyration_m,current_rg_over_reference_rg,current_motor_center_radius_m,reference_motor_center_radius_m,current_over_reference_motor_center_radius,current_yaw_to_roll_pitch_mean_inertia_ratio,reference_yaw_to_roll_pitch_mean_inertia_ratio,current_over_reference_yaw_ratio
apdrone_inertia_source_metadata,Moment of Inertia Calculations FPV Drone and Test Platforms.pdf,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/620ec3f4-8760-48bb-8525-ff4c5a32f300/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Small APdrone PDF downloaded from Mendeley public file API and transcribed into this generated CSV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_inertia_reference,APdrone FPV drone total,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/620ec3f4-8760-48bb-8525-ff4c5a32f300/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,"Extracted from APdrone's Moment of Inertia Calculations FPV Drone and Test Platforms PDF. The PDF uses a simplified grouped-body model, with the FPV drone in an X-type layout and yaw on its Z axis.",0.6284,0.001346,0.00141,0.00248,source_z,0.095,0.04628118196358571,0.04736870023480772,0.06282142048741031,1.7997097242380262,,,,,,,,,,,,,,,,,,,,
apdrone_inertia_reference,APdrone motors plus propellers,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/620ec3f4-8760-48bb-8525-ff4c5a32f300/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Four point masses; per-motor+prop assembly mass is 0.05355 kg.,0.2142,0.000966,0.000966,0.001932,source_z,0.095,0.06715507368448513,0.06715507368448513,0.0949716159867634,2.0,,,,,,,,,,,,,,,,,,,,
apdrone_inertia_reference,APdrone battery,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/620ec3f4-8760-48bb-8525-ff4c5a32f300/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Rectangular prism battery at z=0.025 m in the PDF model.,0.177,0.0001468,0.0002114,0.0001008,source_z,,0.0287989328113638,0.03455937329417123,0.023864021568539718,0.5628140703517588,,,,,,,,,,,,,,,,,,,,
apdrone_inertia_reference,APdrone frame arms,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/620ec3f4-8760-48bb-8525-ff4c5a32f300/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Four thin rods; per-arm mass 0.025 kg and length 0.095 m.,0.1,0.0001503,0.0001503,0.0003008,source_z,0.095,0.03876854394996025,0.03876854394996025,0.05484523680320835,2.0013306719893547,,,,,,,,,,,,,,,,,,,,
apdrone_inertia_reference,APdrone central core,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/620ec3f4-8760-48bb-8525-ff4c5a32f300/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Central 0.08 m x 0.08 m x 0.03 m rectangular prism group.,0.1372,8.33e-05,8.33e-05,0.0001463,source_z,,0.024640269015229057,0.024640269015229057,0.03265465557332132,1.7563025210084033,,,,,,,,,,,,,,,,,,,,
apdrone_inertia_reference,APdrone pitch/roll test platform,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/620ec3f4-8760-48bb-8525-ff4c5a32f300/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Hollow rectangular prism platform; PDF states platform inertia is below 10% of the drone along comparable axes.,0.114,5.074e-05,9.557e-05,9.977e-05,source_z,,0.021097102154045838,0.028953986484305288,0.029583364220394055,1.3638165538924203,,,,,,,,,,,,,,,,,,,,
apdrone_inertia_reference,APdrone yaw test platform,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/620ec3f4-8760-48bb-8525-ff4c5a32f300/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Hollow rectangular prism yaw platform; PDF yaw-platform/drone yaw inertia ratio is about 9.22%.,0.202,0.0002186,0.000288,0.0002287,source_z,,0.03289647728590072,0.03775900653165316,0.033647856065755245,0.9028819581523884,,,,,,,,,,,,,,,,,,,,
current_racing_quad_inertia,Current project racingQuad preset,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Parsed from racingQuad(); project coordinates use Y as the vertical/yaw axis and rotor positions in X/Z.,1.1,0.012,0.021,0.014,project_y,0.18,0.1044465935734187,0.13816985594155148,0.11281521496355323,1.6153846153846154,,,,,,,,,,,,,,,,,,,,
current_vs_apdrone_inertia_axis,project_x_vs_apdrone_source_x,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,"Horizontal-axis comparison; APdrone uses Z as yaw, while this project uses Y as yaw.",,,,,,,,,,,racingQuad,APdrone FPV drone total,project_x,source_x,1.1,0.6284,0.012,0.001346,0.0023561425843411843,8.915304606240714,5.093070376874239,0.1044465935734187,0.04628118196358571,2.2567831922615516,,,,,,
current_vs_apdrone_inertia_axis,project_z_vs_apdrone_source_y,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Other horizontal-axis comparison after mapping APdrone source X/Y into project X/Z.,,,,,,,,,,,racingQuad,APdrone FPV drone total,project_z,source_y,1.1,0.6284,0.014,0.00141,0.0024681731381285808,9.929078014184398,5.672211476466795,0.11281521496355323,0.04736870023480772,2.3816405010972574,,,,,,
current_vs_apdrone_inertia_axis,project_y_yaw_vs_apdrone_source_z_yaw,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Yaw-axis comparison after mapping APdrone source Z yaw into project Y yaw.,,,,,,,,,,,racingQuad,APdrone FPV drone total,project_y_yaw,source_z_yaw,1.1,0.6284,0.021,0.00248,0.004341183959261617,8.467741935483872,4.837390029325513,0.13816985594155148,0.06282142048741031,2.199406744857693,,,,,,
current_vs_apdrone_inertia_geometry,motor_center_radius_current_over_apdrone,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,"Radius is motor-center distance from body center, not prop radius.",,,,,,,,,,,racingQuad,APdrone FPV drone total,,,,,,,,,,,,,0.18,0.095,1.894736842105263,,,
current_vs_apdrone_inertia_geometry,yaw_to_roll_pitch_ratio_current_vs_apdrone,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/moment_of_inertia_calculations.pdf,Shape ratio check independent of absolute mass scaling.,,,,,,,,,,,racingQuad,APdrone FPV drone total,,,,,,,,,,,,,,,,1.6153846153846154,1.7997097242380262,0.8975806451612903
