row_type,source_page,doi,equation,window_1s_half_width_s,window_2s_half_width_s,mass_kg,air_density_kg_m3,note,flight_filename,local_source_file,gps_event_count,gps_event_duration_s,speed_mean_m_s,speed_p95_m_s,speed_max_m_s,accel_mean_m_s2,accel_p10_m_s2,accel_p50_m_s2,accel_p90_m_s2,vector_accel_p50_m_s2,vector_accel_p90_m_s2,abs_cross_track_accel_p50_m_s2,abs_cross_track_accel_p90_m_s2,accelerating_event_count,quasi_steady_event_count,decelerating_event_count,speed_bin_m_s,event_count,flight_count,speed_p50_m_s,speed_p90_m_s,along_track_accel_p50_m_s2,along_track_accel_p90_m_s2,abs_turn_rate_p50_deg_s,abs_turn_rate_p90_deg_s,accelerating_fraction,quasi_steady_fraction,decelerating_fraction,throttle_mean,throttle_p90,current_mean_a_raw_per_amp_20,current_p90_a_raw_per_amp_20,apparent_decel_coeff_count,apparent_decel_coeff_p50,apparent_decel_coeff_p90,apparent_decel_cda_p50_m2,apDrone_x_drag_coeff,apDrone_x_drag_force_at_mean_speed_n,apparent_decel_coeff_p50_over_apDrone_x,apDrone_z_drag_coeff,apDrone_z_drag_force_at_mean_speed_n,apparent_decel_coeff_p50_over_apDrone_z,racingQuad_x_drag_coeff,racingQuad_x_drag_force_at_mean_speed_n,apparent_decel_coeff_p50_over_racingQuad_x,racingQuad_z_drag_coeff,racingQuad_z_drag_force_at_mean_speed_n,apparent_decel_coeff_p50_over_racingQuad_z,time_s,speed_m_s,gps_num_sat,gps_altitude_m,gps_ground_course_deg,gps_velocity_east_m_s,gps_velocity_north_m_s,throttle_command,current_a_raw_per_amp_20,vbat_v,gyro_norm_raw,acc_norm_raw,gps_accel_m_s2_1s_fit,gps_accel_fit_window_count_1s,gps_accel_fit_window_span_s_1s,gps_accel_m_s2_2s_fit,gps_accel_fit_window_count_2s,gps_accel_fit_window_span_s_2s,gps_accel_east_m_s2_1s_fit,gps_accel_north_m_s2_1s_fit,gps_vector_accel_m_s2_1s_fit,gps_along_track_accel_m_s2_1s_fit,gps_cross_track_accel_m_s2_1s_fit,gps_turn_rate_deg_s_1s_fit,apparent_signed_drag_coeff_from_speed_slope,apparent_signed_cda_from_speed_slope,dynamic_label_1s,apDrone_x_drag_force_n_at_speed,apparent_coeff_over_apDrone_x,apDrone_z_drag_force_n_at_speed,apparent_coeff_over_apDrone_z,racingQuad_x_drag_force_n_at_speed,apparent_coeff_over_racingQuad_x,racingQuad_z_drag_force_n_at_speed,apparent_coeff_over_racingQuad_z
apdrone_speed_dynamics_method,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,gps_accel=d(GPS_speed)/dt by local linear fit; vector_accel=d(GPS ground velocity)/dt from speed/course; apparent_coeff=-mass*gps_accel/speed^2,0.5,1.0,0.6284,1.225,"GPS ground-speed/course dynamics only. Wind, attitude, vertical motion, and horizontal propulsive force are unknown; apparent drag coefficients are diagnostic, not fitted CdA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_flight_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,Flight_1.csv,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_1.csv,232,28.554179000000005,3.172284482758621,13.321499999999999,16.02,0.13234782510634854,-1.8880713733197227,-0.04140626390631967,2.6013811658688253,1.0569077133686657,5.893216528223143,0.33560030632349114,0.9783664970968351,77,62,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_flight_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,Flight_2.csv,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_2.csv,155,17.72388500000001,6.043806451612903,17.229,18.72,0.6334766313769913,-1.0683273771952457,0.40579261056005855,3.3345652411425895,2.7752334893859856,4.979643273671489,0.9336431620545145,2.2649109989067164,73,60,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_flight_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,Flight_3.csv,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_3.csv,666,83.150474,1.811816816816817,4.095,5.75,0.01307169094647529,-1.511360530219724,0.05817693875911803,1.41545853107322,1.3017659162466586,3.028322025528581,0.5839196649867484,1.9297007534453194,209,222,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_flight_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,Flight_4.csv,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_4.csv,122,14.318189000000004,2.9197540983606554,4.1685,6.61,0.45802206907622905,-1.0595361217316421,0.15304468681438121,2.2203084362717895,0.945089020254863,3.5782382143300664,0.27884816125357764,1.2249058476992027,50,37,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_flight_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,,Flight_5.csv,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_5.csv,109,19.22796299999999,3.14348623853211,8.088000000000001,8.26,0.4024755578439152,-0.46266574740425304,0.8645693940048904,1.7096516199444005,1.5891349658818414,2.8985419288893977,0.6426997912857194,1.109692506418484,55,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_speed_bin_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,Acceleration is scalar GPS speed slope; vector fields use GPS speed/course. Apparent decel coefficient assumes no horizontal propulsive force and is not a physical drag fit.,,,,,0.9730804248861912,,1.99,0.10289427774514012,-1.223429827248645,0.06034553288992584,1.2288082728196192,1.093108026518984,2.6124709307024028,0.38893454477313494,1.7136867497120698,,,,0-2,659,5,1.01,1.73,0.1082937367962764,1.456170777136641,20.240900076172856,83.96543829794443,0.3353566009104704,0.40819423368740515,0.2564491654021244,47.36874051593323,53.4,8.911684370257968,11.25,150,0.5000092508369602,1.2597032895501237,0.8163416340195269,0.12179999999999999,0.11533065551953688,4.105166263029231,0.1234,0.11684567234081158,4.051938823638252,0.1825,0.172806606176646,2.7397767169148506,0.1845,0.17470037720323936,2.7100772403087277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_speed_bin_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,Acceleration is scalar GPS speed slope; vector fields use GPS speed/course. Apparent decel coefficient assumes no horizontal propulsive force and is not a physical drag fit.,,,,,3.172984693877551,,4.91,0.20292220002195893,-1.6534134724843976,0.16613604942091634,2.4592581638093716,1.2135052376893465,3.43752054145115,0.49960870965006976,1.723770512641031,,,,2-5,392,5,3.23,4.099,0.15296599046992987,2.4554400103981617,9.433730177508327,37.50156683371738,0.37244897959183676,0.32908163265306123,0.29846938775510207,49.79107142857143,54.2,9.469642857142857,11.75,117,0.09992893292432227,0.2193580204460822,0.16314927824379144,0.12179999999999999,1.226261921471392,0.820434588869641,0.1234,1.242370452459522,0.8097968632441027,0.1825,1.8373793158335718,0.5475557968456015,0.1845,1.8575149795687342,0.5416202326521532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_speed_bin_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,Acceleration is scalar GPS speed slope; vector fields use GPS speed/course. Apparent decel coefficient assumes no horizontal propulsive force and is not a physical drag fit.,,,,,6.351833333333333,,7.93,0.9702922707612728,-4.962851003952099,1.0716143576348967,4.240424187755211,1.8187095764734762,5.959740159742724,0.6357502165283513,1.3598936959789978,,,,5-8,60,5,6.16,7.714,1.0736794147645061,4.128271893219036,5.159526476131417,14.128642457436317,0.7666666666666667,0.03333333333333333,0.2,54.49333333333333,61.6,12.419166666666666,16.525,12,0.05879936516180763,0.10915694879528351,0.09599896352948184,0.12179999999999999,4.914116819383334,0.48275340855342885,0.1234,4.978670078094444,0.47649404507137466,0.1825,7.363106071736111,0.32218830225648015,0.1845,7.4437976451250005,0.3186957461344587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_gps_dynamic_speed_bin_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,,,,,,Acceleration is scalar GPS speed slope; vector fields use GPS speed/course. Apparent decel coefficient assumes no horizontal propulsive force and is not a physical drag fit.,,,,,10.0028,,11.88,0.2615005660825379,-4.727542176499182,-0.27834353541604234,4.923756708577416,2.7288812174614905,8.429362826393877,0.7818602619331223,1.787884116956572,,,,8-12,50,3,10.29,11.527999999999999,-0.26972593533901557,5.0364754425417235,4.5182940814895485,10.431151195309702,0.4,0.14,0.46,38.692,61.7,6.797000000000001,14.5,23,0.016740231260243498,0.038531239743050005,0.027330989812642443,0.12179999999999999,12.186821754912001,0.13744032233369047,0.1234,12.346911367456,0.1356582760149392,0.1825,18.2602214308,0.09172729457667671,0.1845,18.46033344648,0.09073296076012737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
