row_type,source_page,doi,local_source_file,note,filter_name,filter_family,min_speed_m_s,max_abs_along_accel_m_s2,min_deceleration_m_s2,max_abs_cross_accel_m_s2,max_abs_turn_rate_deg_s,min_throttle_command,event_count,source_file_count,speed_mean_m_s,speed_p50_m_s,speed_p90_m_s,speed_max_m_s,throttle_mean,throttle_p50,throttle_p90,along_accel_p10_m_s2,along_accel_p50_m_s2,along_accel_p90_m_s2,abs_along_accel_p90_m_s2,abs_cross_accel_p50_m_s2,abs_cross_accel_p90_m_s2,abs_turn_rate_p50_deg_s,abs_turn_rate_p90_deg_s,signed_apparent_drag_coeff_p10,signed_apparent_drag_coeff_p50,signed_apparent_drag_coeff_p90,decelerating_event_count,decel_only_drag_coeff_p50,decel_only_drag_coeff_p90,decel_only_cda_p50_m2,decel_only_coeff_p50_over_apDrone_x,decel_only_coeff_p50_over_racingQuad_x,candidate_rank_by_speed,flight_filename,time_s,speed_m_s,throttle_command,current_a_raw_per_amp_20,vbat_v,gps_ground_course_deg,gps_along_track_accel_m_s2_1s_fit,gps_cross_track_accel_m_s2_1s_fit,gps_turn_rate_deg_s_1s_fit,apparent_signed_drag_coeff_from_speed_slope,apparent_signed_cda_from_speed_slope,apparent_drag_force_from_signed_coeff_n,apparent_drag_force_from_accel_n,apDrone_x_drag_force_n_at_speed,apparent_coeff_over_apDrone_x,racingQuad_x_drag_force_n_at_speed,apparent_coeff_over_racingQuad_x
apdrone_open_field_trim_filter_method,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/apdrone_open_field_speed_dynamics_reference.csv,"Filters use existing GPS-event speed/course dynamics. APdrone open-field logs lack attitude/wind, so rows identify trim/drag candidates and diagnostic bounds rather than fitting a final CdA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_trim_filter_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/apdrone_open_field_speed_dynamics_reference.csv,"Strict near-steady, low-turning GPS-event filter.",strict_trim_v_ge_8,trim_candidate,8.0,0.5,,0.75,5.0,20.0,0,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_trim_filter_summary,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/apdrone_open_field_speed_dynamics_reference.csv,Relaxed near-steady filter for sparse high-speed data.,relaxed_trim_v_ge_8,trim_candidate,8.0,1.0,,1.5,8.0,20.0,8,3,10.3925,8.22,16.641,18.09,55.2375,52.4,62.290000000000006,-0.24819512656409892,0.07985796928941254,0.6698345348361214,0.6698345348361214,0.8224221408067953,0.9268314296774894,5.562922303626909,5.833526610703393,-0.006400618291184677,-0.0006135181515482145,0.0023162909026754027,4,0.001438041920101499,0.003449789187164222,0.0023478235430228556,0.08729750647282289,0.05867328189741989,,,,,,,,,,,,,,,,,,,
apdrone_open_field_trim_candidate_event,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_2.csv,,relaxed_trim_v_ge_8,trim_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Flight_2.csv,98.383916,18.09,60.1,11.35,15.88,18.9,0.5725722795097026,1.0920122989265526,3.4586896575384136,-0.0012308933927713654,-0.0020096218657491677,-0.40280752408698306,-0.3598044204438971,2.7598465799999996,-0.14595286817971712,4.0743202499999995,-0.09886496381500279
apdrone_open_field_trim_candidate_event,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_1.csv,,relaxed_trim_v_ge_8,trim_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Flight_1.csv,154.647143,16.02,67.4,19.35,15.38,13.0,-0.00040592034892102314,-0.8560396285707481,-3.0616390644850484,3.857089674936457e-06,6.297289265202378e-06,0.0009898850370115622,0.00025508034726197095,2.38435272,0.00041515880964606715,3.525201,0.00028080243850253146
apdrone_open_field_trim_candidate_event,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_5.csv,,relaxed_trim_v_ge_8,trim_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Flight_5.csv,161.705535,8.26,52.4,5.25,15.05,17.7,-0.15575423012824358,-0.8357069161432303,-5.796910315363257,0.0014099166508942085,0.00230190473615381,0.0961952292905497,0.09787595821258825,1.11400968,0.08635044292483142,1.6573689999999999,0.058040924676731435
apdrone_open_field_trim_candidate_event,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_5.csv,,relaxed_trim_v_ge_8,trim_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Flight_5.csv,161.609207,8.23,52.4,7.0,14.96,16.5,0.1601218589277461,-0.8084460080805191,-5.62825567766865,-0.0015918915557091857,-0.0025990066215660175,-0.10782343155369471,-0.10062057615019565,1.1095192200000001,-0.09718031883548145,1.6507322500000001,-0.0653185466956829
apdrone_open_field_trim_candidate_event,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_5.csv,,relaxed_trim_v_ge_8,trim_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Flight_5.csv,161.905172,8.21,52.4,4.5,15.06,18.1,-0.4638905515810949,-0.7877579377655299,-5.497588929585167,0.004299912900530835,0.0070202659600503425,0.28983175913867054,0.29150882261356,1.1065273800000002,0.26192913467597206,1.64631025,0.1760492951669775
apdrone_open_field_trim_candidate_event,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_5.csv,,relaxed_trim_v_ge_8,trim_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Flight_5.csv,161.411562,8.13,52.4,9.25,14.99,15.7,0.775545627976592,-0.7799701597308264,-5.496801758760274,-0.007398670880629002,-0.012079462662251432,-0.4890292093298472,-0.4873528726204904,1.09457442,-0.4467756603793529,1.62864225,-0.30026803573949234
apdrone_open_field_trim_candidate_event,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_5.csv,,relaxed_trim_v_ge_8,trim_candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Flight_5.csv,161.507889,8.1,52.4,2.75,15.09,16.4,0.6245297806330626,-0.8091373654703602,-5.723476060220502,-0.00597288146713711,-0.009751643211652424,-0.39188075305886577,-0.3924545141498165,1.090098,-0.3594913054228755,1.622025,-0.24159969979431006
