row_type,preset,field,project_value,source_value,unit,source_name,source_page,project_over_source,relative_error,match_status,transform,note
apdrone_preset_source_match,apDrone,mass_kg,0.6284,0.6284,kg,APdrone inertia PDF,https://data.mendeley.com/datasets/zgsvdtxnfh/2,1.0,0.0,matches_source,,
apdrone_preset_source_match,apDrone,inertia_x_kg_m2,0.001346,0.001346,kg*m^2,APdrone inertia PDF,https://data.mendeley.com/datasets/zgsvdtxnfh/2,1.0,0.0,matches_source,project X maps to APdrone source X,
apdrone_preset_source_match,apDrone,inertia_yaw_project_y_kg_m2,0.00248,0.00248,kg*m^2,APdrone inertia PDF,https://data.mendeley.com/datasets/zgsvdtxnfh/2,1.0,0.0,matches_source_after_axis_mapping,project Y is yaw; APdrone source Z is yaw,
apdrone_preset_source_match,apDrone,inertia_project_z_kg_m2,0.00141,0.00141,kg*m^2,APdrone inertia PDF,https://data.mendeley.com/datasets/zgsvdtxnfh/2,1.0,0.0,matches_source_after_axis_mapping,project Z maps to APdrone source Y,
apdrone_preset_source_match,apDrone,motor_center_radius_m,0.095,0.095,m,APdrone inertia PDF,https://data.mendeley.com/datasets/zgsvdtxnfh/2,1.0,0.0,matches_source,,
apdrone_preset_source_match,apDrone,rotor_radius_m,0.06477,0.06477,m,Foxeer Donut 5145 prop spec,https://www.foxeer.com/foxeer-donut-5145-props-g-520,1.0,0.0,matches_source_after_unit_conversion,diameter_in * 0.0254 / 2,
apdrone_preset_source_match,apDrone,rotor_blade_count,3.0,3,blades,Foxeer Donut 5145 prop vendor/spec evidence,https://www.myfpvstore.com/drone-propellers/foxeer-donut-5145-toroidal-props-pick-your-color/,1.0,0.0,matches_source,,
apdrone_preset_source_match,apDrone,rotor_blade_pitch_to_diameter_ratio,0.8823529411764707,0.8823529411764707,pitch/diameter,Foxeer Donut 5145 prop spec,https://www.foxeer.com/foxeer-donut-5145-props-g-520,1.0,0.0,matches_source_after_unit_conversion,pitch_in / diameter_in,
apdrone_preset_source_match,apDrone,battery_capacity_ah,1.5,1.5,Ah,APdrone battery filename and Betaflight bat_capacity,https://data.mendeley.com/datasets/zgsvdtxnfh/2,1.0,0.0,matches_source_after_unit_conversion,capacity_mah / 1000,
apdrone_preset_source_match,apDrone,nominal_battery_voltage_v,16.8,16.8,V,4S full-charge voltage convention,https://data.mendeley.com/datasets/zgsvdtxnfh/2,1.0,0.0,matches_full_charge_voltage_not_filename_nominal,4 cells * 4.2 V/cell,The APdrone filename nominal voltage is 14.8 V; project field name is nominalBatteryVoltage but value equals 4S full charge.
