row_type,source_page,doi,local_source_file,percentile_sample_stride,note,name,rates_type,rates_type_name,formula,axis,rc_rate,expo,expo_fraction,rates,rate_limit_deg_s,betaflight_actual_center_sensitivity_deg_s,betaflight_actual_max_rate_deg_s,project_equivalent_rate_expo,project_equivalent_rate_super_for_same_center_and_max,current_project_max_rate_deg_s,current_project_rate_expo,current_project_rate_super,current_project_max_over_betaflight_actual_max,current_project_center_sensitivity_deg_s,current_project_center_over_dump_center,current_project_max_over_dump_actual_300,current_project_max_over_urban_or_battery_actual_670,stick,current_project_target_rate_deg_s,betaflight_actual_target_rate_deg_s,scenario,flight_filename,firmware_version,firmware_revision,duration_s,sample_count,sampled_count_for_percentiles,sample_rate_hz,abs_setpoint_mean_deg_s,abs_setpoint_p50_deg_s,abs_setpoint_p95_deg_s,abs_setpoint_p99_deg_s,abs_setpoint_p999_deg_s,abs_setpoint_max_exact_deg_s,abs_gyro_mean_deg_s,abs_gyro_p50_deg_s,abs_gyro_p95_deg_s,abs_gyro_p99_deg_s,abs_gyro_p999_deg_s,abs_gyro_max_exact_deg_s,setpoint_p99_over_current_project_max,setpoint_max_exact_over_current_project_max,gyro_p99_over_current_project_max,gyro_max_exact_over_current_project_max,setpoint_p99_over_betaflight_actual_max,setpoint_max_exact_over_betaflight_actual_max,gyro_p99_over_betaflight_actual_max,gyro_max_exact_over_betaflight_actual_max,setpoint_rc_command_exact_match_fraction,inferred_betaflight_actual_stick_fraction_at_setpoint_p99,inferred_betaflight_actual_stick_fraction_at_setpoint_max,current_project_rate_at_inferred_p99_stick_deg_s,source_file_count
apdrone_rate_envelope_method,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2,20,"Percentiles use deterministic every-N-row samples; maxima, row counts, and file durations are exact.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_formula,https://raw.githubusercontent.com/betaflight/betaflight/4.5.0/src/main/fc/controlrate_profile.h,,,,"controlrate_profile.h defines RATES_TYPE_ACTUAL after Betaflight/Raceflight/KISS, so APdrone Blackbox rates_type=3 is Actual Rates.",Betaflight 4.5 rates_type enum,3,ACTUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_formula,https://raw.githubusercontent.com/betaflight/betaflight/4.5.0/src/main/fc/rc.c,,,,"This separates the Actual Rates full-stick target from rate_limit, which is only a final clamp.",Betaflight 4.5 Actual Rates,,,"centerSensitivity=rcRates*10; maxRate=rates*10; angleRate=stick*centerSensitivity+max(0,maxRate-centerSensitivity)*expof; rawSetpoint is then constrained by rate_limit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_formula,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,"The current project shape is Actual-Rates-like, but the configured maxRate determines the full-stick target.",Current DronePhysics shapeRateInput,,,centerFraction=(1-expo)*(1-superRate); target=maxRate*(stick*centerFraction+(1-centerFraction)*expoCurve),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_betaflight_dump_rate_profile,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,,"The dump's rate_limit is 1998 deg/s, but current apDrone maxRate follows the selected 670 deg/s Actual Rates target used by urban/battery logs.",,ACTUAL,ACTUAL,,roll,7.0,50.0,0.5,30.0,1998.0,70.0,300.0,0.5,0.5333333333333333,670.0,0.5,0.791044776119403,2.2333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_betaflight_dump_rate_profile,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,,"The dump's rate_limit is 1998 deg/s, but current apDrone maxRate follows the selected 670 deg/s Actual Rates target used by urban/battery logs.",,ACTUAL,ACTUAL,,pitch,7.0,50.0,0.5,30.0,1998.0,70.0,300.0,0.5,0.5333333333333333,670.0,0.5,0.791044776119403,2.2333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_betaflight_dump_rate_profile,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,,"The dump's rate_limit is 1998 deg/s, but current apDrone maxRate follows the selected 670 deg/s Actual Rates target used by urban/battery logs.",,ACTUAL,ACTUAL,,yaw,7.0,50.0,0.5,30.0,1998.0,70.0,300.0,0.5,0.5333333333333333,670.0,0.5,0.791044776119403,2.2333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_rate_axis,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,"Center sensitivity matches APdrone's rc_rate=7 -> 70 deg/s and full-stick max matches the 670 deg/s Actual Rates target used by urban/battery logs, not the 1998 deg/s rate_limit clamp.",,,,,roll,,,,,,,,,,670.0,0.5,0.791044776119403,,69.99999999999999,0.9999999999999998,2.2333333333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_curve_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,roll,,,,,,,,,,670.0,0.5,0.791044776119403,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_curve_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,roll,,,,,,,,,,670.0,0.5,0.791044776119403,,,,,,0.25,36.32324218749999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_curve_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,roll,,,,,,,,,,670.0,0.5,0.791044776119403,,,,,,0.5,114.68749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_curve_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,roll,,,,,,,,,,670.0,0.5,0.791044776119403,,,,,,0.75,274.6435546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_curve_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,roll,,,,,,,,,,670.0,0.5,0.791044776119403,,,,,,1.0,670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
