row_type,name,metric,value,unit,source,note
apdrone_dataset_metadata,APdrone,doi,10.17632/zgsvdtxnfh.2,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Mendeley Data v2.
apdrone_dataset_metadata,APdrone,published_date,2025-06-13,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,
apdrone_dataset_metadata,APdrone,file_count_from_public_api,173,files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,
apdrone_dataset_metadata,APdrone,csv_file_count_from_public_api,25,files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,
apdrone_dataset_metadata,APdrone,archive_file_count_from_public_api,14,files,https://data.mendeley.com/datasets/zgsvdtxnfh/2,RAR archives are inventoried but not downloaded by default.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,firmware_line,Betaflight / STM32F7X2 (S7X2) 4.5.0 Jun 25 2024 / 06:12:00 (c155f5830) MSP API: 1.46,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,board_name,FOXEERF722V4,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,gyro_lpf1_static_hz,125,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,gyro_lpf2_static_hz,250,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,dyn_notch_count,1,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,dyn_notch_q,500,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,dyn_notch_min_hz,100,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,dyn_notch_max_hz,600,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,rc_smoothing,ON,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,rc_smoothing_auto_factor,30,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,serialrx_provider,CRSF,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,blackbox_sample_rate,1/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,blackbox_disable_motors,ON,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,blackbox_disable_rpm,ON,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,blackbox_disable_bat,OFF,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
apdrone_betaflight_config_setting,Betaflight Configuration for F722,blackbox_disable_gps,OFF,,docs/data/raw/apdrone_zgsvdtxnfh_v2/betaflight_configuration_for_f722.txt,Extracted from APdrone Betaflight dump.
