row_type,source_page,doi,local_source_file,percentile_sample_stride,note,name,formula,current_apDrone_mass_kg,current_apDrone_total_max_thrust_n,current_apDrone_hover_direct_thrust_fraction,current_apDrone_reference_throttle,current_apDrone_throttle_curve_exponent,current_apDrone_max_rpm,throttle_fraction,current_apDrone_project_direct_thrust_fraction,current_apDrone_project_total_thrust_n,current_apDrone_project_twr,current_apDrone_project_rpm,thrust_linear_percent,betaflight_compensated_throttle_before_mix,betaflight_zero_mix_output_after_thrust_linear,scenario,flight_filename,firmware_version,throttle_limit_type,throttle_limit_type_name,throttle_limit_percent,thr_mid,thr_expo,motor_output_low,motor_output_high,motor_poles,dshot_bidir,duration_s,sample_count,sampled_count_for_percentiles,sample_rate_hz,throttle_fraction_mean,throttle_fraction_p50,throttle_fraction_p95,throttle_fraction_p99,throttle_fraction_max_exact,setpoint_throttle_fraction_mean,project_direct_thrust_fraction_mean,project_direct_thrust_fraction_p50,project_direct_thrust_fraction_p95,project_direct_thrust_fraction_p99,project_total_thrust_n_mean,project_twr_mean,project_twr_p50,project_twr_p95,project_twr_p99,project_rpm_p50,project_rpm_p95,betaflight_zero_mix_after_thrust_linear_p50,betaflight_zero_mix_after_thrust_linear_p95,estimated_pre_limit_stick_fraction_p50_if_scale,estimated_pre_limit_stick_fraction_p95_if_scale,rc_vs_setpoint_throttle_match_fraction,motor_sample_count,motor_avg_normalized_p50,motor_avg_normalized_p95,motor_min_normalized_p50,motor_max_normalized_p95,erpm_sample_count,mechanical_rpm_avg_p50,mechanical_rpm_avg_p95,mechanical_rpm_max_p95,mechanical_rpm_avg_over_project_rpm_p50,mechanical_rpm_avg_over_project_rpm_p95,source_file_count
apdrone_throttle_curve_method,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2,20,"Percentiles use deterministic every-N-row samples; maxima, row counts, and durations are exact.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_formula,https://raw.githubusercontent.com/betaflight/betaflight/4.5.0/src/main/fc/rc.c,,,,APdrone CSV exports rcCommands[3] as percent and setpoint[3] as per-mille throttle; they match after /100 and /1000 scaling.,Betaflight 4.5 throttle rcCommand,"rcCommand[THROTTLE]=rcLookupThrottle(tmp), where tmp maps stick mincheck..2000 to 0..1000 before mixer normalization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_formula,https://raw.githubusercontent.com/betaflight/betaflight/4.5.0/src/main/flight/mixer.c,,,,The logged mixer throttle used for anti-gravity/TPA reflects this limit before thrust-linearization compensation.,Betaflight 4.5 throttle limit,"SCALE returns throttle*percent/100; CLIP returns min(throttle, percent/100); OFF leaves throttle unchanged.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_formula,https://raw.githubusercontent.com/betaflight/betaflight/4.5.0/src/main/flight/pid.c,,,,Betaflight applies this to normalized motor output after mixing.,Betaflight 4.5 thrust linearization apply,motorOutput *= 1 + thrustLinearization * (1 - motorOutput)^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_formula,https://raw.githubusercontent.com/betaflight/betaflight/4.5.0/src/main/flight/pid_init.c,,,,This compensation is applied to throttle before motor mixing to keep zero-mix throttle approximately consistent.,Betaflight 4.5 thrust linearization compensation,throttleCompensateAmount = TL - 0.5*TL^2; throttle /= 1 + throttleCompensateAmount*(1-throttle)^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_throttle_model,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,The current exponent is chosen so the normal-power reference throttle maps to hover thrust.,,directThrustFraction = throttleCommand ^ throttleCommandCurveExponent,0.6284,54.0,0.11412034925925925,0.5439609800526073,3.5647576996724903,29739.565767989377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_throttle_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_throttle_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,,,,,,,,,,0.25,0.0071417066983323774,0.38565216170994837,0.06258048406518463,2513.249635007838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_throttle_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,,,,,,,,,,0.4,0.03814523458686436,2.059842667690676,0.3342544500999187,5808.376612615391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_project_apDrone_throttle_scan,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,,,,,,,,,,0.5,0.08450861907718275,4.563465430167868,0.7405219106471151,8645.400673866476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
