accelerometer_noise_stddev_m_s2,airspeed_m_s,barometer_altitude_tau_s,barometer_vertical_speed_tau_s,code_altitude_error_m,dynamic_pressure_head_m,kind,mode,note,preset,pressure_noise_altitude_m,pressure_noise_pa,quiet_barometer_noise_amplitude_m,quiet_barometer_noise_rms_m,relative_accuracy_altitude_m,relative_accuracy_pa,sensor,source,static_port_pressure_coefficient_equivalent
,,,,,,sensor,,RMS pressure noise typical at ultra-high-resolution setting; relative accuracy from datasheet operating range.,,0.1082147817854128,1.3,,,0.998905678019195,12.0,Bosch BMP280,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmp280-ds001.pdf,
,,,,,,sensor,,Datasheet pressure noise/relative accuracy used as sensor-only floor.,,0.05327496949435707,0.64,,,0.6659371186794634,8.0,Bosch BMP388,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmp388-ds001.pdf,
,,,,,,sensor,,High-precision pressure mode; relative accuracy used for slow altitude bias floor.,,0.016648427966986585,0.2,,,0.4994528390095975,6.0,Infineon DPS310,https://www.infineon.com/dgdl/Infineon-DPS310-DataSheet-v01_02-EN.pdf?fileId=5546d462576f34750157750826c42242,
,,,,,,sensor,,0.012 mbar pressure resolution converted to Pa; relative accuracy is approximate absolute/temperature residual scale.,,0.0998905678019195,1.2,,,0.8324213983493292,10.0,TE MS5611-01BA03,https://www.hpinfotech.ro/MS5611-01BA03.pdf,
0.22,,0.09,0.18,,,current_preset_noise,,,racingQuad,,,0.007700000000000001,0.005851240082238978,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,
0.2,,0.09,0.18,,,current_preset_noise,,,cinewhoop,,,0.007000000000000001,0.005319309165671799,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,
0.16,,0.09,0.18,,,current_preset_noise,,,heavyLift,,,0.005600000000000001,0.004255447332537439,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,
0.14,,0.09,0.18,,,current_preset_noise,,,hexLift,,,0.004900000000000001,0.003723516415970259,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,
0.14,,0.09,0.18,,,current_preset_noise,,,octoLift,,,0.004900000000000001,0.003723516415970259,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,
0.14,,0.09,0.18,,,current_preset_noise,,,coaxialX8,,,0.004900000000000001,0.003723516415970259,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,
,5.0,,,-0.0005795610425240055,1.2746452662224104,current_dynamic_pressure,aligned,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,-0.00045468418381344305
,5.0,,,0.00040123456790123454,1.2746452662224104,current_dynamic_pressure,broadside_separated,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,0.0003147813580246913
,10.0,,,-0.0674074074074074,5.0985810648896415,current_dynamic_pressure,aligned,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,-0.013220817037037036
,10.0,,,0.04666666666666666,5.0985810648896415,current_dynamic_pressure,broadside_separated,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,0.009152873333333332
,20.0,,,-1.0043347050754459,20.394324259558566,current_dynamic_pressure,aligned,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,-0.049245794677640606
,20.0,,,0.6953086419753086,20.394324259558566,current_dynamic_pressure,broadside_separated,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,0.0340932424691358
,30.0,,,-2.34,45.887229584006775,current_dynamic_pressure,aligned,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,-0.05099457999999999
,30.0,,,1.6199999999999999,45.887229584006775,current_dynamic_pressure,broadside_separated,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,0.03530393999999999
