row_type,name,source,dataset_page,sample,profile,temperature_c,nominal_soc_percent,workbook,sheet,event_kind,step,sample_count,start_time_s,end_time_s,duration_s,mean_current_a,current_min_a,current_max_a,start_voltage_v,end_voltage_v,voltage_min_v,voltage_max_v,median_sample_interval_s,mean_temperature_c,note,pulse_step,rest_step,pulse_duration_s,rest_duration_s,pulse_mean_current_a,pulse_c_rate_proxy_2ah,load_sign,prior_rest_end_voltage_v,pulse_start_voltage_v,pulse_end_voltage_v,rest_start_voltage_v,rest_end_voltage_v,initial_step_delta_v,initial_effective_resistance_ohm,immediate_recovery_v_first_rest_sample,total_recovery_v_to_rest_end,recovery_fraction_in_first_rest_sample,pulse_median_sample_interval_s,rest_median_sample_interval_s,relaxation_direction,relaxation_delta_v,relaxation_tau_63_s,relaxation_tau_log_fit_s,relaxation_fit_sample_count,relaxation_fit_r2,preset,capacity_ah,sag_rise_tau_s,sag_recovery_tau_s,voltage_spike_rise_tau_s,voltage_spike_recovery_tau_s,bus_ripple_rise_tau_s,bus_ripple_recovery_tau_s,current_limit_attack_tau_s,current_limit_recovery_tau_s,reference_name,reference_temperature_c,reference_nominal_soc_percent,reference_pulse_mean_current_a,reference_pulse_c_rate_proxy_2ah,reference_recovery_tau_63_s,reference_recovery_tau_log_fit_s,current_sag_recovery_tau_s,current_sag_rise_tau_s,current_recovery_tau_over_reference_tau_63,reference_sample_interval_over_current_recovery_tau
reference_calce_dst_segment_summary,DST_0C_50SOC_step_1,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,rest,1,1,60.01487206300245,60.01487206300245,0.0,0.0,0.0,0.0,3.466891050338745,3.466891050338745,3.466891050338745,3.466891050338745,nan,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_segment_summary,DST_0C_50SOC_step_2,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,charge,2,543,70.03081196961256,5492.494280196561,5422.463468226948,0.9997727765562785,0.9995331764221191,1.0000730752944946,3.6139793395996094,4.2000651359558105,3.6139793395996094,4.2000651359558105,10.015454842204917,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_segment_summary,DST_0C_50SOC_step_3,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,charge,3,521,5502.510008105003,10705.553727906434,5203.043719801431,0.17784087351682434,0.019899966195225716,0.9822582602500916,4.199740886688232,4.199740886688232,4.199579238891602,4.200226783752441,10.015424186154178,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_segment_summary,DST_0C_50SOC_step_4,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,rest,4,6,10715.5546130134,10765.569622956144,50.015009942742836,0.0,0.0,0.0,4.196987152099609,4.1965012550354,4.1965012550354,4.196987152099609,10.00007812612057,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_segment_summary,DST_0C_50SOC_step_5,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,discharge,5,325,10775.585906786426,14017.57587206876,3241.989965282335,-1.000124511902149,-1.0004013776779175,-0.9998615384101868,4.064802169799805,3.5367093086242676,3.5367093086242676,4.064802169799805,10.01540186076818,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_pulse_recovery,DST_0C_50SOC_discharge_step_5_rest_6,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,discharge,,,,,,,,,,,,,,nan,"CALCE DST pulse followed by rest. Recovery fit is slow electrochemical relaxation/hysteresis at low C-rate, not a direct FPV high-C ESR value.",5,6,3241.989965282335,7189.987812655239,-1.000124511902149,0.5000622559510745,-1.0,4.1965012550354,4.064802169799805,3.5367093086242676,3.6478354930877686,3.6948132514953613,-0.1316990852355957,0.13168268917348663,0.11112618446350098,0.15810394287109375,0.7028678883366308,10.01540186076818,10.015414246499859,rise,0.04697775840759277,293.4980763015751,2116.475506651415,445,0.9511530739614261,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_segment_summary,DST_0C_50SOC_step_6,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,rest,6,720,14027.592104664076,21217.579917319315,7189.987812655239,0.0,0.0,0.0,3.6478354930877686,3.6948132514953613,3.6478354930877686,3.6949751377105713,10.015414246499859,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_segment_summary,DST_0C_50SOC_step_7,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,discharge,7,357,21218.596647679216,21577.592136301377,358.99548862216034,-0.5338917093480127,-4.000303268432617,1.9996803998947144,3.6948132514953613,3.655287265777588,3.1772499084472656,3.8699259757995605,1.0154797809973388,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_segment_summary,DST_0C_50SOC_step_8,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,rest,8,1,21577.592174459645,21577.592174459645,0.0,0.0,0.0,0.0,3.655449151992798,3.655449151992798,3.655449151992798,3.655449151992798,nan,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_calce_dst_segment_summary,DST_0C_50SOC_step_7,https://web.calce.umd.edu/batteries/data/SP2_0C_DST.zip,https://calce.umd.edu/battery-data,SP20-2,DST,0.0,50.0,02_24_2016_SP20-2_0C_DST_50SOC.xls,Channel_1-006,discharge,7,357,21578.609645284876,21937.605196181525,358.99555089664864,-0.5339058235518215,-4.000303268432617,1.9996803998947144,3.655449151992798,3.6381161212921143,3.1685025691986084,3.8467612266540527,1.0154869588059228,nan,CALCE SP20-2 DST contiguous step segment summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
