preset,battery_temperature_c,ambient_temperature_c,resistance_scale,current_scale,thermal_power_limit,effective_resistance_ohm,effective_current_limit_a,sag_at_nominal_limit_v,sag_at_temperature_scaled_limit_v,source,row_type,name,pack,instrument,cells,capacity_mah,warm_temperature_f,cold_temperature_f,warm_temperature_c,cold_temperature_c,temperature_drop_f,temperature_drop_c,warm_total_ir_mohm,cold_total_ir_mohm,warm_mohm_per_cell,cold_mohm_per_cell,cold_over_warm_ir_ratio,ir_increase_percent,note,current_model_warm_resistance_scale,current_model_cold_resistance_scale,current_cold_over_warm_resistance_scale,reference_cold_over_warm_ir_ratio,current_over_reference_ratio,current_ir_increase_percent
racingQuad,-20.0,25.0,2.85,0.52,1.0,0.0513,46.800000000000004,4.617,2.40084,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
racingQuad,0.0,25.0,2.0147500000000003,0.7250000000000001,1.0,0.0362655,65.25000000000001,3.2638949999999998,2.3663238750000004,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
racingQuad,10.0,25.0,1.3782699999999999,0.835,1.0,0.024808859999999995,75.14999999999999,2.2327973999999995,1.8643858289999995,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
racingQuad,25.0,25.0,1.0,1.0,1.0,0.018,90.0,1.6199999999999999,1.6199999999999999,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
racingQuad,45.0,25.0,1.0,0.982,1.0,0.018,88.38,1.6199999999999999,1.5908399999999998,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
racingQuad,58.0,25.0,1.02583,0.904,1.0,0.01846494,81.36,1.6618446,1.5023075183999999,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
racingQuad,70.0,25.0,1.06795,0.832,0.7835276967930029,0.019223099999999996,74.88,1.7300789999999997,1.4394257279999996,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
racingQuad,86.0,25.0,1.12411,0.736,0.45,0.02023398,66.24,1.8210582,1.3402988351999998,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
racingQuad,100.0,25.0,1.17325,0.6519999999999999,0.45,0.0211185,58.67999999999999,1.9006649999999998,1.2392335799999998,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://jeffcoaeromodlers.com/wp-content/uploads/2019/05/Lithium-Polymer-Batteries-96-website.pdf,reference_lipo_esr_temperature_test,SkyLipo_3S_1000mAh_ESR_Meter_71F_to_42F,SkyLipo 3S 1000mAh,ESR Meter,3,1000.0,71.0,42.0,21.666666666666668,5.555555555555555,29.0,16.111111111111114,100.36,168.6,33.45333333333333,56.199999999999996,1.6799521721801514,67.99521721801514,"Jeffco Aeromodlers field RC LiPo ESR/IR comparison; paired 71F and 42F totals. Use as a temperature-ratio anchor, not lab EIS.",,,,,,
