row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,trajectory,yaw_mode,flight_path,file_group,file_name,http_status,content_length_bytes,error
blackbird_source_inventory_packet_source,Blackbird official GitHub README,full_dataset_size,4.9,TB,docs/data/blackbird_source_inventory_packet.csv,https://raw.githubusercontent.com/mit-aera/Blackbird-Dataset/master/README.md,source_inventory,The README says chunks can be downloaded separately; this packet only probes small CSV paths.,,,,,,,,
blackbird_source_inventory_packet_source,Blackbird sequence downloader,official_data_root,http://blackbird-dataset.mit.edu/BlackbirdDatasetData,url,docs/data/blackbird_source_inventory_packet.csv,https://raw.githubusercontent.com/mit-aera/Blackbird-Dataset/master/fileTreeUtilities/sequenceDownloader.py,source_inventory,Downloader script defines the S3-style BlackbirdDatasetData path and expected CSV files.,,,,,,,,
blackbird_source_inventory_packet_source,Blackbird publication,arxiv_source,https://arxiv.org/abs/1810.01987,url,docs/data/blackbird_source_inventory_packet.csv,https://arxiv.org/abs/1810.01987,paper_source,Use the paper for dataset scope and citation; raw fitting still requires downloadable CSV/rosbag files.,,,,,,,,
blackbird_source_inventory_packet_source,Blackbird publication,ijrr_doi,https://doi.org/10.1177/0278364920908331,url,docs/data/blackbird_source_inventory_packet.csv,https://doi.org/10.1177/0278364920908331,paper_source,Official IJRR publication DOI from the README citation block.,,,,,,,,
blackbird_source_inventory_packet_preview_flight,ampersand/yawConstant/maxSpeed1p0,declared_top_speed,1,m/s,docs/data/blackbird_source_inventory_packet.csv,http://blackbird-dataset.mit.edu/BlackbirdDatasetData/ampersand/yawConstant/maxSpeed1p0/previewVideos/,readme_preview_inventory,Preview-link inventory from README; not raw mocap/RPM data.,ampersand,yawConstant,ampersand/yawConstant/maxSpeed1p0,,,,,
blackbird_source_inventory_packet_preview_flight,ampersand/yawConstant/maxSpeed2p0,declared_top_speed,2,m/s,docs/data/blackbird_source_inventory_packet.csv,http://blackbird-dataset.mit.edu/BlackbirdDatasetData/ampersand/yawConstant/maxSpeed2p0/previewVideos/,readme_preview_inventory,Preview-link inventory from README; not raw mocap/RPM data.,ampersand,yawConstant,ampersand/yawConstant/maxSpeed2p0,,,,,
blackbird_source_inventory_packet_preview_flight,ampersand/yawConstant/maxSpeed3p0,declared_top_speed,3,m/s,docs/data/blackbird_source_inventory_packet.csv,http://blackbird-dataset.mit.edu/BlackbirdDatasetData/ampersand/yawConstant/maxSpeed3p0/previewVideos/,readme_preview_inventory,Preview-link inventory from README; not raw mocap/RPM data.,ampersand,yawConstant,ampersand/yawConstant/maxSpeed3p0,,,,,
blackbird_source_inventory_packet_preview_flight,bentDice/yawConstant/maxSpeed1p0,declared_top_speed,1,m/s,docs/data/blackbird_source_inventory_packet.csv,http://blackbird-dataset.mit.edu/BlackbirdDatasetData/bentDice/yawConstant/maxSpeed1p0/previewVideos/,readme_preview_inventory,Preview-link inventory from README; not raw mocap/RPM data.,bentDice,yawConstant,bentDice/yawConstant/maxSpeed1p0,,,,,
blackbird_source_inventory_packet_preview_flight,bentDice/yawConstant/maxSpeed2p0,declared_top_speed,2,m/s,docs/data/blackbird_source_inventory_packet.csv,http://blackbird-dataset.mit.edu/BlackbirdDatasetData/bentDice/yawConstant/maxSpeed2p0/previewVideos/,readme_preview_inventory,Preview-link inventory from README; not raw mocap/RPM data.,bentDice,yawConstant,bentDice/yawConstant/maxSpeed2p0,,,,,
blackbird_source_inventory_packet_preview_flight,bentDice/yawConstant/maxSpeed3p0,declared_top_speed,3,m/s,docs/data/blackbird_source_inventory_packet.csv,http://blackbird-dataset.mit.edu/BlackbirdDatasetData/bentDice/yawConstant/maxSpeed3p0/previewVideos/,readme_preview_inventory,Preview-link inventory from README; not raw mocap/RPM data.,bentDice,yawConstant,bentDice/yawConstant/maxSpeed3p0,,,,,
